ID	CHARACTER	PINYIN	DOCULECT	DOCULECT_IN_SOURCE	READING	SEMANTIC_CLASS	PHONETIC_CLASS	KARLGREN_ID	CONCEPT
2620	儢	lǚ	Late_Han_Chinese	Eastern Han Chinese	r(h)á	0	0069	0069 t	
2621	儢	lǚ	Middle_Chinese	Middle Chinese	lö́	0	0069	0069 t	
2622	僩	xiàn	Old_Chinese	Classical Old Chinese	g(h)rā́n	9	0191	0191 g	
2623	僩	xiàn	Late_Han_Chinese	Eastern Han Chinese	grā́n (~ ɣ-)	9	0191	0191 g	
2624	僩	xiàn	Middle_Chinese	Middle Chinese	ɣạ́n	9	0191	0191 g	
2625	群	qún	Old_Chinese	Classical Old Chinese	ghun	123	0459	0459 d-e	
2626	群	qún	Late_Han_Chinese	Eastern Han Chinese	ghun	123	0459	0459 d-e	
2627	群	qún	Middle_Chinese	Middle Chinese	gün	123	0459	0459 d-e	
2628	砥	dǐ	Old_Chinese	Classical Old Chinese	tǝ́j	112	0590	0590 o	
2629	砥	dǐ	Late_Han_Chinese	Eastern Han Chinese	ćǝ́j	112	0590	0590 o	
2630	砥	dǐ	Middle_Chinese	Middle Chinese	ćí	112	0590	0590 o	
2631	年	nián	Old_Chinese	Classical Old Chinese	nhīn	51	0364	0364 a-d	
2632	年	nián	Late_Han_Chinese	Eastern Han Chinese	nhiǝ̄n	51	0364	0364 a-d	
2633	年	nián	Middle_Chinese	Middle Chinese	nien	51	0364	0364 a-d	
2634	貨	huò	Old_Chinese	Classical Old Chinese	ŋ̥wājh	154	0019	0019 c	
2635	貨	huò	Late_Han_Chinese	Eastern Han Chinese	ŋ̥wǟh	154	0019	0019 c	
2636	貨	huò	Middle_Chinese	Middle Chinese	xwầ	154	0019	0019 c	
2637	樅	cōng	Old_Chinese	Classical Old Chinese	shoŋ	75	1191	1191 i	
2638	樅	cōng	Late_Han_Chinese	Eastern Han Chinese	shjoŋ	75	1191	1191 i	
2639	樅	cōng	Middle_Chinese	Middle Chinese	chjöuŋ	75	1191	1191 i	
2640	饕	tāo	Old_Chinese	Classical Old Chinese	thāw	184			
2641	饕	tāo	Late_Han_Chinese	Eastern Han Chinese	thāw	184			
2642	饕	tāo	Middle_Chinese	Middle Chinese	thâw	184			
2643	舒	shū	Old_Chinese	Classical Old Chinese	l̥a	135	0083	0083 k	
2644	舒	shū	Late_Han_Chinese	Eastern Han Chinese	śa	135	0083	0083 k	
2645	舒	shū	Middle_Chinese	Middle Chinese	śö	135	0083	0083 k	
2646	拔	bá	Old_Chinese	Classical Old Chinese	b(h)āt	64	0276	0276 h	
2647	拔	bá	Late_Han_Chinese	Eastern Han Chinese	b(h)āt	64	0276	0276 h	
2648	拔	bá	Middle_Chinese	Middle Chinese	bwât	64	0276	0276 h	
2649	焙	bèi	Old_Chinese	Classical Old Chinese	bǝ̄h	86			
2650	焙	bèi	Late_Han_Chinese	Eastern Han Chinese	bǝ̄h	86			
2651	焙	bèi	Middle_Chinese	Middle Chinese	bòj	86			
2652	翦	jiǎn	Old_Chinese	Classical Old Chinese	cén	124	0245	0245 i	
2653	翦	jiǎn	Late_Han_Chinese	Eastern Han Chinese	cján	124	0245	0245 i	
2654	翦	jiǎn	Middle_Chinese	Middle Chinese	cjén	124	0245	0245 i	
2655	鬚	xū	Old_Chinese	Classical Old Chinese	sho	190	0133	0133 d	
2656	鬚	xū	Late_Han_Chinese	Eastern Han Chinese	shjwa	190	0133	0133 d	
2657	鬚	xū	Middle_Chinese	Middle Chinese	sjü	190	0133	0133 d	
2658	喬	qiáo	Old_Chinese	Classical Old Chinese	g(r)aw	115	1138	1138 a-b	
2659	喬	qiáo	Late_Han_Chinese	Eastern Han Chinese	g(r)aw	115	1138	1138 a-b	
2660	喬	qiáo	Middle_Chinese	Middle Chinese	gew	115	1138	1138 a-b	
2661	剝	bō	Old_Chinese	Classical Old Chinese	prōk	18	1228	1228 a	
2662	剝	bō	Late_Han_Chinese	Eastern Han Chinese	prōk	18	1228	1228 a	
2663	剝	bō	Middle_Chinese	Middle Chinese	pạuk	18	1228	1228 a	
2664	和	hé	Old_Chinese	Classical Old Chinese	ghwāj	30	0008	0008 e-j	
2665	和	hé	Late_Han_Chinese	Eastern Han Chinese	wǟ	30	0008	0008 e-j	
2666	和	hé	Middle_Chinese	Middle Chinese	ɣwâ	30	0008	0008 e-j	
2667	身	shēn	Old_Chinese	Classical Old Chinese	l̥in	158	0386	0386 a-c	
2668	身	shēn	Late_Han_Chinese	Eastern Han Chinese	śǝn	158	0386	0386 a-c	
2669	身	shēn	Middle_Chinese	Middle Chinese	śin	158	0386	0386 a-c	
2670	卦	guà	Old_Chinese	Classical Old Chinese	kwrēh	25	0879	0879 s	
2671	卦	guà	Late_Han_Chinese	Eastern Han Chinese	kwriēh	25	0879	0879 s	
2672	卦	guà	Middle_Chinese	Middle Chinese	kwạ̈̀	25	0879	0879 s	
2673	陌	mò	Old_Chinese	Classical Old Chinese	m(h)rāk	170	0781	0781 g	
2674	陌	mò	Late_Han_Chinese	Eastern Han Chinese	m(h)rāk	170	0781	0781 g	
2675	陌	mò	Middle_Chinese	Middle Chinese	mạ̈ik	170	0781	0781 g	
2676	試	shì	Old_Chinese	Classical Old Chinese	ƛhǝh	149	0918	0918 n	
2677	試	shì	Late_Han_Chinese	Eastern Han Chinese	shǝh	149	0918	0918 n	
2678	試	shì	Middle_Chinese	Middle Chinese	śɨ̀	149	0918	0918 n	
2679	除	chú	Old_Chinese	Classical Old Chinese	Ła	170	0082	0082 m-n	
2680	除	chú	Late_Han_Chinese	Eastern Han Chinese	źa	170	0082	0082 m-n	
2681	除	chú	Middle_Chinese	Middle Chinese	ḍö	170	0082	0082 m-n	
2682	梓	zǐ	Old_Chinese	Classical Old Chinese	cǝ́	75	0965	0965 a	
2683	梓	zǐ	Late_Han_Chinese	Eastern Han Chinese	cjǝ́	75	0965	0965 a	
2684	梓	zǐ	Middle_Chinese	Middle Chinese	cjɨ́	75	0965	0965 a	
2685	蜂	fēng	Old_Chinese	Classical Old Chinese	phoŋ	142	1197	1197 s-t	
2686	蜂	fēng	Late_Han_Chinese	Eastern Han Chinese	phoŋ	142	1197	1197 s-t	
2687	蜂	fēng	Middle_Chinese	Middle Chinese	phöuŋ	142	1197	1197 s-t	
2688	蘇	sū	Old_Chinese	Classical Old Chinese	sā	140	0067	0067 a-b	
2689	蘇	sū	Late_Han_Chinese	Eastern Han Chinese	sā	140	0067	0067 a-b	
2690	蘇	sū	Middle_Chinese	Middle Chinese	so	140	0067	0067 a-b	
2691	價	jià	Old_Chinese	Classical Old Chinese	krājh	9	0038	0038 c	
2692	價	jià	Late_Han_Chinese	Eastern Han Chinese	krǟh	9	0038	0038 c	
2693	價	jià	Middle_Chinese	Middle Chinese	kạ̀	9	0038	0038 c	
2694	榛	zhēn	Old_Chinese	Classical Old Chinese	crin	75	0380	0380 f	
2695	榛	zhēn	Late_Han_Chinese	Eastern Han Chinese	c̣ǝn	75	0380	0380 f	
2696	榛	zhēn	Middle_Chinese	Middle Chinese	c̣in	75	0380	0380 f	
2697	朋	péng	Old_Chinese	Classical Old Chinese	bhǝ̄ŋ	74	0886	0886 a-e	
2698	朋	péng	Late_Han_Chinese	Eastern Han Chinese	bhǝ̄ŋ	74	0886	0886 a-e	
2699	朋	péng	Middle_Chinese	Middle Chinese	bʌŋ	74	0886	0886 a-e	
2700	輟	zhuò	Old_Chinese	Classical Old Chinese	trwat	159	0295	0295 e	
2701	輟	zhuò	Late_Han_Chinese	Eastern Han Chinese	ṭwat	159	0295	0295 e	
2702	輟	zhuò	Middle_Chinese	Middle Chinese	ṭwet	159	0295	0295 e	
2703	戒	jiè	Middle_Chinese	Middle Chinese	kạ̈̀	62			
2704	霸	bà	Old_Chinese	Classical Old Chinese	phrāk	173	0772	0772 b-d	
2705	霸	bà	Late_Han_Chinese	Eastern Han Chinese	phrāk	173	0772	0772 b-d	
2706	霸	bà	Middle_Chinese	Middle Chinese	phạ̈ik	173	0772	0772 b-d	
2707	枑	hù	Old_Chinese	Classical Old Chinese	g(h)āh	0	0054	0054 b	
2708	枑	hù	Late_Han_Chinese	Eastern Han Chinese	gāh (~ ɣ-)	0	0054	0054 b	
2709	枑	hù	Middle_Chinese	Middle Chinese	ɣò	0	0054	0054 b	
2710	己	jǐ [qǐ]	Old_Chinese	Classical Old Chinese	kǝ́	49	0953	0953 a-e	
2711	己	jǐ [qǐ]	Late_Han_Chinese	Eastern Han Chinese	kǝ́	49	0953	0953 a-e	
2712	己	jǐ [qǐ]	Middle_Chinese	Middle Chinese	kɨ́	49	0953	0953 a-e	
2713	蝤	qíu	Old_Chinese	Classical Old Chinese	ʒ(h)u	0	1096	1096 n	
2714	蝤	qíu	Late_Han_Chinese	Eastern Han Chinese	ʒ(h)jǝw	0	1096	1096 n	
2715	蝤	qíu	Middle_Chinese	Middle Chinese	ʒjǝw	0	1096	1096 n	
2716	巖	yán	Old_Chinese	Classical Old Chinese	ŋrām	46	0607	0607 l	
2717	巖	yán	Late_Han_Chinese	Eastern Han Chinese	ŋrām	46	0607	0607 l	
2718	巖	yán	Middle_Chinese	Middle Chinese	ŋạm	46	0607	0607 l	
2719	屨	jù	Old_Chinese	Classical Old Chinese	kroh	44	0123	0123 q	
2720	屨	jù	Late_Han_Chinese	Eastern Han Chinese	krwah	44	0123	0123 q	
2721	屨	jù	Middle_Chinese	Middle Chinese	kǜ	44	0123	0123 q	
2722	軔	rèn	Old_Chinese	Classical Old Chinese	n(h)ǝnh	159	0456	0456 g	
2723	軔	rèn	Late_Han_Chinese	Eastern Han Chinese	ń(h)ǝnh	159	0456	0456 g	
2724	軔	rèn	Middle_Chinese	Middle Chinese	ńìn	159	0456	0456 g	
2725	鴻	hóng	Old_Chinese	Classical Old Chinese	g(h)ōŋ	196	1172	1172 |g ́	
2726	鴻	hóng	Late_Han_Chinese	Eastern Han Chinese	gōŋ (~ ɣ-)	196	1172	1172 |g ́	
2727	鴻	hóng	Middle_Chinese	Middle Chinese	ɣuŋ	196	1172	1172 |g ́	
2728	褒	bāo	Old_Chinese	Classical Old Chinese	pāw	145	1057	1057 h	
2729	褒	bāo	Late_Han_Chinese	Eastern Han Chinese	pāw	145	1057	1057 h	
2730	褒	bāo	Middle_Chinese	Middle Chinese	pâw	145	1057	1057 h	
2731	齊	qí	Old_Chinese	Classical Old Chinese	ʒǝ̄j	210	0593	0593 a-e	
2732	齊	qí	Late_Han_Chinese	Eastern Han Chinese	ʒǝ̄j	210	0593	0593 a-e	
2733	齊	qí	Middle_Chinese	Middle Chinese	ʒiej	210	0593	0593 a-e	
2734	薄	bó	Old_Chinese	Classical Old Chinese	bāk	140	0771	0771 p	
2735	薄	bó	Late_Han_Chinese	Eastern Han Chinese	bāk	140	0771	0771 p	
2736	薄	bó	Middle_Chinese	Middle Chinese	bâk	140	0771	0771 p	
2737	餅	bǐng	Old_Chinese	Classical Old Chinese	péŋ	184			
2738	餅	bǐng	Late_Han_Chinese	Eastern Han Chinese	pjéŋ	184			
2739	餅	bǐng	Middle_Chinese	Middle Chinese	pjéŋ	184			
2740	耆	qí	Old_Chinese	Classical Old Chinese	grij	0	0552	0552 l	
2741	耆	qí	Late_Han_Chinese	Eastern Han Chinese	grǝj	0	0552	0552 l	
2742	耆	qí	Middle_Chinese	Middle Chinese	gi	0	0552	0552 l	
2743	圈	quān	Old_Chinese	Classical Old Chinese	khwren	31	0226	0226 k	
2744	圈	quān	Late_Han_Chinese	Eastern Han Chinese	khwran	31	0226	0226 k	
2745	圈	quān	Middle_Chinese	Middle Chinese	khwen	31	0226	0226 k	
2746	部	bù	Old_Chinese	Classical Old Chinese	bā́	163			
2747	部	bù	Late_Han_Chinese	Eastern Han Chinese	bā́	163			
2748	部	bù	Middle_Chinese	Middle Chinese	bó	163			
2749	赭	zhě	Old_Chinese	Classical Old Chinese	tiá	155	0045	0045 d	
2750	赭	zhě	Late_Han_Chinese	Eastern Han Chinese	ćä́	155	0045	0045 d	
2751	赭	zhě	Middle_Chinese	Middle Chinese	ćá	155	0045	0045 d	
2752	進	jìn	Old_Chinese	Classical Old Chinese	cinh	162			
2753	進	jìn	Late_Han_Chinese	Eastern Han Chinese	cjǝnh	162			
2754	進	jìn	Middle_Chinese	Middle Chinese	cjìn	162			
2755	冑	zhòu	Old_Chinese	Classical Old Chinese	Łhuh	130	1079	1079 i-l	
2756	冑	zhòu	Late_Han_Chinese	Eastern Han Chinese	lhǝwh	130	1079	1079 i-l	
2757	冑	zhòu	Middle_Chinese	Middle Chinese	ḍǝ̀w	130	1079	1079 i-l	
2758	頗	pǒ	Middle_Chinese	Middle Chinese	phāj	181	0025	0025 p	
2759	耜	sì	Old_Chinese	Classical Old Chinese	lhǝ́	127	0976	0976 k	
2760	耜	sì	Late_Han_Chinese	Eastern Han Chinese	zhjǝ́	127	0976	0976 k	
2761	耜	sì	Middle_Chinese	Middle Chinese	zjɨ́	127	0976	0976 k	
2762	纍	léi	Old_Chinese	Classical Old Chinese	rwǝj	120	0577	0577 f	
2763	纍	léi	Late_Han_Chinese	Eastern Han Chinese	rwǝj	120	0577	0577 f	
2764	纍	léi	Middle_Chinese	Middle Chinese	lwi	120	0577	0577 f	
2765	兔	tù	Old_Chinese	Classical Old Chinese	thāh	10	0063	0063 a-b	
2766	兔	tù	Late_Han_Chinese	Eastern Han Chinese	thāh	10	0063	0063 a-b	
2767	兔	tù	Middle_Chinese	Middle Chinese	thò	10	0063	0063 a-b	
2768	裒	póu	Old_Chinese	Classical Old Chinese	bhrō	145	1230	1230 a	
2769	裒	póu	Late_Han_Chinese	Eastern Han Chinese	bhrǟ	145	1230	1230 a	
2770	裒	póu	Middle_Chinese	Middle Chinese	bʌw	145	1230	1230 a	
2771	料	liào	Old_Chinese	Classical Old Chinese	rēwh	119			
2772	料	liào	Late_Han_Chinese	Eastern Han Chinese	riāwh	119			
2773	料	liào	Middle_Chinese	Middle Chinese	lìew	119			
2774	泲	jǐ	Old_Chinese	Classical Old Chinese	cǝ̄́j	85			
2775	泲	jǐ	Late_Han_Chinese	Eastern Han Chinese	cǝ̄́j	85			
2776	泲	jǐ	Middle_Chinese	Middle Chinese	ciéj	85			
2777	潦	lào	Old_Chinese	Classical Old Chinese	r(h)ā́w	85	1151	1151 u	
2778	潦	lào	Late_Han_Chinese	Eastern Han Chinese	r(h)ā́w	85	1151	1151 u	
2779	潦	lào	Middle_Chinese	Middle Chinese	lấw	85	1151	1151 u	
2780	勝	shèng shēng	Old_Chinese	Classical Old Chinese	ƛǝŋ	19	0893	0893 p	
2781	勝	shèng shēng	Late_Han_Chinese	Eastern Han Chinese	śǝŋ	19	0893	0893 p	
2782	勝	shèng shēng	Middle_Chinese	Middle Chinese	śiŋ	19	0893	0893 p	
2783	毛	máo	Old_Chinese	Classical Old Chinese	mhāw	82	1137	1137 a-b	
2784	毛	máo	Late_Han_Chinese	Eastern Han Chinese	mhāw	82	1137	1137 a-b	
2785	毛	máo	Middle_Chinese	Middle Chinese	mâw	82	1137	1137 a-b	
2786	已	yǐ	Old_Chinese	Classical Old Chinese	lǝ́	49			
2787	已	yǐ	Late_Han_Chinese	Eastern Han Chinese	źǝ́	49			
2788	已	yǐ	Middle_Chinese	Middle Chinese	jɨ́	49			
2789	附	fù	Old_Chinese	Classical Old Chinese	boh	170			
2790	附	fù	Late_Han_Chinese	Eastern Han Chinese	boh	170			
2791	附	fù	Middle_Chinese	Middle Chinese	bǜ	170			
2792	叫	jiào	Old_Chinese	Classical Old Chinese	kīwh	30	1064	1064 g	
2793	叫	jiào	Late_Han_Chinese	Eastern Han Chinese	kiǝ̄wh	30	1064	1064 g	
2794	叫	jiào	Middle_Chinese	Middle Chinese	kièw	30	1064	1064 g	
2795	剛	gāng	Old_Chinese	Classical Old Chinese	kāŋ	18	0697	0697 b-d	
2796	剛	gāng	Late_Han_Chinese	Eastern Han Chinese	kāŋ	18	0697	0697 b-d	
2797	剛	gāng	Middle_Chinese	Middle Chinese	kâŋ	18	0697	0697 b-d	
2798	苡	yǐ	Old_Chinese	Classical Old Chinese	lǝ́	140	0976	0976 f-g	
2799	苡	yǐ	Late_Han_Chinese	Eastern Han Chinese	źǝ́	140	0976	0976 f-g	
2800	苡	yǐ	Middle_Chinese	Middle Chinese	jɨ́	140	0976	0976 f-g	
2801	領	lǐng	Old_Chinese	Classical Old Chinese	rhéŋ	181	0823	0823 f	
2802	領	lǐng	Late_Han_Chinese	Eastern Han Chinese	rhéŋ	181	0823	0823 f	
2803	領	lǐng	Middle_Chinese	Middle Chinese	léŋ	181	0823	0823 f	
2804	濡	rú	Old_Chinese	Classical Old Chinese	n(h)o	85	0134	0134 f-g	
2805	濡	rú	Late_Han_Chinese	Eastern Han Chinese	ń(h)wa	85	0134	0134 f-g	
2806	濡	rú	Middle_Chinese	Middle Chinese	ńü	85	0134	0134 f-g	
2807	島	dǎo	Old_Chinese	Classical Old Chinese	tū́	46	1116	1116 c	
2808	島	dǎo	Late_Han_Chinese	Eastern Han Chinese	tǝ̄́w	46	1116	1116 c	
2809	島	dǎo	Middle_Chinese	Middle Chinese	tấw	46	1116	1116 c	
2810	茂	mào	Old_Chinese	Classical Old Chinese	mūh	140	1231	1231 f	
2811	茂	mào	Late_Han_Chinese	Eastern Han Chinese	mūh	140	1231	1231 f	
2812	茂	mào	Middle_Chinese	Middle Chinese	mʌ̀w	140	1231	1231 f	
2813	燃	rán	Old_Chinese	Classical Old Chinese	nhan	86	0217	0217 b	
2814	燃	rán	Late_Han_Chinese	Eastern Han Chinese	ńhan	86	0217	0217 b	
2815	燃	rán	Middle_Chinese	Middle Chinese	ńen	86	0217	0217 b	
2816	疹	zhěn	Old_Chinese	Classical Old Chinese	thǝnh	104	0453	0453 j	
2817	疹	zhěn	Late_Han_Chinese	Eastern Han Chinese	ćhǝnh	104	0453	0453 j	
2818	疹	zhěn	Middle_Chinese	Middle Chinese	ṭhìn	104	0453	0453 j	
2819	盟	méng	Old_Chinese	Classical Old Chinese	mraŋ	108	0760	0760 e-f	
2820	盟	méng	Late_Han_Chinese	Eastern Han Chinese	mreŋ	108	0760	0760 e-f	
2821	盟	méng	Middle_Chinese	Middle Chinese	mäiŋ	108	0760	0760 e-f	
2822	秋	qiū	Old_Chinese	Classical Old Chinese	chiw	115	1092	1092 a	
2823	秋	qiū	Late_Han_Chinese	Eastern Han Chinese	chjǝw	115	1092	1092 a	
2824	秋	qiū	Middle_Chinese	Middle Chinese	chjǝw	115	1092	1092 a	
2825	媒	méi	Old_Chinese	Classical Old Chinese	mǝ̄	38	0948	0948 c	
2826	媒	méi	Late_Han_Chinese	Eastern Han Chinese	mǝ̄	38	0948	0948 c	
2827	媒	méi	Middle_Chinese	Middle Chinese	moj	38	0948	0948 c	
2828	薪	xīn	Old_Chinese	Classical Old Chinese	sin	140	0382	0382 n	
2829	薪	xīn	Late_Han_Chinese	Eastern Han Chinese	sjǝn	140	0382	0382 n	
2830	薪	xīn	Middle_Chinese	Middle Chinese	sjin	140	0382	0382 n	
2831	葑	fēng	Old_Chinese	Classical Old Chinese	phoŋ	140	1197	1197 k	
2832	葑	fēng	Late_Han_Chinese	Eastern Han Chinese	phoŋ	140	1197	1197 k	
2833	葑	fēng	Middle_Chinese	Middle Chinese	phöuŋ	140	1197	1197 k	
2834	液	yè	Old_Chinese	Classical Old Chinese	l(h)iak	85	0800	0800 n-o	
2835	液	yè	Late_Han_Chinese	Eastern Han Chinese	ź(h)iak	85	0800	0800 n-o	
2836	液	yè	Middle_Chinese	Middle Chinese	jek	85	0800	0800 n-o	
2837	愒	qiè	Old_Chinese	Classical Old Chinese	khrat	0	0313	0313 s	
2838	愒	qiè	Late_Han_Chinese	Eastern Han Chinese	khrat	0	0313	0313 s	
2839	愒	qiè	Middle_Chinese	Middle Chinese	khet	0	0313	0313 s	
2840	遠	yuǎn	Old_Chinese	Classical Old Chinese	whán	162	0256	0256 f-g	
2841	遠	yuǎn	Late_Han_Chinese	Eastern Han Chinese	whán	162	0256	0256 f-g	
2842	遠	yuǎn	Middle_Chinese	Middle Chinese	wǝ́n	162	0256	0256 f-g	
2843	容	róng	Old_Chinese	Classical Old Chinese	loŋ	0	1187	1187 a	
2844	容	róng	Late_Han_Chinese	Eastern Han Chinese	źoŋ	0	1187	1187 a	
2845	容	róng	Middle_Chinese	Middle Chinese	jöuŋ	0	1187	1187 a	
2846	祁	qí	Old_Chinese	Classical Old Chinese	gij	113	0553	0553 i	
2847	祁	qí	Late_Han_Chinese	Eastern Han Chinese	gjǝj	113	0553	0553 i	
2848	祁	qí	Middle_Chinese	Middle Chinese	gji	113	0553	0553 i	
2849	臆	yì	Old_Chinese	Classical Old Chinese	ʔ(r)ǝk	130	0957	0957 i	
2850	臆	yì	Late_Han_Chinese	Eastern Han Chinese	ʔ(r)ǝk	130	0957	0957 i	
2851	臆	yì	Middle_Chinese	Middle Chinese	ʔik	130	0957	0957 i	
2852	置	zhì	Old_Chinese	Classical Old Chinese	trǝh	122	0919	0919 g	
2853	置	zhì	Late_Han_Chinese	Eastern Han Chinese	ṭǝh	122	0919	0919 g	
2854	置	zhì	Middle_Chinese	Middle Chinese	ṭɨ̀	122	0919	0919 g	
2855	卒	zú	Old_Chinese	Classical Old Chinese	cwǝt	0	0490	0490 a	
2856	卒	zú	Late_Han_Chinese	Eastern Han Chinese	cjwǝt	0	0490	0490 a	
2857	卒	zú	Middle_Chinese	Middle Chinese	cjwit	0	0490	0490 a	
2858	到	dào	Old_Chinese	Classical Old Chinese	tāwh	18	1132	1132 a-b	
2859	到	dào	Late_Han_Chinese	Eastern Han Chinese	tāwh	18	1132	1132 a-b	
2860	到	dào	Middle_Chinese	Middle Chinese	tầw	18	1132	1132 a-b	
2861	制	zhì	Old_Chinese	Classical Old Chinese	keć	18	0335	0335 a	
2862	制	zhì	Late_Han_Chinese	Eastern Han Chinese	kjaś	18	0335	0335 a	
2863	制	zhì	Middle_Chinese	Middle Chinese	ćèj	18	0335	0335 a	
2864	逆	nì	Old_Chinese	Classical Old Chinese	ŋrak	162	0788	0788 c-e	
2865	逆	nì	Late_Han_Chinese	Eastern Han Chinese	ŋrak	162	0788	0788 c-e	
2866	逆	nì	Middle_Chinese	Middle Chinese	ŋäik	162	0788	0788 c-e	
2867	沃	wò	Old_Chinese	Classical Old Chinese	ʔūk	85	1141	1141 l	
2868	沃	wò	Late_Han_Chinese	Eastern Han Chinese	ʔǝ̄uk	85	1141	1141 l	
2869	沃	wò	Middle_Chinese	Middle Chinese	ʔok	85	1141	1141 l	
2870	埶	yì	Old_Chinese	Classical Old Chinese	ŋeć	0	0330	0330 a-d	
2871	埶	yì	Late_Han_Chinese	Eastern Han Chinese	ŋjaś	0	0330	0330 a-d	
2872	埶	yì	Middle_Chinese	Middle Chinese	ŋjèj	0	0330	0330 a-d	
2873	換	huàn	Old_Chinese	Classical Old Chinese	wānh	64	0167	0167 f	
2874	換	huàn	Late_Han_Chinese	Eastern Han Chinese	wānh	64	0167	0167 f	
2875	換	huàn	Middle_Chinese	Middle Chinese	ɣwần	64	0167	0167 f	
2876	困	kùn	Old_Chinese	Classical Old Chinese	khwǝ̄nh	31	0420	0420 a-b	
2877	困	kùn	Late_Han_Chinese	Eastern Han Chinese	khwǝ̄nh	31	0420	0420 a-b	
2878	困	kùn	Middle_Chinese	Middle Chinese	khòn	31	0420	0420 a-b	
2879	議	yì	Old_Chinese	Classical Old Chinese	ŋajh	149	0002	0002 v	
2880	議	yì	Late_Han_Chinese	Eastern Han Chinese	ŋeh	149	0002	0002 v	
2881	議	yì	Middle_Chinese	Middle Chinese	ŋè	149	0002	0002 v	
2882	囿	yòu	Old_Chinese	Classical Old Chinese	whǝh	31			
2883	囿	yòu	Late_Han_Chinese	Eastern Han Chinese	whǝh	31			
2884	囿	yòu	Middle_Chinese	Middle Chinese	ɦǝ̀w	31			
2885	倍	bèi	Old_Chinese	Classical Old Chinese	bǝ̄́	9			
2886	倍	bèi	Late_Han_Chinese	Eastern Han Chinese	bǝ̄́	9			
2887	倍	bèi	Middle_Chinese	Middle Chinese	bój	9			
2888	嚏	tì	Old_Chinese	Classical Old Chinese	tīć	30	0415	0415 e	
2889	嚏	tì	Late_Han_Chinese	Eastern Han Chinese	tiǝ̄ś	30	0415	0415 e	
2890	嚏	tì	Middle_Chinese	Middle Chinese	tìej	30	0415	0415 e	
2891	捉	zhuō	Old_Chinese	Classical Old Chinese	crōk	64	1219	1219 e	
2892	捉	zhuō	Late_Han_Chinese	Eastern Han Chinese	c̣ōk	64	1219	1219 e	
2893	捉	zhuō	Middle_Chinese	Middle Chinese	c̣ạuk	64	1219	1219 e	
2894	呶	naó	Old_Chinese	Classical Old Chinese	nrū	0			
2895	呶	naó	Late_Han_Chinese	Eastern Han Chinese	ṇǝ̄w	0			
2896	呶	naó	Middle_Chinese	Middle Chinese	ṇạw	0			
2897	淵	yuān	Old_Chinese	Classical Old Chinese	ʔwīn	85	0367	0367 a-c	
2898	淵	yuān	Late_Han_Chinese	Eastern Han Chinese	ʔwiǝ̄n	85	0367	0367 a-c	
2899	淵	yuān	Middle_Chinese	Middle Chinese	ʔwien	85	0367	0367 a-c	
2900	緣	yuán	Old_Chinese	Classical Old Chinese	Łwan	0	0171	0171 d	
2901	緣	yuán	Late_Han_Chinese	Eastern Han Chinese	źwan	0	0171	0171 d	
2902	緣	yuán	Middle_Chinese	Middle Chinese	jwen	0	0171	0171 d	
2903	遭	zāo	Old_Chinese	Classical Old Chinese	cū	162	1053	1053 h	
2904	遭	zāo	Late_Han_Chinese	Eastern Han Chinese	cǝ̄w	162	1053	1053 h	
2905	遭	zāo	Middle_Chinese	Middle Chinese	câw	162	1053	1053 h	
2906	帽	mào	Old_Chinese	Classical Old Chinese	mūh	50			
2907	帽	mào	Late_Han_Chinese	Eastern Han Chinese	mǝ̄wh	50			
2908	帽	mào	Middle_Chinese	Middle Chinese	mầw	50			
2909	嘉	jiā	Old_Chinese	Classical Old Chinese	krāj	30	0015	0015 g-h	
2910	嘉	jiā	Late_Han_Chinese	Eastern Han Chinese	krǟ	30	0015	0015 g-h	
2911	嘉	jiā	Middle_Chinese	Middle Chinese	kạ	30	0015	0015 g-h	
2912	茆	mǎo	Old_Chinese	Classical Old Chinese	m(h)rū́	140	1114	1114 f	
2913	茆	mǎo	Late_Han_Chinese	Eastern Han Chinese	m(h)rǝ̄́w	140	1114	1114 f	
2914	茆	mǎo	Middle_Chinese	Middle Chinese	mạ́w	140	1114	1114 f	
2915	臻	zhēn	Old_Chinese	Classical Old Chinese	crin	133	0380	0380 h	
2916	臻	zhēn	Late_Han_Chinese	Eastern Han Chinese	c̣ǝn	133	0380	0380 h	
2917	臻	zhēn	Middle_Chinese	Middle Chinese	c̣in	133	0380	0380 h	
2918	背	bèi	Old_Chinese	Classical Old Chinese	bǝ̄h	130	0909	0909 e	
2919	背	bèi	Late_Han_Chinese	Eastern Han Chinese	bǝ̄h	130	0909	0909 e	
2920	背	bèi	Middle_Chinese	Middle Chinese	bòj	130	0909	0909 e	
2921	荐	jiàn	Old_Chinese	Classical Old Chinese	ʒ(h)ǝ̄nh	140	0432	0432 b	
2922	荐	jiàn	Late_Han_Chinese	Eastern Han Chinese	ʒ(h)ǝ̄nh	140	0432	0432 b	
2923	荐	jiàn	Middle_Chinese	Middle Chinese	ʒìen	140	0432	0432 b	
2924	隋	suí	Old_Chinese	Classical Old Chinese	sl̥wā́j	170	0011	0011 b	
2925	隋	suí	Late_Han_Chinese	Eastern Han Chinese	l̥wǟ́	170	0011	0011 b	
2926	隋	suí	Middle_Chinese	Middle Chinese	thwấ	170	0011	0011 b	
2927	孚	fú	Old_Chinese	Classical Old Chinese	pho	39	1233	1233 a-c	
