ID	CHARACTER	PINYIN	DOCULECT	DOCULECT_IN_SOURCE	READING	SEMANTIC_CLASS	PHONETIC_CLASS	KARLGREN_ID	CONCEPT
219	方	fāng	Old_Chinese	Classical Old Chinese	paŋ	70	0740	0740 a-f	
220	方	fāng	Late_Han_Chinese	Eastern Han Chinese	pwaŋ	70	0740	0740 a-f	
221	方	fāng	Middle_Chinese	Middle Chinese	pwaŋ	70	0740	0740 a-f	
222	俄	é	Old_Chinese	Classical Old Chinese	ŋāj	9	0002	0002 h	
223	俄	é	Late_Han_Chinese	Eastern Han Chinese	ŋǟ	9	0002	0002 h	
224	俄	é	Middle_Chinese	Middle Chinese	ŋâ	9	0002	0002 h	
225	粲	cān	Old_Chinese	Classical Old Chinese	chānh	119	0154	0154 b	
226	粲	cān	Late_Han_Chinese	Eastern Han Chinese	chānh	119	0154	0154 b	
227	粲	cān	Middle_Chinese	Middle Chinese	châǹ	119	0154	0154 b	
228	釃	shāi	Old_Chinese	Classical Old Chinese	sre	164	0878	0878 h	
229	釃	shāi	Late_Han_Chinese	Eastern Han Chinese	ṣe	164	0878	0878 h	
230	釃	shāi	Middle_Chinese	Middle Chinese	ṣe	164	0878	0878 h	
231	敘	xù	Old_Chinese	Classical Old Chinese	lhá	66	0082	0082 o	
232	敘	xù	Late_Han_Chinese	Eastern Han Chinese	zhá	66	0082	0082 o	
233	敘	xù	Middle_Chinese	Middle Chinese	zjö́	66	0082	0082 o	
234	錣	zhuá	Old_Chinese	Classical Old Chinese	trwāt	0	0295	0295 j	
235	錣	zhuá	Late_Han_Chinese	Eastern Han Chinese	ṭwāt	0	0295	0295 j	
236	錣	zhuá	Middle_Chinese	Middle Chinese	ṭwạt	0	0295	0295 j	
237	筋	jīn	Old_Chinese	Classical Old Chinese	kǝn	118	0445	0445 a	
238	筋	jīn	Late_Han_Chinese	Eastern Han Chinese	kǝn	118	0445	0445 a	
239	筋	jīn	Middle_Chinese	Middle Chinese	kɨn	118	0445	0445 a	
240	烹	pēng	Old_Chinese	Classical Old Chinese	phrāŋ	86	0751	0751 a	
241	烹	pēng	Late_Han_Chinese	Eastern Han Chinese	phrēŋ	86	0751	0751 a	
242	烹	pēng	Middle_Chinese	Middle Chinese	phạ̈iŋ	86	0751	0751 a	
243	隳	huī	Old_Chinese	Classical Old Chinese	(s)l̥waj	170	0011	0011 f	
244	隳	huī	Late_Han_Chinese	Eastern Han Chinese	s(h)jwe	170	0011	0011 f	
245	隳	huī	Middle_Chinese	Middle Chinese	xwe	170	0011	0011 f	
246	勩	yì	Old_Chinese	Classical Old Chinese	lać	19	0339	0339 k	
247	勩	yì	Late_Han_Chinese	Eastern Han Chinese	źaś	19	0339	0339 k	
248	勩	yì	Middle_Chinese	Middle Chinese	jèj	19	0339	0339 k	
249	釜	fǔ	Old_Chinese	Classical Old Chinese	b(h)á	167	0102	0102 f-g	
250	釜	fǔ	Late_Han_Chinese	Eastern Han Chinese	b(h)wá	167	0102	0102 f-g	
251	釜	fǔ	Middle_Chinese	Middle Chinese	bǘ	167	0102	0102 f-g	
252	皁	réng	Old_Chinese	Classical Old Chinese	ʒ(h)ū́	113			
253	皁	réng	Late_Han_Chinese	Eastern Han Chinese	ʒ(h)ǝ̄́w	113			
254	皁	réng	Middle_Chinese	Middle Chinese	ʒấw	113			
255	節	jié	Old_Chinese	Classical Old Chinese	cīt	118	0399	0399 e-f	
256	節	jié	Late_Han_Chinese	Eastern Han Chinese	ciǝ̄t	118	0399	0399 e-f	
257	節	jié	Middle_Chinese	Middle Chinese	ciet	118	0399	0399 e-f	
258	豆	dòu	Old_Chinese	Classical Old Chinese	d(h)ōh	151	0118	0118 a-c	
259	豆	dòu	Late_Han_Chinese	Eastern Han Chinese	d(h)wāh	151	0118	0118 a-c	
260	豆	dòu	Middle_Chinese	Middle Chinese	dʌ̀w	151	0118	0118 a-c	
261	滑	huá	Old_Chinese	Classical Old Chinese	grwǝ̄t	85	0486	0486 e	
262	滑	huá	Late_Han_Chinese	Eastern Han Chinese	grwǝ̄t	85	0486	0486 e	
263	滑	huá	Middle_Chinese	Middle Chinese	ɣwạ̈t	85	0486	0486 e	
264	政	zhèng	Old_Chinese	Classical Old Chinese	teŋh	66	0833	0833 r-s	
265	政	zhèng	Late_Han_Chinese	Eastern Han Chinese	ćeŋh	66	0833	0833 r-s	
266	政	zhèng	Middle_Chinese	Middle Chinese	ćèŋ	66	0833	0833 r-s	
267	騢	tí	Old_Chinese	Classical Old Chinese	g(h)rā	187	0033	0033 l	
268	騢	tí	Late_Han_Chinese	Eastern Han Chinese	grā (~ ɣ-)	187	0033	0033 l	
269	騢	tí	Middle_Chinese	Middle Chinese	ɣạ	187	0033	0033 l	
270	詩	shī	Old_Chinese	Classical Old Chinese	tǝ	149	0961	0961 |d ́	
271	詩	shī	Late_Han_Chinese	Eastern Han Chinese	ćǝ	149	0961	0961 |d ́	
272	裕	yù	Old_Chinese	Classical Old Chinese	loh	145	1202	1202 h	
273	裕	yù	Late_Han_Chinese	Eastern Han Chinese	źwah	145	1202	1202 h	
274	裕	yù	Middle_Chinese	Middle Chinese	jǜ	145	1202	1202 h	
275	二	èr	Old_Chinese	Classical Old Chinese	nić	7	0564	0564 a-f	
276	二	èr	Late_Han_Chinese	Eastern Han Chinese	ńǝś	7	0564	0564 a-f	
277	二	èr	Middle_Chinese	Middle Chinese	ńì	7	0564	0564 a-f	
278	濱	bīn	Old_Chinese	Classical Old Chinese	pin	85	0389	0389 j	
279	濱	bīn	Late_Han_Chinese	Eastern Han Chinese	pjǝn	85	0389	0389 j	
280	濱	bīn	Middle_Chinese	Middle Chinese	pjin	85	0389	0389 j	
281	淑	shú	Old_Chinese	Classical Old Chinese	d(h)iuk	85	1031	1031 j	
282	淑	shú	Late_Han_Chinese	Eastern Han Chinese	ʒ́(h)ǝuk	85	1031	1031 j	
283	淑	shú	Middle_Chinese	Middle Chinese	ʒ́ük	85	1031	1031 j	
284	觶	zhī	Old_Chinese	Classical Old Chinese	tan	0	0147	0147 |c ́	
285	觶	zhī	Late_Han_Chinese	Eastern Han Chinese	ćan	0	0147	0147 |c ́	
286	觶	zhī	Middle_Chinese	Middle Chinese	će	0	0147	0147 |c ́	
287	渚	zhǔ	Old_Chinese	Classical Old Chinese	tá	85	0045	0045 k	
288	渚	zhǔ	Late_Han_Chinese	Eastern Han Chinese	ćá	85	0045	0045 k	
289	渚	zhǔ	Middle_Chinese	Middle Chinese	ćö́	85	0045	0045 k	
290	皋	gāo	Old_Chinese	Classical Old Chinese	kū	132	1040	1040 a-b	
291	皋	gāo	Late_Han_Chinese	Eastern Han Chinese	kǝ̄w	132	1040	1040 a-b	
292	皋	gāo	Middle_Chinese	Middle Chinese	kâw	132	1040	1040 a-b	
293	利	lì	Old_Chinese	Classical Old Chinese	rhić	18	0519	0519 a-f	
294	利	lì	Late_Han_Chinese	Eastern Han Chinese	rhjǝś	18	0519	0519 a-f	
295	利	lì	Middle_Chinese	Middle Chinese	lì	18	0519	0519 a-f	
296	洫	xù	Old_Chinese	Classical Old Chinese	sw̥it	85	0410	0410 d, 930 a	
297	洫	xù	Late_Han_Chinese	Eastern Han Chinese	sjwǝt	85	0410	0410 d, 930 a	
298	洫	xù	Middle_Chinese	Middle Chinese	xwɨk	85	0410	0410 d, 930 a	
299	被	bèi	Old_Chinese	Classical Old Chinese	bháj	145	0025	0025 e	
