ID	CHARACTER_ID	GROUP	CHARACTER	PINYIN	DOCULECT	RADICAL	PHONETIC	FANQIE	RHYME	CHAPTER	IMAGE
1241	w0330660	1109	遹	yù	Old_Chinese	辵	矞	余律	五	v04	073a-03
1242	w0330670	1110	避	bì	Old_Chinese	辵	辟	毗義	六	v04	073a-04
1243	w0330680	1111	違	wéi	Old_Chinese	辵	韋	羽非	五	v04	073a-05
1244	w0330690	1112	遴	lín	Old_Chinese	辵	粦	良刃	二	v04	073a-06
1245	w0330700	1113	逡	qūn	Old_Chinese	辵	夋	七倫	三	v04	073a-07
1246	w0330710	1114	䢑	䢑	Old_Chinese	辵	氐	都禮	五	v04	073a-08
1247	w0330720	1115	達	dá	Old_Chinese	辵	羍		五	v04	073a-09
1248	w0330721	1115	达	dá	Old_Chinese					v04	073a-10
1249	w0330730	1116	逯	lù	Old_Chinese	辵	彔	盧谷	三	v04	073b-01
1250	w0330740	1117	迵	dòng	Old_Chinese	辵	同	徒弄	九	v04	073b-02
1251	w0330750	1118	迭	dié	Old_Chinese	辵	失	徒結	二	v04	073b-03
1252	w0330760	1119	迷	mí	Old_Chinese	辵	米	莫兮	五	v04	073b-04
1253	w0330770	1120	連	lián	Old_Chinese				四	v04	073b-05
1254	w0330780	1121	逑	qiú	Old_Chinese	辵	求	巨鳩	禾	v04	073b-06
1255	w0330790	1122	䢙	䢙	Old_Chinese	辵	貝	薄邁	五	v04	074a-01
1256	w0330800	1123	逭	huàn	Old_Chinese	辵	官	胡玩	四	v04	074a-02
1257	w0330801	1123	𩁧	𩁧	Old_Chinese					v04	074a-03
1258	w0330810	1124	遯	dùn	Old_Chinese	辵	豚	徒困	三	v04	074a-04
1259	w0330820	1125	逋	bū	Old_Chinese	辵	甫	博孤	五	v04	074a-05
1260	w0330821	1125	𨕝	𨕝	Old_Chinese					v04	074a-06
1261	w0330830	1126	遺	yí	Old_Chinese	辵	貴	以追	五	v04	074a-07
1262	w0330840	1127	遂	suì	Old_Chinese	辵	㒸	徐醉	五	v04	074a-08
1263	w0330841	1127	𨓸	𨓸	Old_Chinese					v04	074a-09
1264	w0330850	1128	逃	táo	Old_Chinese	辵	兆	徒刀	二	v04	074a-10
1265	w0330860	1129	追	zhuī	Old_Chinese	辵	𠂤	陟隹	五	v04	074a-11
1266	w0330870	1130	逐	zhú	Old_Chinese				三	v04	074a-12
1267	w0330880	1131	逎	qiú	Old_Chinese	辵	酉	字秋	三	v04	074a-13
1268	w0330881	1131	遒	qiú	Old_Chinese					v04	074a-14
