ID	DOCULECT	DOCULECT_ID	CONCEPT	CONCEPT_CHINESE	CONCEPTICON_ID	CHARACTERS	VALUE	TOKENS	SAMPA	PAGE
3651	Chengdu	7	live(alive)	活的	2309	活着	xo²¹¯⁵⁵+li⁵⁵	x o ²¹¯⁵⁵ + l i ⁵⁵	xo21-55 li55	61
3652	Nanjing	8	live(alive)	活的	2309	活着	xoʔ⁵+ti⁰	x o ʔ ⁵ + t i ⁰	xo?5 ti0	61
3653	Jixi	9	live(alive)	活的	2309	活絡	voʔ³²+noʔ³²	v o ʔ ³² + n o ʔ ³²	vo?32_ no?32_	61
3654	Suzhou	10	live(alive)	活的	2309	活葛	ɦuə²³+kəʔ⁴	ɦ u ə ²³ + k ə ʔ ⁴	h\u@23_ k@?4	61
3655	Wenzhou	11	live(alive)	活的	2309	健個	ʥi²²¯³³+ɡi⁰	ʥ i ²²¯³³ + ɡ i ⁰	dz\i22-33 gi0	61
3656	Changsha	12	live(alive)	活的	2309	活的	xo²⁴+ti⁰	x o ²⁴ + t i ⁰	xo24 ti0	61
3657	Loudi	13	live(alive)	活的	2309	活的	xue³⁵+kɤ⁰	x u e ³⁵ + k ɤ ⁰	xue35 k70	61
3658	Nanchang	14	live(alive)	活的	2309	活個	uot²¹+ko⁴²	u o t ²¹ + k o ⁴²	uot21_ ko42	61
3659	Meixian	15	live(alive)	活的	2309	生個	saŋ³³¯³⁵+ŋe⁵³	s a ŋ ³³¯³⁵ + ŋ e ⁵³	saN33-35 Ne53	61
3660	Guilin	16	live(alive)	活的	2309	活個囗	xuo²²+kɤ⁰+te³³	x u o ²² + k ɤ ⁰ + t e ³³	xuo22 k70 te33	61
3661	Guangzhou	17	live(alive)	活的	2309	生口+既	saŋ⁵³+kɛ³³	s a ŋ ⁵³ + k ɛ ³³	saN53 kE33	61
3662	Fuzhou	18	live(alive)	活的	2309	活其	uaʔ⁵+ki⁵³	u a ʔ ⁵ + k i ⁵³	ua?5 ki53	61
3663	Xiamen	19	live(alive)	活的	2309	活的	uaʔ⁵¯³²+e⁰	u a ʔ ⁵¯³² + e ⁰	ua?5-32_ e0	61
3190	Beijing	1	liver	肝	1224	肝	kan⁵⁵	k a n ⁵⁵	kan55	50
3191	Ha_erbin	2	liver	肝	1224	肝	kan⁴⁴	k a n ⁴⁴	kan44	50
3192	Jinan	3	liver	肝	1224	肝	kæ̃²¹³	k æ̃ ∼ ²¹³	k{~213	50
3193	Rongcheng	4	liver	肝	1224	肝	kɐn⁵²	k ɐ n ⁵²	k6n52	50
3194	Taiyuan	5	liver	肝	1224	肝	kæ̃²¹	k æ̃ ∼ ²¹	k{~21	50
3195	Xi_an	6	liver	肝	1224	肝	tæ̃⁵³	t æ̃ ∼ ⁵³	t{~53	50
3196	Chengdu	7	liver	肝	1224	肝	tan⁵³	t a n ⁵³	tan53	50
3197	Nanjing	8	liver	肝	1224	肝	kɑ̃³¹	k ɑ̃ ∼ ³¹	kA~31	50
3198	Jixi	9	liver	肝	1224	肝	kɔ⁵⁵	k ɔ ⁵⁵	kO55	50
3199	Suzhou	10	liver	肝	1224	肝	kø⁴⁴	k ø ⁴⁴	kø⁴⁴	50
3200	Wenzhou	11	liver	肝	1224	肝	ky⁴⁴	k y ⁴⁴	ky44	50
3201	Changsha	12	liver	肝	1224	肝	kan³³	k a n ³³	kan33	50
3202	Loudi	13	liver	肝	1224	肝	kuẽ⁴⁴	k u ẽ ∼ ⁴⁴	kue~44	50
3203	Nanchang	14	liver	肝	1224	肝	kon⁴²	k o n ⁴²	kon42	50
3204	Meixian	15	liver	肝	1224	肝	lon³³	l o n ³³	lon33	50
3205	Guilin	16	liver	肝	1224	肝	kuɑ⁴²	k u ɑ ⁴²	kuA42	50
3206	Guangzhou	17	liver	肝	1224	肝	kɔn⁵³	k ɔ n ⁵³	kOn53	50
3207	Fuzhou	18	liver	肝	1224	肝	kaŋ⁵⁵	k a ŋ ⁵⁵	kaN55	50
3208	Xiamen	19	liver	肝	1224	肝	kuã⁵⁵	k u ã ∼ ⁵⁵	kua~55	50
190	Beijing	1	long	長	1203	長	t͡ʂʰɑŋ³⁵	t͡ʂʰ ɑ ŋ ³⁵	ts`_hAN35	36
191	Ha_erbin	2	long	長	1203	長	t͡ʂʰaŋ²⁴	t͡ʂʰ a ŋ ²⁴	ts`_haN24	36
192	Jinan	3	long	長	1203	長	ʦʰɑŋ⁵³	ʦʰ ɑ ŋ ⁵³	ts_hAN53	36
193	Rongcheng	4	long	長	1203	長	t͡ʂʰaŋ³⁵	t͡ʂʰ a ŋ ³⁵	ts`_haN35	36
194	Taiyuan	5	long	長	1203	長	ʦʰɐ̃²¹	ʦʰ ɐ̃ ∼ ²¹	ts_h6~21	36
195	Xi_an	6	long	長	1203	長	t͡ʂʰɑŋ²⁴	t͡ʂʰ ɑ ŋ ²⁴	ts`_hAN24	36
196	Chengdu	7	long	長	1203	長	ʦʰaŋ²¹	ʦʰ a ŋ ²¹	ts_haN21	36
197	Nanjing	8	long	長	1203	長	ʦʰɑ̃¹³	ʦʰ ɑ̃ ∼ ¹³	ts_hA~13	36
198	Jixi	9	long	長	1203	長	ʨʰiõ⁴⁴	ʨʰ i õ ∼ ⁴⁴	tc\_hio~44	36
199	Suzhou	10	long	長	1203	長	zã¹³	z ã ∼ ¹³	za~13	36
200	Wenzhou	11	long	長	1203	長	ʥi³⁴¹	ʥ i ³⁴¹	dz\i341	36
201	Changsha	12	long	長	1203	長	ʦan¹³	ʦ a n ¹³	tsan13	36
202	Loudi	13	long	長	1203	長	ʥɔŋ¹³	ʥ ɔ ŋ ¹³	dz\ON13	36
203	Nanchang	14	long	長	1203	長	ʦʰɔŋ²⁴	ʦʰ ɔ ŋ ²⁴	ts_hON24	36
204	Meixian	15	long	長	1203	長	ʦ̞ŋ¹¹	ʦ̞ ŋ ¹¹	ts_oN11	36
205	Guilin	16	long	長	1203	長	ʦɑŋ²²	ʦ ɑ ŋ ²²	tsAN22	36
206	Guangzhou	17	long	長	1203	長	ʦʰœŋ²¹	ʦʰ œ ŋ ²¹	ts_h9N21	36
207	Fuzhou	18	long	長	1203	長	tuoŋ⁵³	t u o ŋ ⁵³	tuoN53	36
208	Xiamen	19	long	長	1203	長	tŋ̍²⁴	t ŋ̍ ²⁴	tN=24	36
710	Beijing	1	louse	獅子	1392	虱	ʂʅ⁵⁵	ʂ ʅ ⁵⁵	s`i`55	88
711	Ha_erbin	2	louse	獅子	1392	虱子	ʂʅ⁴⁴+ʦɿ⁰	ʂ ʅ ⁴⁴ + ʦ ɿ ⁰	s`i`44 tsi_z0	88
712	Jinan	3	louse	獅子	1392	虱子	ʂʅ²¹⁴¯²¹+ʦɿ⁰	ʂ ʅ ²¹⁴¯²¹ + ʦ ɿ ⁰	s`i`214-21 tsi_z0	88
713	Rongcheng	4	louse	獅子	1392	虱	ʂʅ⁵²	ʂ ʅ ⁵²	s`i`52	88
714	Taiyuan	5	louse	獅子	1392	虱	+səʔ²	+s ə ʔ ²	(1) s@?2	88
715	Taiyuan	5	louse	獅子	1392	虱子	+səʔ²+ʦəʔ⁰	+s ə ʔ ² + ʦ ə ʔ ⁰	(2) s@?2 ts@?0	88
716	Xi_an	6	louse	獅子	1392	虱	sei²¹	s e i ²¹	sei21	88
717	Chengdu	7	louse	獅子	1392	虱子	se²¹¯⁵⁵+ʦɿ⁵³	s e ²¹¯⁵⁵ + ʦ ɿ ⁵³	se21-55 tsi_z53	88
718	Nanjing	8	louse	獅子	1392	虱子	seʔ⁵+ʦɿ⁰	s e ʔ ⁵ + ʦ ɿ ⁰	se?5 tsi_z0	88
719	Jixi	9	louse	獅子	1392	虱子	ɕieʔ³²+ʦɿ⁰	ɕ i e ʔ ³² + ʦ ɿ ⁰	c\ie?32_ tsi_z0	88
720	Suzhou	10	louse	獅子	1392	跳虱	diæ¹³¯²²+səʔ⁴	d i æ ¹³¯²² +s ə ʔ ⁴	di{13-22 s@?4	88
721	Wenzhou	11	louse	獅子	1392	虱	sai⁴¹	s a i ⁴¹	sai41	88
722	Changsha	12	louse	獅子	1392	虱	+sɿ²⁴	+s ɿ ²⁴	(1) si_z24	88
723	Changsha	12	louse	獅子	1392	虱婆子	+sɿ²⁴+po¹³+ʦɿ⁰	+s ɿ ²⁴ + p o ¹³ + ʦ ɿ ⁰	(2) si_z24 po13 tsi_z0	88
724	Loudi	13	louse	獅子	1392	虱婆子	ɕe¹³+bu¹³¯³³+sɿ⁰	ɕ e ¹³ + b u ¹³¯³³ +s ɿ ⁰	c\e13 bu13-33 si_z0	88
725	Nanchang	14	louse	獅子	1392	虱	sət⁵	s ə t ⁵	s@t5	88
726	Meixian	15	louse	獅子	1392	虱女+麻	set¹+ma¹¹	s e t ¹ + m a ¹¹	set1 ma11	88
727	Guilin	16	louse	獅子	1392	虱	sɤ⁵⁵	s ɤ ⁵⁵	s755	88
728	Guangzhou	17	louse	獅子	1392	虱	sɐt⁵	s ɐ t ⁵	s6t5	88
729	Fuzhou	18	louse	獅子	1392	虱母	sɛiʔ²⁴¯³⁵+mo³²	s ɛ i ʔ ²⁴¯³⁵ + m o ³²	sEi?24-35 mo32	88
730	Xiamen	19	louse	獅子	1392	家叉-蟲	ka⁵⁵¯²²+ʦau⁵³	k a ⁵⁵¯²² + ʦ a u ⁵³	ka55-22 tsau53	88
4193	Beijing	1	man	男人	1554	男人	nan³⁵+ʐən³⁵	n a n ³⁵ +ʐ ə n ³⁵	nan35 z`@n35	74
4194	Ha_erbin	2	man	男人	1554	大老爺們兒	+ta⁵³+lau²¹³¯²¹+ɛ²⁴+mər⁰	+ t a ⁵³ + l a u ²¹³¯²¹ + ɛ ²⁴ + m ə r ⁰	(1) ta53 lau213-21 E24 m@r0	74
4195	Ha_erbin	2	man	男人	1554	老爺們兒	+lau²¹³¯²¹+iɛ²⁴+mər⁰	+ l a u ²¹³¯²¹ + i ɛ ²⁴ + m ə r ⁰	(2) lau213-21 iE24 m@r0	74
4196	Jinan	3	man	男人	1554	男人	næ̃⁵³¯⁴⁵+ʐẽ⁰	n æ̃ ∼ ⁵³¯⁴⁵ +ʐ ẽ ∼ ⁰	n{~53-45 z`e~0	74
4197	Rongcheng	4	man	男人	1554	男人	nɐn³⁵+in⁰	n ɐ n ³⁵ + i n ⁰	n6n35 in0	74
4198	Taiyuan	5	man	男人	1554	男人	næ̃²¹+zəŋ²¹	n æ̃ ∼ ²¹ +z ə ŋ ²¹	n{~21 z@N21	74
4199	Xi_an	6	man	男人	1554	男人	næ̃²⁴+ʐẽ⁰	n æ̃ ∼ ²⁴ +ʐ ẽ ∼ ⁰	n{~24 z`e~0	74
4200	Chengdu	7	man	男人	1554	男人	+nan²¹¯⁵⁵+zən²¹	+ n a n ²¹¯⁵⁵ +z ə n ²¹	(1) nan21-55 z@n21	74
4201	Chengdu	7	man	男人	1554	男的	+nan²¹¯⁵⁵+ni⁵⁵	+ n a n ²¹¯⁵⁵ + n i ⁵⁵	(2) nan21-55 ni55	74
4202	Nanjing	8	man	男人	1554	男人	lɑ̃¹³+ʐən¹³	l ɑ̃ ∼ ¹³ +ʐ ə n ¹³	lA~13 z`@n13	74
4203	Jixi	9	man	男人	1554	男仂	nɔ⁴⁴+nɤ⁰	n ɔ ⁴⁴ + n ɤ ⁰	nO44 n70	74
4204	Suzhou	10	man	男人	1554	男人	nø¹³¯²²+ɳin¹³¯³¹	n ø ¹³¯²² + ɳ i n ¹³¯³¹	nø13-22 n`in13-31	74
4205	Wenzhou	11	man	男人	1554	男子客	nø³⁴¹¯²²+ʦɿ²⁴²¯⁴⁵+kʰa⁴¹	n ø ³⁴¹¯²² + ʦ ɿ ²⁴²¯⁴⁵ + kʰ a ⁴¹	nø341-22 tsi_z242-45 k_ha41	74
4206	Changsha	12	man	男人	1554	男人	+lan¹³+ʐən¹³	+ l a n ¹³ +ʐ ə n ¹³	(1) lan13 z`@n13	74
4207	Changsha	12	man	男人	1554	男的	+lan¹³+ti⁰	+ l a n ¹³ + t i ⁰	(2) lan13 ti0	74
4208	Changsha	12	man	男人	1554	男人家	+lan¹³+ʐən⁰+ka⁰	+ l a n ¹³ +ʐ ə n ⁰ + k a ⁰	(3) lan13 z`@n0 ka0	74
4209	Loudi	13	man	男人	1554	男人家	nã¹³+nin¹³¯³³+ka⁴⁴¯³³	n ã ∼ ¹³ + n i n ¹³¯³³ + k a ⁴⁴¯³³	na~13 nin13-33 ka44-33	74
4210	Nanchang	14	man	男人	1554	男人	lan⁴⁵+lɨn⁰	l a n ⁴⁵ + l ɨ n ⁰	lan45 lɨn0	74
4211	Meixian	15	man	男人	1554	男兒人	nam¹¹+me³³+ŋin¹¹	n a m ¹¹ + m e ³³ + ŋ i n ¹¹	nam11 me33 Nin11	74
4212	Guilin	16	man	男人	1554	男人	lã²²+liŋ²²	l ã ∼ ²² + l i ŋ ²²	la~22 liN22	74
4213	Guangzhou	17	man	男人	1554	男人	nam²¹+liɐn²¹¯³⁵	n a m ²¹ + l i ɐ n ²¹¯³⁵	nam21 li6n21-35	74
4214	Fuzhou	18	man	男人	1554	丈夫儂	+touŋ²¹²¯²¹+muo³²¯³⁵+nøyŋ⁵³	+ t o u ŋ ²¹²¯²¹ + m u o ³²¯³⁵ + n ø y ŋ ⁵³	(1) touN212-21 muo32-35 n2yN53	74
4215	Fuzhou	18	man	男人	1554	男?	+naŋ⁵³¯²¹+ŋai²¹²	+ n a ŋ ⁵³¯²¹ + ŋ a i ²¹²	() naN53-21 Nai212	74
4216	Xiamen	19	man	男人	1554	丈夫人	ta²²¯³³+pɔ⁵⁵¯⁴⁴+laŋ²⁴	t a ²²¯³³ + p ɔ ⁵⁵¯⁴⁴ + l a ŋ ²⁴	ta22-33 pO55-44 laN24	74
2970	Beijing	1	many	多	1198	多	tuo⁵⁵	t u o ⁵⁵	tuo55	46
2971	Ha_erbin	2	many	多	1198	多	tuo⁴⁴	t u o ⁴⁴	tuo44	46
2972	Jinan	3	many	多	1198	多	tuɤ²¹⁴	t u ɤ ²¹⁴	tu7214	46
2973	Rongcheng	4	many	多	1198	多	tuɔ⁵²	t u ɔ ⁵²	tuO52	46
2974	Taiyuan	5	many	多	1198	多	tuo²¹	t u o ²¹	tuo21	46
2975	Xi_an	6	many	多	1198	多	tuo²¹	t u o ²¹	tuo21	46
2976	Chengdu	7	many	多	1198	多	to⁴⁵	t o ⁴⁵	to45	46
2977	Nanjing	8	many	多	1198	多	to³¹	t o ³¹	to31	46
2978	Jixi	9	many	多	1198	多	tɵ⁵⁵	t ɵ ⁵⁵	t855	46
2979	Suzhou	10	many	多	1198	多	təu⁴⁴	t ə u ⁴⁴	t@u44	46
2980	Wenzhou	11	many	多	1198	多	tɤu⁴⁴	t ɤ u ⁴⁴	t7u44	46
2981	Changsha	12	many	多	1198	多	to³³	t o ³³	to33	46
2982	Loudi	13	many	多	1198	多	to⁴⁴	t o ⁴⁴	to44	46
2983	Nanchang	14	many	多	1198	多	to⁴²	t o ⁴²	to42	46
2984	Meixian	15	many	多	1198	多	to³³	t o ³³	to33	46
2985	Guilin	16	many	多	1198	多	tuo⁴²	t u o ⁴²	tuo42	46
2986	Guangzhou	17	many	多	1198	多	tɔ⁵³	t ɔ ⁵³	tO53	46
2987	Fuzhou	18	many	多	1198	多	sa²⁴²	s a ²⁴²	sa242	46
2988	Xiamen	19	many	多	1198	多	ʦue²²	ʦ u e ²²	tsue22	46
4076	Beijing	1	mather	母親	1216	母親	mi²¹⁴¯²¹+ʨʰin⁵⁵	m i ²¹⁴¯²¹ + ʨʰ i n ⁵⁵	mi214-21 tc\_hin55	72
4077	Ha_erbin	2	mather	母親	1216	媽	+m⁴⁴	+ m ⁴⁴	(1) m44	72
4078	Ha_erbin	2	mather	母親	1216	娘	+niaŋ²⁴	+ n i a ŋ ²⁴	(2) niaN24	72
4079	Jinan	3	mather	母親	1216	母親	mu⁴⁵¯²¹⁴+ʨiẽ⁰	m u ⁴⁵¯²¹⁴ + ʨ i ẽ ∼ ⁰	mu45-214 tc\ie~0	72
4080	Rongcheng	4	mather	母親	1216	媽	ma⁵²	m a ⁵²	ma52	72
4081	Taiyuan	5	mather	母親	1216	母親	mu⁵³+ʨʰiŋ²¹	m u ⁵³ + ʨʰ i ŋ ²¹	mu53 tc\_hiN21	72
4082	Xi_an	6	mather	母親	1216	媽	ma²¹	m a ²¹	ma21	72
4083	Chengdu	7	mather	母親	1216	媽媽	ma⁴⁵+ma⁵⁵	m a ⁴⁵ + m a ⁵⁵	ma45 ma55	72
4084	Nanjing	8	mather	母親	1216	媽媽	+mɑ³¹+mɑ⁰	+ m ɑ ³¹ + m ɑ ⁰	(1) mA31 mA0	72
4085	Nanjing	8	mather	母親	1216	母親	+mu¹¹¯²¹+ʨʰin⁰	+ m u ¹¹¯²¹ + ʨʰ i n ⁰	(2) mu11-21 tc\_hin0	72
4086	Jixi	9	mather	母親	1216	媽媽	+mɔ³¹+mɔ⁰	+ m ɔ ³¹ + m ɔ ⁰	(1) mO31 mO0	72
4087	Jixi	9	mather	母親	1216	母親	+mɵ²¹³¯³¹+ʨʰiɑ̃⁵⁵	+ m ɵ ²¹³¯³¹ + ʨʰ i ɑ̃ ∼ ⁵⁵	(2) m8213-31 tc\_hiA~55	72
4088	Jixi	9	mather	母親	1216	娘	+ɳiõ⁴⁴	+ ɳ i õ ∼ ⁴⁴	(3) n`io~44	72
4089	Suzhou	10	mather	母親	1216	姆媽	m̩⁴⁴+mɑ⁴⁴¯²¹	m̩ ⁴⁴ + m ɑ ⁴⁴¯²¹	m=44 mA44-21	72
4090	Wenzhou	11	mather	母親	1216	阿奶	a⁴¹¯²+na⁴⁴	a ⁴¹¯² + n a ⁴⁴	a41-2 na44	72
4091	Changsha	12	mather	母親	1216	母親	+mo⁴¹+ʨʰin³³	+ m o ⁴¹ + ʨʰ i n ³³	(1) mo41 tc\_hin33	72
4092	Changsha	12	mather	母親	1216	娘(背稱)	+ɳian¹³	+ ɳ i a n ¹³	(2) n`ian13	72
4093	Changsha	12	mather	母親	1216	娘老子(背稱)	+ɳian¹³+lau⁰+ʦɿ⁰	+ ɳ i a n ¹³ + l a u ⁰ + ʦ ɿ ⁰	(3) n`ian13 lau0 tsi_z0	72
4094	Changsha	12	mather	母親	1216	媽媽	+ma³³+ma³³	+ m a ³³ + m a ³³	(4) ma33 ma33	72
4095	Changsha	12	mather	母親	1216	姆媽	+m̩³³+ma³³	+ m̩ ³³ + m a ³³	(5) m=33 ma33	72
4096	Loudi	13	mather	母親	1216	姆媽	m̩¹¹+ma⁴²¯¹	m̩ ¹¹ + m a ⁴²¯¹	m=11 ma42-1	72
4097	Nanchang	14	mather	母親	1216	母親	+mu²¹³+ʨʰin⁴²	+ m u ²¹³ + ʨʰ i n ⁴²	(1) mu213 tc\_hin42	72
4098	Nanchang	14	mather	母親	1216	娘	+ɳiɔŋ⁴⁵	+ ɳ i ɔ ŋ ⁴⁵	(2) n`iON45	72
4099	Meixian	15	mather	母親	1216	娭兒	+oi³³¯³⁵+ie⁰	+ o i ³³¯³⁵ + i e ⁰	(1) oi33-35 ie0	72
4100	Meixian	15	mather	母親	1216	??	+a³³+me³³	+ a ³³ + m e ³³	(2) a33 me33	72
4101	Guilin	16	mather	母親	1216	姐	ʨiɑɑ²³	ʨ i ɑɑ ²³	tc\iAA23	72
4102	Guangzhou	17	mather	母親	1216	母親	mou³⁵+ʦʰɐn⁵³	m o u ³⁵ + ʦʰ ɐ n ⁵³	mou35 ts_h6n53	72
4103	Fuzhou	18	mather	母親	1216	依～媽	+i⁴⁴+ma⁴⁴	+ i ⁴⁴ + m a ⁴⁴	(1) i44 ma44	72
4104	Fuzhou	18	mather	母親	1216	依～奶	+i⁵⁵¯⁵³+nɛ³²	+ i ⁵⁵¯⁵³ + n ɛ ³²	(2) i55-53 nE32	72
4105	Fuzhou	18	mather	母親	1216	娘妳	+louŋ⁵³¯³³+nɛ³²	+ l o u ŋ ⁵³¯³³ + n ɛ ³²	(3) louN53-33 nE32	72
4106	Xiamen	19	mather	母親	1216	阿姆	+a⁵⁵¯¹¹+bu⁵³	+ a ⁵⁵¯¹¹ + b u ⁵³	(1) a55-11 bu53	72
4107	Xiamen	19	mather	母親	1216	老姆	+lau²⁴¯²²+bu⁵³	+ l a u ²⁴¯²² + b u ⁵³	(2) lau24-22 bu53	72
2092	Beijing	1	moon	月亮	1313	月亮	yɛ⁵¹+liɑŋ⁰	y ɛ ⁵¹ + l i ɑ ŋ ⁰	yE51 liAN0	121
2093	Ha_erbin	2	moon	月亮	1313	月亮	yɛ⁵³+liaŋ⁰	y ɛ ⁵³ + l i a ŋ ⁰	yE53 liaN0	121
2094	Jinan	3	moon	月亮	1313	月亮	yɤ²¹¯²¹⁴+liɑŋ³¹	y ɤ ²¹¯²¹⁴ + l i ɑ ŋ ³¹	y721-214 liAN31	121
2095	Rongcheng	4	moon	月亮	1313	月亮	yɛ³³⁴¯³⁴+liaŋ³³⁴	y ɛ ³³⁴¯³⁴ + l i a ŋ ³³⁴	yE334-34 liaN334	121
2096	Taiyuan	5	moon	月亮	1313	月亮	+yəʔ²+liɒ̃⁴⁵	+ y ə ʔ ² + l i ɒ̃ ∼ ⁴⁵	(1) y@?2 liQ~45	121
2097	Taiyuan	5	moon	月亮	1313	月明～	+yəʔ+mi⁰	+ y ə ʔ + m i ⁰	(2) y@? mi0	121
2098	Xi_an	6	moon	月亮	1313	月亮	yɛ²¹+liɑŋ⁰	y ɛ ²¹ + l i ɑ ŋ ⁰	yE21 liAN0	121
2099	Chengdu	7	moon	月亮	1313	月亮	ye²¹¯⁵⁵+liaŋ⁰	y e ²¹¯⁵⁵ + l i a ŋ ⁰	ye21-55 liaN0	121
2100	Nanjing	8	moon	月亮	1313	月亮	yeʔ⁵+liɑ̃⁰	y e ʔ ⁵ + l i ɑ̃ ∼ ⁰	ye?5 liA~0	121
2101	Jixi	9	moon	月亮	1313	月亮	yaʔ³²¯²³+ɳiɑ̃³¹	y a ʔ ³²¯²³ + ɳ i ɑ̃ ∼ ³¹	ya?32_-23 n`iA~31	121
2102	Suzhou	10	moon	月亮	1313	月亮	ŋəʔ²³+liã²³¹¯³¹	ŋ ə ʔ ²³ + l i ã ∼ ²³¹¯³¹	N@?23_ lia~231-31	121
2103	Wenzhou	11	moon	月亮	1313	月光	ɳy²¹¯²+kuɔ⁴⁴	ɳ y ²¹¯² + k u ɔ ⁴⁴	n`y21-2 kuO44	121
2104	Changsha	12	moon	月亮	1313	月亮	+ye¹²⁴+lian¹¹	+ y e ¹²⁴ + l i a n ¹¹	(1) ye124 lian11	121
2105	Changsha	12	moon	月亮	1313	月亮巴巴	+ye²⁴+lian¹¹+pa³³+pa⁰	+ y e ²⁴ + l i a n ¹¹ + p a ³³ + p a ⁰	(2) ye24 lian11 pa33 pa0	121
2106	Loudi	13	moon	月亮	1313	月光	ue³⁵+kɔŋ⁴⁴¯³³	u e ³⁵ + k ɔ ŋ ⁴⁴¯³³	ue35 kON44-33	121
2107	Nanchang	14	moon	月亮	1313	月光	ɳyot⁵+liɔŋ⁰	ɳ y o t ⁵ + l i ɔ ŋ ⁰	n`yot5 liON0	121
2108	Meixian	15	moon	月亮	1313	月光	ŋiat⁵+kuoŋ³³	ŋ i a t ⁵ + k u o ŋ ³³	Niat5 kuoN33	121
2109	Guilin	16	moon	月亮	1313	月亮	lye⁵⁵+liɑŋ²¹	l y e ⁵⁵ + l i ɑ ŋ ²¹	lye55 liAN21	121
2110	Guangzhou	17	moon	月亮	1313	月光	yt²+kuɔŋ⁵⁵	y t ² + k u ɔ ŋ ⁵⁵	yt2 kuON55	121
2111	Fuzhou	18	moon	月亮	1313	月	ŋuoʔ⁵	ŋ u o ʔ ⁵	Nuo?5	121
2112	Xiamen	19	moon	月亮	1313	月娘	ɡeʔ⁵¯²¹+niũ²⁴	ɡ e ʔ ⁵¯²¹ + n i ũ ∼ ²⁴	ge?5-21_ niu~24	121
586	Beijing	1	mountain	山	639	山	ʂan⁵⁵	ʂ a n ⁵⁵	s`an55	85
587	Ha_erbin	2	mountain	山	639	山	ʂan⁴⁴	ʂ a n ⁴⁴	s`an44	85
588	Jinan	3	mountain	山	639	山	ʂæ̃²¹³	ʂ æ̃ ∼ ²¹³	s`{~213	85
589	Rongcheng	4	mountain	山	639	山	ʂɐn⁵²	ʂ ɐ n ⁵²	s`6n52	85
590	Taiyuan	5	mountain	山	639	山	sæ̃²¹	s æ̃ ∼ ²¹	s{~21	85
591	Xi_an	6	mountain	山	639	山	sæ̃²¹	s æ̃ ∼ ²¹	s{~21	85
592	Chengdu	7	mountain	山	639	山	san⁴⁵	s a n ⁴⁵	san45	85
593	Nanjing	8	mountain	山	639	山	sɑ̃³¹	s ɑ̃ ∼ ³¹	sA~31	85
594	Jixi	9	mountain	山	639	山	sɔ⁴⁴	s ɔ ⁴⁴	sO44	85
595	Suzhou	10	mountain	山	639	山	sᴇ³³	s ᴇ ³³	sE`33	85
596	Wenzhou	11	mountain	山	639	山	sa⁴⁴	s a ⁴⁴	sa44	85
597	Changsha	12	mountain	山	639	山	san³³	s a n ³³	san33	85
598	Loudi	13	mountain	山	639	山	sã⁴⁴	s ã ∼ ⁴⁴	sa~44	85
599	Nanchang	14	mountain	山	639	山	san⁴²	s a n ⁴²	san42	85
600	Meixian	15	mountain	山	639	山	san³³	s a n ³³	san33	85
601	Guilin	16	mountain	山	639	山	sã⁴²	s ã ∼ ⁴²	sa~42	85
602	Guangzhou	17	mountain	山	639	山	san⁵³	s a n ⁵³	san53	85
603	Fuzhou	18	mountain	山	639	山	saŋ⁵⁵	s a ŋ ⁵⁵	saN55	85
604	Xiamen	19	mountain	山	639	山	suã⁵⁵	s u ã ∼ ⁵⁵	sua~55	85
2742	Beijing	1	mouth	嘴	674	嘴	ʦuei²¹³	ʦ u e i ²¹³	tsuei213	131
2743	Ha_erbin	2	mouth	嘴	674	嘴	+ʦuei²¹³	+ ʦ u e i ²¹³	(1) tsuei213	131
2744	Ha_erbin	2	mouth	嘴	674	嘴巴	+ʦuei²¹³¯²¹+pa⁰	+ ʦ u e i ²¹³¯²¹ + p a ⁰	(2) tsuei213-21 pa0	131
2745	Jinan	3	mouth	嘴	674	嘴	ʦuei⁴⁵	ʦ u e i ⁴⁵	tsuei45	131
2746	Rongcheng	4	mouth	嘴	674	嘴	ʦei²¹⁴	ʦ e i ²¹⁴	tsei214	131
2747	Taiyuan	5	mouth	嘴	674	嘴	ʦuei⁵³	ʦ u e i ⁵³	tsuei53	131
2748	Xi_an	6	mouth	嘴	674	嘴	ʦuei⁵³	ʦ u e i ⁵³	tsuei53	131
2749	Chengdu	7	mouth	嘴	674	嘴巴	+ʦuei⁵³¯⁵⁵+pa⁵⁵	+ ʦ u e i ⁵³¯⁵⁵ + p a ⁵⁵	(1) tsuei53-55 pa55	131
2750	Chengdu	7	mouth	嘴	674	牙巴	+ia²¹¯⁵⁵+pa⁵⁵	+ i a ²¹¯⁵⁵ + p a ⁵⁵	(2) ia21-55 pa55	131
2751	Nanjing	8	mouth	嘴	674	嘴	+ʦuei¹¹	+ ʦ u e i ¹¹	(1) tsuei11	131
2752	Nanjing	8	mouth	嘴	674	嘴巴	+ʦuei¹¹+pɑ³¹	+ ʦ u e i ¹¹ + p ɑ ³¹	(2) tsuei11 pA31	131
2753	Jixi	9	mouth	嘴	674	嘴	ʨy²¹³	ʨ y ²¹³	tc\y213	131
2754	Suzhou	10	mouth	嘴	674	嘴	ʦʯ⁵²	ʦ ʯ ⁵²	tsH`52	131
2755	Wenzhou	11	mouth	嘴	674	嘴	ʦɿ²⁴	ʦ ɿ ²⁴	tsi_z24	131
