ID	CHARACTER	PINYIN	DOCULECT	PHONETIC_CLASS	KARLGREN_ID	READING	SOURCE
199	詎	jù	Old_Chinese	01-19	0095p		Schuessler2009
200	詎	jù	Middle_Chinese		0095p	gjoH	Wikibooks2016b
201	詎	jù	Middle_Chinese		0095p	gjoX	Wikibooks2016b
202	距	jù	Old_Chinese	01-19	0095q		Schuessler2009
203	距	jù	Middle_Chinese		0095q	gjoX	Wikibooks2016b
204	鉅	jù	Old_Chinese	01-19	0095r		Schuessler2009
205	鉅	jù	Middle_Chinese		0095r	gjoX	Wikibooks2016b
206	瞿	qú	Old_Chinese	01-20	0096c		Schuessler2009
207	瞿	qú	Middle_Chinese		0096c	gju	Wikibooks2016b
208	衢	qú	Old_Chinese	01-20	0096d		Schuessler2009
209	衢	qú	Middle_Chinese		0096d	gju	Wikibooks2016b
210	躣	qú	Old_Chinese	01-20	0096e		Schuessler2009
211	躣	qú	Middle_Chinese		0096e	gju	Wikibooks2016b
212	鸜	qú	Old_Chinese	01-20	0096g		Schuessler2009
213	鸜	qú	Middle_Chinese		0096g	gju	Wikibooks2016b
214	瓜	guā	Old_Chinese	01-21	0041a		Schuessler2009
215	瓜	guā	Middle_Chinese		0041a	kwae	Wikibooks2016b
216	呱	gū	Old_Chinese	01-21	0041b		Schuessler2009
217	呱	gū	Middle_Chinese		0041b	ku	Wikibooks2016b
218	孤	gū	Old_Chinese	01-21	0041c		Schuessler2009
219	孤	gū	Middle_Chinese		0041c	ku	Wikibooks2016b
220	罛	gū	Old_Chinese	01-21	0041d		Schuessler2009
221	罛	gū	Middle_Chinese		0041d	ku	Wikibooks2016b
222	苽	gū	Old_Chinese	01-21	0041e		Schuessler2009
223	苽	gū	Middle_Chinese		0041e	ku	Wikibooks2016b
224	觚	gū	Old_Chinese	01-21	0041f		Schuessler2009
225	觚	gū	Middle_Chinese		0041f	ku	Wikibooks2016b
226	軱	gū	Old_Chinese	01-21	0041g		Schuessler2009
227	軱	gū	Middle_Chinese		0041g	ku	Wikibooks2016b
228	弧	hú	Old_Chinese	01-21	0041h		Schuessler2009
229	弧	hú	Middle_Chinese		0041h	hu	Wikibooks2016b
230	狐	hú	Old_Chinese	01-21	0041i		Schuessler2009
231	狐	hú	Middle_Chinese		0041i	hu	Wikibooks2016b
232	寡	guǎ	Old_Chinese	01-22	0042a		Schuessler2009
233	寡	guǎ	Middle_Chinese		0042a	kwaeX	Wikibooks2016b
234	于	yú	Old_Chinese	01-23	0097a		Schuessler2009
235	于	yú	Middle_Chinese		0097a	hju	Wikibooks2016b
236	宇	yǔ	Old_Chinese	01-23	0097h		Schuessler2009
237	宇	yǔ	Middle_Chinese		0097h	hjuX	Wikibooks2016b
238	盂	yú	Old_Chinese	01-23	0097k		Schuessler2009
239	盂	yú	Middle_Chinese		0097k	hju	Wikibooks2016b
240	竽	yú	Old_Chinese	01-23	0097n		Schuessler2009
241	竽	yú	Middle_Chinese		0097n	hju	Wikibooks2016b
242	芋	yù	Old_Chinese	01-23	0097o		Schuessler2009
243	芋	yù	Middle_Chinese		0097o	hjuH	Wikibooks2016b
244	迂	yū	Old_Chinese	01-23	0097p		Schuessler2009
245	迂	yū	Middle_Chinese		0097p	'ju	Wikibooks2016b
246	迂	yū	Middle_Chinese		0097p	hju	Wikibooks2016b
247	雩	yú	Old_Chinese	01-23	0097q		Schuessler2009
248	雩	yú	Middle_Chinese		0097q	hju	Wikibooks2016b
249	吁	yù	Old_Chinese	01-23	0097t		Schuessler2009
250	吁	yù	Middle_Chinese		0097t	xju	Wikibooks2016b
251	訏	xū	Old_Chinese	01-23	0097v		Schuessler2009
252	訏	xū	Middle_Chinese		0097v	xju	Wikibooks2016b
253	紆	yū	Old_Chinese	01-23	0097y		Schuessler2009
254	紆	yū	Middle_Chinese		0097y	'ju	Wikibooks2016b
255	圩	wéi	Old_Chinese	01-23	0097z		Schuessler2009
256	圩	wéi	Middle_Chinese		0097z	'u	Wikibooks2016b
257	汙	wū	Old_Chinese	01-23	0097b'		Schuessler2009
258	汙	wū	Middle_Chinese		0097b'	'wae	Wikibooks2016b
259	污	wū	Old_Chinese	01-23	0097c'		Schuessler2009
260	污	wū	Middle_Chinese		0097c'	'wae	Wikibooks2016b
261	夸	kuā	Old_Chinese	01-23	0043a		Schuessler2009
262	夸	kuā	Middle_Chinese		0043a	khwae	Wikibooks2016b
263	誇	kuā	Old_Chinese	01-23	0043b		Schuessler2009
264	誇	kuā	Middle_Chinese		0043b	khwae	Wikibooks2016b
265	跨	kuà	Old_Chinese	01-23	0043d		Schuessler2009
266	跨	kuà	Middle_Chinese		0043d	khuH	Wikibooks2016b
267	跨	kuà	Middle_Chinese		0043d	khwaeH	Wikibooks2016b
268	荂	fū	Old_Chinese	01-23	0043e		Schuessler2009
269	荂	fū	Middle_Chinese		0043e	xju	Wikibooks2016b
270	刳	kū	Old_Chinese	01-23	0043f		Schuessler2009
271	刳	kū	Middle_Chinese		0043f	khuH	Wikibooks2016b
272	洿	wū	Old_Chinese	01-23	0043k		Schuessler2009
273	洿	wū	Middle_Chinese		0043k	'u	Wikibooks2016b
274	羽	yǔ	Old_Chinese	01-24	0098a		Schuessler2009
275	羽	yǔ	Middle_Chinese		0098a	hjuX	Wikibooks2016b
276	栩	xǔ	Old_Chinese	01-24	0098c		Schuessler2009
277	栩	xǔ	Middle_Chinese		0098c	xjuX	Wikibooks2016b
278	詡	xǔ	Old_Chinese	01-24	0098d		Schuessler2009
279	詡	xǔ	Middle_Chinese		0098d	xjuX	Wikibooks2016b
280	禹	yǔ	Old_Chinese	01-25	0099a		Schuessler2009
281	禹	yǔ	Middle_Chinese		0099a	hjuX	Wikibooks2016b
282	偊	yǔ	Old_Chinese	01-25	0099d		Schuessler2009
283	偊	yǔ	Middle_Chinese		0099d	hjuX	Wikibooks2016b
284	楀	yǔ	Old_Chinese	01-25	0099e		Schuessler2009
285	楀	yǔ	Middle_Chinese		0099e	kjuX	Wikibooks2016b
286	萭	yǔ	Old_Chinese	01-25	0099f		Schuessler2009
287	萭	yǔ	Middle_Chinese		0099f	kjuX	Wikibooks2016b
288	踽	jǔ	Old_Chinese	01-25	0099g		Schuessler2009
289	踽	jǔ	Middle_Chinese		0099g	kjuX	Wikibooks2016b
290	雨	yǔ	Old_Chinese	01-26	0100a		Schuessler2009
291	雨	yǔ	Middle_Chinese		0100a	hjuX	Wikibooks2016b
292	雨	yǔ	Middle_Chinese		0100a	hjuH	Wikibooks2016b
293	華	huá	Old_Chinese	01-27	0044a		Schuessler2009
294	華	huá	Middle_Chinese		0044a	xwae	Wikibooks2016b
295	華	huá	Middle_Chinese		0044a	hwae	Wikibooks2016b
296	華	huá	Middle_Chinese		0044a	hwaeH	Wikibooks2016b
297	驊	huá	Old_Chinese	01-27	0044c		Schuessler2009
298	驊	huá	Middle_Chinese		0044c	hwae	Wikibooks2016b
299	譁	huá	Old_Chinese	01-27	0044d		Schuessler2009
300	譁	huá	Middle_Chinese		0044d	xwae	Wikibooks2016b
301	樺	huà	Old_Chinese	01-27	0044-		Schuessler2009
302	樺	huà	Middle_Chinese		0044-	hwaeH	Wikibooks2016b
303	花	huā	Old_Chinese	01-27	0044-		Schuessler2009
304	花	huā	Middle_Chinese		0044-	xwae	Wikibooks2016b
305	烏	wū	Old_Chinese	01-28	0061a		Schuessler2009
306	烏	wū	Middle_Chinese		0061a	'u	Wikibooks2016b
307	嗚	wū	Old_Chinese	01-28	0061d		Schuessler2009
308	嗚	wū	Middle_Chinese		0061d	'u	Wikibooks2016b
309	於	yú	Old_Chinese	01-28	0061e		Schuessler2009
310	於	yú	Middle_Chinese		0061e	'jo	Wikibooks2016b
311	於	yú	Middle_Chinese		0061e	'joH	Wikibooks2016b
312	於	yú	Middle_Chinese		0061e	'u	Wikibooks2016b
313	棜	yù	Old_Chinese	01-28	0061g		Schuessler2009
314	棜	yù	Middle_Chinese		0061g	'joH	Wikibooks2016b
315	瘀	yū	Old_Chinese	01-28	0061h		Schuessler2009
316	瘀	yū	Middle_Chinese		0061h	'joH	Wikibooks2016b
317	菸	yān	Old_Chinese	01-28	0061i		Schuessler2009
318	菸	yān	Middle_Chinese		0061i	'jo	Wikibooks2016b
319	閼	è	Old_Chinese	01-28	0270a		Schuessler2009
320	閼	è	Middle_Chinese		0270a	'at	Wikibooks2016b
321	五	wǔ	Old_Chinese	01-29	0058a		Schuessler2009
322	五	wǔ	Middle_Chinese		0058a	nguX	Wikibooks2016b
323	吾	wú	Old_Chinese	01-29	0058f		Schuessler2009
324	吾	wú	Middle_Chinese		0058f	ngu	Wikibooks2016b
325	悟	wù	Old_Chinese	01-29	0058j		Schuessler2009
326	悟	wù	Middle_Chinese		0058j	nguH	Wikibooks2016b
327	晤	wù	Old_Chinese	01-29	0058l		Schuessler2009
328	晤	wù	Middle_Chinese		0058l	nguH	Wikibooks2016b
329	寤	wù	Old_Chinese	01-29	0058n		Schuessler2009
330	寤	wù	Middle_Chinese		0058n	nguH	Wikibooks2016b
331	語	yǔ	Old_Chinese	01-29	0058t		Schuessler2009
332	語	yǔ	Middle_Chinese		0058t	ngjoX	Wikibooks2016b
333	語	yǔ	Middle_Chinese		0058t	ngjoH	Wikibooks2016b
334	鋙	yǔ	Old_Chinese	01-29	0058v		Schuessler2009
335	鋙	yǔ	Middle_Chinese		0058v	ngjo	Wikibooks2016b
336	鋙	yǔ	Middle_Chinese		0058v	ngjoX	Wikibooks2016b
337	午	wǔ	Old_Chinese	01-30	0060a		Schuessler2009
338	午	wǔ	Middle_Chinese		0060a	nguX	Wikibooks2016b
339	仵	wǔ	Old_Chinese	01-30	0060f		Schuessler2009
340	仵	wǔ	Middle_Chinese		0060f	nguH	Wikibooks2016b
341	仵	wǔ	Middle_Chinese		0060f	nguX	Wikibooks2016b
342	忤	wǔ	Old_Chinese	01-30	0060g		Schuessler2009
343	忤	wǔ	Middle_Chinese		0060g	nguH	Wikibooks2016b
344	迕	wù	Old_Chinese	01-30	0060h		Schuessler2009
345	迕	wù	Middle_Chinese		0060h	nguH	Wikibooks2016b
346	許	xǔ	Old_Chinese	01-30	0060i		Schuessler2009
347	許	xǔ	Middle_Chinese		0060i	xjoX	Wikibooks2016b
348	許	xǔ	Middle_Chinese		0060i	xuX	Wikibooks2016b
349	滸	hǔ	Old_Chinese	01-30	0060k		Schuessler2009
350	滸	hǔ	Middle_Chinese		0060k	xuX	Wikibooks2016b
351	御	yù	Old_Chinese	01-30	0060l		Schuessler2009
352	御	yù	Middle_Chinese		0060l	ngjoH	Wikibooks2016b
353	禦	yù	Old_Chinese	01-30	0060p		Schuessler2009
354	禦	yù	Middle_Chinese		0060p	ngjoX	Wikibooks2016b
355	魚	yú	Old_Chinese	01-31	0079a		Schuessler2009
356	魚	yú	Middle_Chinese		0079a	ngjo	Wikibooks2016b
357	漁	yú	Old_Chinese	01-31	0079g		Schuessler2009
358	漁	yú	Middle_Chinese		0079g	ngjo	Wikibooks2016b
359	䱷	yú	Old_Chinese	01-31	0079m		Schuessler2009
360	䱷	yú	Middle_Chinese		0079m	ngjo	Wikibooks2016b
361	穌	sū	Old_Chinese	01-31	0067a		Schuessler2009
362	穌	sū	Middle_Chinese		0067a	su	Wikibooks2016b
363	蘇	sū	Old_Chinese	01-31	0067c		Schuessler2009
364	蘇	sū	Middle_Chinese		0067c	su	Wikibooks2016b
365	圉	yǔ	Old_Chinese	01-32	0081a		Schuessler2009
366	圉	yǔ	Middle_Chinese		0081a	ngjoH	Wikibooks2016b
367	圉	yǔ	Middle_Chinese		0081a	ngjoX	Wikibooks2016b
368	馭	yù	Old_Chinese	01-33	0080a		Schuessler2009
369	馭	yù	Middle_Chinese		0080a	ngjoH	Wikibooks2016b
370	牙	yá	Old_Chinese	01-34	0037a		Schuessler2009
371	牙	yá	Middle_Chinese		0037a	ngae	Wikibooks2016b
372	庌	yǎ	Old_Chinese	01-34	0037c		Schuessler2009
373	庌	yǎ	Middle_Chinese		0037c	ngaeX	Wikibooks2016b
374	芽	yá	Old_Chinese	01-34	0037d		Schuessler2009
375	芽	yá	Middle_Chinese		0037d	ngae	Wikibooks2016b
376	迓	yà	Old_Chinese	01-34	0037f		Schuessler2009
377	迓	yà	Middle_Chinese		0037f	ngaeH	Wikibooks2016b
378	雅	yǎ	Old_Chinese	01-34	0037g		Schuessler2009
379	雅	yǎ	Middle_Chinese		0037g	ngaeX	Wikibooks2016b
380	鴉	yā	Old_Chinese	01-34	0037h		Schuessler2009
381	鴉	yā	Middle_Chinese		0037h	'ae	Wikibooks2016b
382	吳	wú	Old_Chinese	01-35	0059a		Schuessler2009
383	吳	wú	Middle_Chinese		0059a	ngu	Wikibooks2016b
384	誤	wù	Old_Chinese	01-35	0059d		Schuessler2009
385	誤	wù	Middle_Chinese		0059d	nguH	Wikibooks2016b
386	悞	wù	Old_Chinese	01-35	0059e		Schuessler2009
387	悞	wù	Middle_Chinese		0059e	nguH	Wikibooks2016b
388	俁	yǔ	Old_Chinese	01-35	0059f		Schuessler2009
389	俁	yǔ	Middle_Chinese		0059f	ngjuX	Wikibooks2016b
390	娛	yú	Old_Chinese	01-35	0059g		Schuessler2009
391	娛	yú	Middle_Chinese		0059g	ngju	Wikibooks2016b
392	虞	yú	Old_Chinese	01-35	0059h		Schuessler2009
393	虞	yú	Middle_Chinese		0059h	ngju	Wikibooks2016b
394	麌	yǔ	Old_Chinese	01-35	0059j		Schuessler2009
395	麌	yǔ	Middle_Chinese		0059j	ngjuX	Wikibooks2016b
396	噳	yǔ	Old_Chinese	01-35	0059k		Schuessler2009
397	噳	yǔ	Middle_Chinese		0059k	ngjuX	Wikibooks2016b
398	土	tǔ	Old_Chinese	01-36	0062a		Schuessler2009
399	土	tǔ	Middle_Chinese		0062a	duX	Wikibooks2016b
400	土	tǔ	Middle_Chinese		0062a	thuX	Wikibooks2016b
401	吐	tǔ	Old_Chinese	01-36	0062d		Schuessler2009
402	吐	tǔ	Middle_Chinese		0062d	thuH	Wikibooks2016b
403	吐	tǔ	Middle_Chinese		0062d	thuX	Wikibooks2016b
404	徒	tú	Old_Chinese	01-36	0062e		Schuessler2009
405	徒	tú	Middle_Chinese		0062e	du	Wikibooks2016b
