ID	CHARACTER	PINYIN	DOCULECT	PHONETIC_CLASS	KARLGREN_ID	READING	SOURCE
92	蛾	é	Old_Chinese	0002	0002q		Karlgren1954
93	蛾	é	Middle_Chinese		0002q	nga	Wikibooks2016a
94	蛾	é	Middle_Chinese		0002q	ngjeX	Wikibooks2016a
95	義	yì	Old_Chinese	0002	0002r		Karlgren1954
96	義	yì	Middle_Chinese		0002r	ngjeH	Wikibooks2016a
97	儀	yí	Old_Chinese	0002	0002u		Karlgren1954
98	儀	yí	Middle_Chinese		0002u	ngje	Wikibooks2016a
99	議	yì	Old_Chinese	0002	0002v		Karlgren1954
100	議	yì	Middle_Chinese		0002v	ngjeH	Wikibooks2016a
101	蟻	yǐ	Old_Chinese	0002	0002x		Karlgren1954
102	蟻	yǐ	Middle_Chinese		0002x	ngjeX	Wikibooks2016a
103	羲	xī	Old_Chinese	0002	0002y		Karlgren1954
104	羲	xī	Middle_Chinese		0002y	xje	Wikibooks2016a
105	犧	xī	Old_Chinese	0002	0002z		Karlgren1954
106	犧	xī	Middle_Chinese		0002z	xje	Wikibooks2016a
107	多	duō	Old_Chinese	0003	0003a		Karlgren1954
108	多	duō	Middle_Chinese		0003a	ta	Wikibooks2016a
109	侈	chǐ	Old_Chinese	0003	0003i		Karlgren1954
110	侈	chǐ	Middle_Chinese		0003i	tsyheX	Wikibooks2016a
111	哆	duō	Old_Chinese	0003	0003k		Karlgren1954
112	哆	duō	Middle_Chinese		0003k	tsyhaeX	Wikibooks2016a
113	移	yí	Old_Chinese	0003	0003q		Karlgren1954
114	移	yí	Middle_Chinese		0003q	ye	Wikibooks2016a
115	迻	yí	Old_Chinese	0003	0003r		Karlgren1954
116	迻	yí	Middle_Chinese		0003r	ye	Wikibooks2016a
117	㢋	chǐ	Old_Chinese	0003	0003t		Karlgren1954
118	㢋	chǐ	Middle_Chinese		0003t	tsyheX	Wikibooks2016a
119	它	tā	Old_Chinese	0004	0004a		Karlgren1954
120	它	tā	Middle_Chinese		0004a	tha	Wikibooks2016a
121	也	yě	Old_Chinese	0004	0004g		Karlgren1954
122	也	yě	Middle_Chinese		0004g	yaeX	Wikibooks2016a
123	紽	tuó	Old_Chinese	0004	0004j		Karlgren1954
124	紽	tuó	Middle_Chinese		0004j	da	Wikibooks2016a
125	蛇	shé	Old_Chinese	0004	0004l		Karlgren1954
126	蛇	shé	Middle_Chinese		0004l	zyae	Wikibooks2016a
127	匜	yí	Old_Chinese	0004	0004n		Karlgren1954
128	匜	yí	Middle_Chinese		0004n	ye	Wikibooks2016a
129	池	chí	Old_Chinese	0004	0004t		Karlgren1954
130	池	chí	Middle_Chinese		0004t	drje	Wikibooks2016a
131	馳	chí	Old_Chinese	0004	0004x		Karlgren1954
132	馳	chí	Middle_Chinese		0004x	drje	Wikibooks2016a
133	弛	chí	Old_Chinese	0004	0004a'		Karlgren1954
134	弛	chí	Middle_Chinese		0004a'	syeX	Wikibooks2016a
135	地	de	Old_Chinese	0004	0004b'		Karlgren1954
136	地	de	Middle_Chinese		0004b'	dijH	Wikibooks2016a
137	他	tā	Old_Chinese	0004	0004c'		Karlgren1954
138	他	tā	Middle_Chinese		0004c'	tha	Wikibooks2016a
139	施	shī	Old_Chinese	0004	0004l'		Karlgren1954
140	施	shī	Middle_Chinese		0004l'	sye	Wikibooks2016a
