ID	DOCULECT	CONCEPT	VALUE	SEGMENTS	STRUCTURE	BENZI	CHARACTERS	COGNATE_SET	COGNATE_SETS
9361	Huhehaote	on purpose	ʦʰə̃ŋ³¹⁻³³ɕĩŋ³¹	tsʰ ə̃ ŋ ³¹/³³ + ɕ ĩ ŋ ³¹	i n c t + i n c t	成心	成心	2850	0
9362	Beijing	on purpose	ku⁵¹i⁵¹	k u ⁵¹ + i ⁵¹	i n t + n t	故意	故意	2831	0
9363	Tianjin	on purpose	ʦʰəŋ⁴⁵ɕin	tsʰ ə ŋ ⁴⁵ + ɕ i n ⁰	i n c t + i n c t	成心	成心	2850	0
9364	Tianjin	on purpose	ʨiŋ⁵³iər¹³	tɕ i ŋ ⁵³ + i ə r ¹³	i n c t + m n r t	竟意+儿	竟意	2852	0
9365	Jinan	on purpose	tei⁴²⁻⁵⁵vei⁰ti	t e i ⁴²/⁵⁵ + v e i ⁰ + t i ⁰	i n N t + i n N t + i n t	特为的	特为的	2853	0
9366	Jinan	on purpose	tei⁴²⁻⁵⁵vei⁰ier²¹⁻⁵⁴⁴ti	t e i ⁴²/⁵⁵ + v e i ⁰ + i e r ²¹/⁵⁴⁴ + t i ⁰	i n N t + i n N t + m n r t + i n t	特为意+儿的	特为意的	2854	0
9367	Qingdao	on purpose	tã²¹³ve⁴²	t ã ∼ ²¹³ + v e ⁴²	i n c t + i n t	单为	单为	2855	0
9368	Qingdao	on purpose	te⁵⁵ve	t e ⁵⁵ + v e ⁰	i n t + i n t	得为	得为	2856	0
9369	Qingdao	on purpose	ʧʰəŋ⁴²siə̃²¹³ti	tʃʰ ə ŋ ⁴² + s i ə̃ ∼ ²¹³ + t i ⁰	i n c t + i m n c t + i n t	成心的	成心的	2857	0
9370	Nanjing	on purpose	ku⁴⁴i	k u ⁴⁴ + i ⁰	i n t + n t	故意	故意	2831	0
9371	Nanjing	on purpose	iəɯ²¹²⁻¹¹i⁴⁴	i ə ɯ ²¹²/¹¹ + i ⁴⁴	m n N t + n t	有意	有意	2828	0
9372	Hefei	on purpose	ku⁵³zɿ	k u ⁵³ + z ɿ ⁰	i n t + i n t	故意	故意	2831	0
9373	Hefei	on purpose	pa⁵³pa⁵³	p a ⁵³ + p a ⁵³	i n t + i n t	巴巴	巴巴	2858	0
9374	Zhengzhou	on purpose	tan²⁴ku³¹²⁻³¹iər²⁴	t a n ²⁴ + k u ³¹²/³¹ + i ə r ²⁴	i n c t + i n t + m n r t	单故意+儿	单故意	2859	0
9375	Wuhan	on purpose	ku³⁵i³⁵	k u ³⁵ + i ³⁵	i n t + n t	故意	故意	2831	0
9376	Wuhan	on purpose	ʦʰən²¹³⁻²¹ɕin⁵⁵	tsʰ ə n ²¹³/²¹ + ɕ i n ⁵⁵	i n c t + i n c t	存心	存心	2860	0
9377	Chengdu	on purpose	ni¹³pian⁵⁵	n i ¹³ + p i a n ⁵⁵	i n t + i m n c t	利边	利边	2861	0
9378	Chengdu	on purpose	ʦʰən³¹ɕin⁵⁵	tsʰ ə n ³¹ + ɕ i n ⁵⁵	i n c t + i n c t	成心	成心	2850	0
9379	Guiyang	on purpose	pa²¹³i²¹³	p a ²¹³ + i ²¹³	i n t + n t	罢意	罢意	2862	0
9380	Guiyang	on purpose	tiao⁵⁵i²¹³	t i a o ⁵⁵ + i ²¹³	i m n N t + n t	刁意	刁意	2863	0
9381	Kunming	on purpose	pᴀ²¹²i²¹²	p ᴀ ²¹² + i ²¹²	i n t + n t	罢意	罢意	2862	0
9382	Kunming	on purpose	ku²¹²i²¹²	k u ²¹² + i ²¹²	i n t + n t	故意	故意	2831	0
9383	Haerbin	on purpose	ʨiŋ⁵³iər²¹³	tɕ i ŋ ⁵³ + i ə r ²¹³	i n c t + m n r t	净意+儿	净意	2864	0
9384	Xi'an	on purpose	ku⁴⁴iər⁴⁴⁻⁵³	k u ⁴⁴ + i ə r ⁴⁴/⁵³	i n t + m n r t	故意+儿	故意	2831	0
9385	Yinchuan	on purpose	ku¹³i¹³	k u ¹³ + i ¹³	i n t + n t	故意	故意	2831	0
9386	Yinchuan	on purpose	tie¹³⁻¹¹ku⁰ʦɿ	t i e ¹³/¹¹ + k u ⁰ + ts ɿ ⁰	i m n t + i n t + i n t	迭故子	迭故子	2865	0
9387	Yinchuan	on purpose	tie¹³⁻¹¹ku⁰ie¹³	t i e ¹³/¹¹ + k u ⁰ + i e ¹³	i m n t + i n t + m n t	迭故揶	迭故揶	2866	0
9388	Yinchuan	on purpose	tia¹³⁻¹¹ie¹³	t i a ¹³/¹¹ + i e ¹³	i m n t + m n t	得揶	得揶	2867	0
9389	Yinchuan	on purpose	t͡ʂʰəŋ⁵³ɕiŋ⁴⁴	ʈʂʰ ə ŋ ⁵³ + ɕ i ŋ ⁴⁴	i n c t + i n c t	成心	成心	2850	0
9390	Lanzhou	on purpose	ku¹³⁻²²i¹³	k u ¹³/²² + i ¹³	i n t + n t	故意	故意	2831	0
9391	Xining	on purpose	ti⁴⁴kv̩²¹³i²¹³⁻²¹ɛ²⁴⁻⁵³	t i ⁴⁴ + k v̩ ²¹³ + i ²¹³/²¹ + ɛ ²⁴/⁵³	i n t + i n t + n t + n t	得故意←儿	得故意	2868	0
9392	Wulumuqi	on purpose	ku²¹³⁻¹³i²¹³	k u ²¹³/¹³ + i ²¹³	i n t + n t	故意	故意	2831	0
9393	Wulumuqi	on purpose	tan⁴⁴ku⁰ɕiɤ̃r⁴⁴	t a n ⁴⁴ + k u ⁰ + ɕ i ɤ̃ ∼ r ⁴⁴	i n c t + i n t + i m n c r t	单故心+儿	单故心	2869	0
9394	Shanghai	one	iɪʔ	i ɪ ʔ ⁰	m n c t	一	一	2870	0
9395	Suzhou	one	iəʔ⁵	i ə ʔ ⁵	m n c t	一	一	2870	0
9396	Hangzhou	one	ʔiəʔ⁵	ʔ i ə ʔ ⁵	i m n c t	一	一	2870	0
9397	Wenzhou	one	jai²¹³	j a i ²¹³	i n N t	一	一	2870	0
9398	Wenzhou	one	ji²¹³	j i ²¹³	i n t	一	一	2870	0
9399	Guangzhou	one	jɐt⁵	j ɐ t ⁵	i n c t	一	一	2870	0
9400	Nanning	one	jɐt⁵⁵	j ɐ t ⁵⁵	i n c t	一	一	2870	0
9401	Xianggang	one	jɐt⁵	j ɐ t ⁵	i n c t	一	一	2870	0
9402	Xiamen	one	it³²	i t ³²	n c t	一	一	2870	0
9403	Xiamen	one	ʦit⁵	ts i t ⁵	i n c t	一	一	2870	0
9404	Fuzhou	one	ɛiʔ²⁴	ɛ i ʔ ²⁴	n N c t	一	一	2870	0
9405	Fuzhou	one	soʔ⁵	s o ʔ ⁵	i n c t	蜀	蜀	2871	0
9406	Jian'ou	one	i²⁴	i ²⁴	n t	一	一	2870	0
9407	Jian'ou	one	ʦi⁴²	ts i ⁴²	i n t	一	一	2870	0
9408	Shantou	one	ʦek⁵	ts e k ⁵	i n c t	蜀	蜀	2871	0
9409	Haikou	one	it⁵	i t ⁵	n c t	一	一	2870	0
9410	Haikou	one	ziak³	z i a k ³	i m n c t	一	一	2870	0
9411	Taibei	one	ʦit	ts i t ⁰	i n c t	一	一	2870	0
9412	Taibei	one	it	i t ⁰	n c t	一	一	2870	0
9413	Meixian	one	it¹	i t ¹	n c t	一	一	2870	0
9414	Taoyuan	one	ʒït²²	ʒ ï t ²²	i n c t	一	一	2870	0
9415	Nanchang	one	iʔ⁵	i ʔ ⁵	n c t	一	一	2870	0
9416	Changsha	one	i²⁴	i ²⁴	n t	一	一	2870	0
9417	Xiangtan	one	i²⁴	i ²⁴	n t	一	一	2870	0
9418	Shexian	one	iʔ²¹	i ʔ ²¹	n c t	一	一	2870	0
9419	Tunxi	one	i⁵	i ⁵	n t	一	一	2870	0
9420	Taiyuan	one	iəʔ²	i ə ʔ ²	m n c t	一	一	2870	0
9421	Pingyao	one	iʌʔ¹³	i ʌ ʔ ¹³	m n c t	一	一	2870	0
9422	Huhehaote	one	iəʔ⁴³	i ə ʔ ⁴³	m n c t	一	一	2870	0
9423	Beijing	one	i⁵⁵	i ⁵⁵	n t	一	一	2870	0
9424	Tianjin	one	i²¹	i ²¹	n t	一	一	2870	0
9425	Jinan	one	i²¹³	i ²¹³	n t	一	一	2870	0
9426	Qingdao	one	i⁵⁵	i ⁵⁵	n t	一	一	2870	0
9427	Nanjing	one	iʔ⁵	i ʔ ⁵	n c t	一	一	2870	0
9428	Hefei	one	iəʔ⁵	i ə ʔ ⁵	m n c t	一	一	2870	0
9429	Zhengzhou	one	i²⁴	i ²⁴	n t	一	一	2870	0
9430	Wuhan	one	i²¹³	i ²¹³	n t	一	一	2870	0
9431	Chengdu	one	i³¹	i ³¹	n t	一	一	2870	0
9432	Guiyang	one	i²¹	i ²¹	n t	一	一	2870	0
9433	Kunming	one	i³¹	i ³¹	n t	一	一	2870	0
9434	Haerbin	one	i⁴⁴	i ⁴⁴	n t	一	一	2870	0
9435	Xi'an	one	i²¹	i ²¹	n t	一	一	2870	0
9436	Yinchuan	one	i¹³	i ¹³	n t	一	一	2870	0
9437	Lanzhou	one	i¹³	i ¹³	n t	一	一	2870	0
9438	Xining	one	j̩⁴⁴	i ⁴⁴	n t	一	一	2870	0
9439	Wulumuqi	one	i²¹³	i ²¹³	n t	一	一	2870	0
7510	Shanghai	one time	ʨi³⁵	tɕ i ³⁵	i n t	记	记	2428	0
7511	Suzhou	one time	ʨi⁵¹³	tɕ i ⁵¹³	i n t	记	记	2428	0
7512	Hangzhou	one time	ʨi⁴⁴⁵	tɕ i ⁴⁴⁵	i n t	记	记	2428	0
7513	Wenzhou	one time	o⁴²⁻²¹	o ⁴²/²¹	n t	下	下	2403	0
7514	Guangzhou	one time	ha²³	h a ²³	i n t	下	下	2403	0
7515	Nanning	one time	ha²⁴	h a ²⁴	i n t	下	下	2403	0
7516	Xianggang	one time	ha¹³	h a ¹³	i n t	下	下	2403	0
7517	Xiamen	one time	e	e ⁰	n t	下	下	2403	0
7518	Fuzhou	one time	ɑ²⁴²	ɑ ²⁴²	n t	下	下	2403	0
7519	Shantou	one time	e³¹	e ³¹	n t	下	下	2403	0
7520	Haikou	one time	ɛ²³	ɛ ²³	n t	下	下	2403	0
7521	Taibei	one time	le²⁴	l e ²⁴	i n t	下	下	2403	0
7522	Meixian	one time	ha⁵³	h a ⁵³	i n t	下	下	2403	0
7523	Taoyuan	one time	hɑ⁵⁵	h ɑ ⁵⁵	i n t	下	下	2403	0
7524	Nanchang	one time	hɑ²¹	h ɑ ²¹	i n t	下	下	2403	0
7525	Changsha	one time	xa¹¹	x a ¹¹	i n t	下	下	2403	0
7526	Xiangtan	one time	ɦɒ²¹	ɦ ɒ ²¹	i n t	下	下	2403	0
7527	Shexian	one time	xa	x a ⁰	i n t	下	下	2403	0
7528	Tunxi	one time	xɔ¹¹	x ɔ ¹¹	i n t	下	下	2403	0
7529	Taiyuan	one time	xa⁴⁵	x a ⁴⁵	i n t	下	下	2403	0
7530	Pingyao	one time	xɑ³⁵⁻³¹xɑ³⁵⁻⁵³	x ɑ ³⁵/³¹ + x ɑ ³⁵/⁵³	i n t + i n t	下下	下下	2422	0
7531	Huhehaote	one time	ɕia⁵⁵	ɕ i a ⁵⁵	i m n t	下	下	2403	0
7532	Beijing	one time	ɕiar⁵¹	ɕ i a r ⁵¹	i m n r t	下+儿	下	2403	0
7533	Tianjin	one time	ɕiɑr⁵³	ɕ i ɑ r ⁵³	i m n r t	下+儿	下	2403	0
7534	Jinan	one time	ɕiar²¹	ɕ i a r ²¹	i m n r t	下+儿	下	2403	0
7535	Qingdao	one time	ɕiar⁴²	ɕ i a r ⁴²	i m n r t	下+儿	下	2403	0
7536	Nanjing	one time	ɕiɑ⁴⁴ʦɿ	ɕ i ɑ ⁴⁴ + ts ɿ ⁰	i m n t + i n t	下子	下子	2414	0
7537	Nanjing	one time	ʨi⁴⁴	tɕ i ⁴⁴	i n t	记	记	2428	0
7538	Hefei	one time	ɕia⁵³	ɕ i a ⁵³	i m n t	下	下	2403	0
7539	Zhengzhou	one time	ɕia³¹²	ɕ i a ³¹²	i m n t	下	下	2403	0
7540	Zhengzhou	one time	ɕiau³¹²	ɕ i a u ³¹²	i m n N t	下	下	2403	0
7541	Wuhan	one time	xa	x a ⁰	i n t	下	下	2403	0
7542	Wuhan	one time	xa³⁵ʦɿ	x a ³⁵ + ts ɿ ⁰	i n t + i n t	下子	下子	2414	0
7543	Chengdu	one time	xa¹³	x a ¹³	i n t	下	下	2403	0
7544	Guiyang	one time	xa	x a ⁰	i n t	下	下	2403	0
7545	Guiyang	one time	ʨia⁵⁵xo⁴²	tɕ i a ⁵⁵ + x o ⁴²	i m n t + i n t	傢伙	傢伙	2429	0
7546	Guiyang	one time	fa²¹sɿ²¹³	f a ²¹ + s ɿ ²¹³	i n t + i n t	法式	法式	2430	0
7547	Kunming	one time	xᴀ²¹²	x ᴀ ²¹²	i n t	下	下	2403	0
7548	Haerbin	one time	ɕiar⁵³	ɕ i a r ⁵³	i m n r t	下+儿	下	2403	0
7549	Xi'an	one time	kar	k a r ⁰	i n r t	尕+儿	尕	2425	0
7550	Xi'an	one time	xa	x a ⁰	i n t	下	下	2403	0
7551	Yinchuan	one time	ɕia	ɕ i a ⁰	i m n t	下	下	2403	0
7552	Lanzhou	one time	xa²¹	x a ²¹	i n t	下	下	2403	0
7553	Xining	one time	kua	k u a ⁰	i m n t	挂	挂	2397	0
7554	Wulumuqi	one time	xa	x a ⁰	i n t	下	下	2403	0
9102	Shanghai	only	ʦəʔ⁵	ts ə ʔ ⁵	i n c t	只	只	2399	0
9103	Suzhou	only	ʦəʔ⁵	ts ə ʔ ⁵	i n c t	只	只	2399	0
9104	Hangzhou	only	ʦəʔ⁵	ts ə ʔ ⁵	i n c t	只	只	2399	0
9105	Wenzhou	only	ʦɿ²¹³	ts ɿ ²¹³	i n t	只	只	2399	0
9106	Guangzhou	only	ʦeŋ²²ʦi³⁵	ts e ŋ ²² + ts i ³⁵	i n c t + i n t	净只	净只	2788	0
9107	Guangzhou	only	ʦi³⁵	ts i ³⁵	i n t	只	只	2399	0
9108	Nanning	only	ʦi³⁵	ts i ³⁵	i n t	只	只	2399	0
9109	Xianggang	only	ʦi³⁵	ts i ³⁵	i n t	只	只	2399	0
9110	Xianggang	only	ʦiŋ²²ʦi³⁵	ts i ŋ ²² + ts i ³⁵	i n c t + i n t	净只	净只	2788	0
9111	Xiamen	only	kan⁵⁵⁻²²tã²²	k a n ⁵⁵/²² + t ã ∼ ²²	i n c t + i n c t	干但	干但	2789	0
9112	Xiamen	only	kan⁵⁵⁻²²na²²	k a n ⁵⁵/²² + n a ²²	i n c t + i n t	干但	干但	2789	0
9113	Xiamen	only	ʦi⁵³	ts i ⁵³	i n t	只	只	2399	0
9114	Fuzhou	only	lɑ²⁴²	l ɑ ²⁴²	i n t	俪	俪	2790	0
9115	Jian'ou	only	ʦɔŋ²¹lɛ³³	ts ɔ ŋ ²¹ + l ɛ ³³	i n c t + i n t	总来	总来	2791	0
9116	Shantou	only	ʦʰeŋ³³	tsʰ e ŋ ³³	i n c t	清	清	2619	0
9117	Haikou	only	na²³	n a ²³	i n t	但	但	2792	0
9118	Taibei	only	ʦi⁵³	ts i ⁵³	i n t	只	只	2399	0
9119	Taibei	only	ka⁵³na³³	k a ⁵³ + n a ³³	i n t + i n t	绞那	绞那	2793	0
9120	Meixian	only	ʦak¹	ts a k ¹	i n c t	只	只	2399	0
9121	Taoyuan	only	ʦʰï⁵⁵	tsʰ ï ⁵⁵	i n t	只	只	2399	0
9122	Nanchang	only	ʦɨʔ⁵	ts ɨ ʔ ⁵	i n c t	只	只	2399	0
9123	Changsha	only	t͡ʂʅ⁴¹	ʈʂ ʅ ⁴¹	i n t	只	只	2399	0
9124	Xiangtan	only	ʦɿ²⁴	ts ɿ ²⁴	i n t	只	只	2399	0
9125	Shexian	only	ʨiʔ²¹	tɕ i ʔ ²¹	i n c t	只	只	2399	0
9126	Tunxi	only	ʦɿ³¹	ts ɿ ³¹	i n t	只	只	2399	0
9127	Taiyuan	only	kuɒ̃¹¹	k u ɒ̃ ∼ ¹¹	i m n c t	光	光	2794	0
9128	Pingyao	only	ʦʰɑŋ⁵³	tsʰ ɑ ŋ ⁵³	i n c t	刬	刬	2795	0
9129	Huhehaote	only	ʨĩŋ⁵⁵	tɕ ĩ ŋ ⁵⁵	i n c t	净	净	2680	0
9130	Beijing	only	t͡ʂʅ²¹⁴	ʈʂ ʅ ²¹⁴	i n t	只	只	2399	0
9131	Tianjin	only	ʦɿ¹³	ts ɿ ¹³	i n t	只	只	2399	0
9132	Jinan	only	t͡ʂʅ⁴²	ʈʂ ʅ ⁴²	i n t	只	只	2399	0
9133	Qingdao	only	ʦiou⁴²	ts i o u ⁴²	i m n N t	就	就	2796	0
9134	Nanjing	only	t͡ʂʅ²¹²	ʈʂ ʅ ²¹²	i n t	只	只	2399	0
9135	Hefei	only	t͡ʂəʔ⁵	ʈʂ ə ʔ ⁵	i n c t	只	只	2399	0
9136	Zhengzhou	only	kuaŋ²⁴	k u a ŋ ²⁴	i m n c t	光	光	2794	0
9137	Zhengzhou	only	t͡ʂʅ²⁴	ʈʂ ʅ ²⁴	i n t	只	只	2399	0
9138	Wuhan	only	ʦɿ⁴²	ts ɿ ⁴²	i n t	只	只	2399	0
9139	Wuhan	only	kuaŋ⁵⁵	k u a ŋ ⁵⁵	i m n c t	光	光	2794	0
9140	Chengdu	only	ʦɿ⁵³	ts ɿ ⁵³	i n t	只	只	2399	0
9141	Chengdu	only	kuaŋ⁵⁵	k u a ŋ ⁵⁵	i m n c t	光	光	2794	0
9142	Guiyang	only	ʦɿ⁴²	ts ɿ ⁴²	i n t	只	只	2399	0
9143	Guiyang	only	tu²¹	t u ²¹	i n t	独	独	2797	0
9144	Kunming	only	t͡ʂʅ⁵³	ʈʂ ʅ ⁵³	i n t	只	只	2399	0
9145	Haerbin	only	t͡ʂʅ²¹³	ʈʂ ʅ ²¹³	i n t	只	只	2399	0
9146	Xi'an	only	kuaŋ²⁴	k u a ŋ ²⁴	i m n c t	光	光	2794	0
9147	Yinchuan	only	t͡ʂʅ¹³	ʈʂ ʅ ¹³	i n t	只	只	2399	0
9148	Lanzhou	only	kuɑ̃³¹	k u ɑ̃ ∼ ³¹	i m n c t	光	光	2794	0
9149	Xining	only	ʨiɔ̃²⁴	tɕ i ɔ̃ ∼ ²⁴	i m n c t	将	将	2723	0
9150	Xining	only	kuɔ̃⁴⁴	k u ɔ̃ ∼ ⁴⁴	i m n c t	光	光	2794	0
9151	Xining	only	ʨiɯ²¹³	tɕ i ɯ ²¹³	i m n t	就	就	2796	0
9152	Wulumuqi	only	ʦɿ²¹³	ts ɿ ²¹³	i n t	只	只	2399	0
7984	Shanghai	outside	ŋa¹³⁻²²mi¹³⁻⁴⁴	ŋ a ¹³/²² + m i ¹³/⁴⁴	i n t + i n t	外面	外面	2579	0
7985	Shanghai	outside	ŋa¹³⁻²²dɤ¹³⁻⁴⁴	ŋ a ¹³/²² + d ɤ ¹³/⁴⁴	i n t + i n t	外头	外头	2580	0
7986	Suzhou	outside	ŋa³¹⁻¹³sʮ	ŋ a ³¹/¹³ + s ʮ ⁰	i n t + i n t	外势	外势	2581	0
7987	Hangzhou	outside	ɦuᴇ¹³dei²¹³⁻⁵³	ɦ u ᴇ ¹³ + d e i ²¹³/⁵³	i m n t + i n N t	外头	外头	2580	0
7988	Wenzhou	outside	va²²⁻⁴²mai²²	v a ²²/⁴² + m a i ²²	i n t + i n N t	外面	外面	2579	0
7989	Wenzhou	outside	va²²⁻⁴²ʨy³⁵	v a ²²/⁴² + tɕ y ³⁵	i n t + i n t	外转	外转	2582	0
7990	Guangzhou	outside	ʦʰøt⁵pin²²	tsʰ ø t ⁵ + p i n ²²	i n c t + i n c t	出便	出便	2583	0
7991	Guangzhou	outside	hɔi⁵³pin²²	h ɔ i ⁵³ + p i n ²²	i n N t + i n c t	开便	开便	2584	0
7992	Nanning	outside	ŋɔi²²tɐi³⁵	ŋ ɔ i ²² + t ɐ i ³⁵	i n N t + i n N t	外底	外底	2585	0
7993	Xianggang	outside	ʦʰøt⁵pin²²	tsʰ ø t ⁵ + p i n ²²	i n c t + i n c t	出便	出便	2583	0
7994	Xianggang	outside	hɔi⁵⁵pin²²	h ɔ i ⁵⁵ + p i n ²²	i n N t + i n c t	开便	开便	2584	0
7995	Xiamen	outside	gua²²⁻²¹kʰau	g u a ²²/²¹ + kʰ a u ⁰	i m n t + i n N t	外口	外口	2586	0
7996	Xiamen	outside	gua²²⁻²¹bin²²	g u a ²²/²¹ + b i n ²²	i m n t + i n c t	外面	外面	2579	0
7997	Fuzhou	outside	ŋie²⁴²⁻³²lau³²	ŋ i e ²⁴²/³² + l a u ³²	i m n t + i n N t	外首	外首	2587	0
7998	Fuzhou	outside	ŋie²⁴²⁻⁵³yɔŋ²¹²	ŋ i e ²⁴²/⁵³ + y ɔ ŋ ²¹²	i m n t + m n c t	外向	外向	2588	0
7999	Jian'ou	outside	ŋyɛ⁴⁴ʦʰiŋ³³	ŋ y ɛ ⁴⁴ + tsʰ i ŋ ³³	i m n t + i n c t	外前	外前	2589	0
8000	Shantou	outside	gua³¹kʰau⁵³	g u a ³¹ + kʰ a u ⁵³	i m n t + i n N t	外口	外口	2586	0
8001	Shantou	outside	gua³¹põi⁵⁵	g u a ³¹ + p õ i ⁵⁵	i m n t + i n c t	外爿	外爿	2590	0
8002	Shantou	outside	kʰau⁵³⁻²⁴põi⁵⁵	kʰ a u ⁵³/²⁴ + p õ i ⁵⁵	i n N t + i n c t	口爿	口爿	2591	0
8003	Haikou	outside	hua²³min²³	h u a ²³ + m i n ²³	i m n t + i n c t	外面	外面	2579	0
8004	Haikou	outside	hua²³hau³¹	h u a ²³ + h a u ³¹	i m n t + i n N t	外头	外头	2580	0
8005	Haikou	outside	hua²³ʔbi²³	h u a ²³ + ʔb i ²³	i m n t + i n t	外边	外边	2592	0
8006	Taibei	outside	gua³³⁻¹¹bin³³	g u a ³³/¹¹ + b i n ³³	i m n t + i n c t	外面	外面	2579	0
8007	Meixian	outside	ŋoi⁵³⁻⁵⁵poi⁵³	ŋ o i ⁵³/⁵⁵ + p o i ⁵³	i n N t + i n N t	外背	外背	2593	0
8008	Taoyuan	outside	ŋo⁵⁵poi⁵⁵	ŋ o ⁵⁵ + p o i ⁵⁵	i n t + i n N t	外背	外背	2593	0
8009	Nanchang	outside	uai²¹tʰɛu⁰²	u a i ²¹ + tʰ ɛ u ⁰²	m n N t + i n N t	外头	外头	2580	0
8010	Nanchang	outside	uai²¹sɨu⁰²	u a i ²¹ + s ɨ u ⁰²	m n N t + i n N t	外首	外首	2587	0
8011	Changsha	outside	uai¹¹təu	u a i ¹¹ + t ə u ⁰	m n N t + i n N t	外头	外头	2580	0
8012	Changsha	outside	uai¹¹miẽ	u a i ¹¹ + m i ẽ ∼ ⁰	m n N t + i m n c t	外面	外面	2579	0
8013	Xiangtan	outside	uai⁴²dəɯ¹²	u a i ⁴² + d ə ɯ ¹²	m n N t + i n N t	外头	外头	2580	0
8014	Xiangtan	outside	uai⁴²miẽ²¹	u a i ⁴² + m i ẽ ∼ ²¹	m n N t + i m n c t	外面	外面	2579	0
8015	Shexian	outside	uɛ²²tʰiu⁴⁴	u ɛ ²² + tʰ i u ⁴⁴	m n t + i m n t	外头	外头	2580	0
8016	Tunxi	outside	ŋa¹¹tʰiu	ŋ a ¹¹ + tʰ i u ⁰	i n t + i m n t	外头	外头	2580	0
8017	Tunxi	outside	ŋa¹¹miɛ¹¹	ŋ a ¹¹ + m i ɛ ¹¹	i n t + i m n t	外面	外面	2579	0
8018	Taiyuan	outside	vai⁴⁵tʰəu⁵³	v a i ⁴⁵ + tʰ ə u ⁵³	i n N t + i n N t	外头	外头	2580	0
8019	Pingyao	outside	uæ³⁵miᴇ³⁵⁻⁵³miᴇ³⁵⁻³¹	u æ ³⁵ + m i ᴇ ³⁵/⁵³ + m i ᴇ ³⁵/³¹	m n t + i m n t + i m n t	外面面	外面面	2594	0
8020	Huhehaote	outside	vɛ⁵⁵tʰəu³¹⁻⁵³	v ɛ ⁵⁵ + tʰ ə u ³¹/⁵³	i n t + i n N t	外头	外头	2580	0
8021	Beijing	outside	uai⁵¹tʰou	u a i ⁵¹ + tʰ o u ⁰	m n N t + i n N t	外头	外头	2580	0
8022	Beijing	outside	uai⁵¹mian¹	u a i ⁵¹ + m i a n ¹	m n N t + i m n c t	外面+儿	外面	2579	0
8023	Beijing	outside	uai⁵¹miar¹	u a i ⁵¹ + m i a r ¹	m n N t + i m n r t	外面+儿	外面	2579	0
8024	Beijing	outside	uai⁵¹piar¹	u a i ⁵¹ + p i a r ¹	m n N t + i m n r t	外边+儿	外边	2592	0
8025	Tianjin	outside	vai⁵³piar¹	v a i ⁵³ + p i a r ¹	i n N t + i m n r t	外边+儿	外边	2592	0
8026	Tianjin	outside	vai⁵³tʰou¹	v a i ⁵³ + tʰ o u ¹	i n N t + i n N t	外头	外头	2580	0
8027	Jinan	outside	vɛ²¹⁻⁵⁴⁴tʰou	v ɛ ²¹/⁵⁴⁴ + tʰ o u ⁰	i n t + i n N t	外头	外头	2580	0
8028	Jinan	outside	vɛ²¹piɛr	v ɛ ²¹ + p i ɛ r ⁰	i n t + i m n r t	外边+儿	外边	2592	0
8029	Jinan	outside	vɛ²¹miã	v ɛ ²¹ + m i ã ∼ ⁰	i n t + i m n c t	外面	外面	2579	0
8030	Qingdao	outside	vɛ⁴²piãr	v ɛ ⁴² + p i ã ∼ r ⁰	i n t + i m n c r t	外边+儿	外边	2592	0
8031	Nanjing	outside	uae⁴⁴tʰəɯ	u a e ⁴⁴ + tʰ ə ɯ ⁰	m n N t + i n N t	外头	外头	2580	0
8032	Nanjing	outside	uae⁴⁴pien	u a e ⁴⁴ + p i e n ⁰	m n N t + i m n c t	外边	外边	2592	0
8033	Hefei	outside	uᴇ⁵³tʰɯ	u ᴇ ⁵³ + tʰ ɯ ⁰	m n t + i n t	外头	外头	2580	0
8034	Zhengzhou	outside	uai³¹²⁻³¹tʰou	u a i ³¹²/³¹ + tʰ o u ⁰	m n N t + i n N t	外头	外头	2580	0
8035	Zhengzhou	outside	uai³¹²⁻³¹miar	u a i ³¹²/³¹ + m i a r ⁰	m n N t + i m n r t	外面+儿	外面	2579	0
8036	Zhengzhou	outside	uai³¹²⁻³¹piar	u a i ³¹²/³¹ + p i a r ⁰	m n N t + i m n r t	外边+儿	外边	2592	0
8037	Wuhan	outside	uai³⁵piɛn	u a i ³⁵ + p i ɛ n ⁰	m n N t + i m n c t	外边	外边	2592	0
8038	Wuhan	outside	uai³⁵tʰəu	u a i ³⁵ + tʰ ə u ⁰	m n N t + i n N t	外头	外头	2580	0
8039	Chengdu	outside	uai¹³mian¹³	u a i ¹³ + m i a n ¹³	m n N t + i m n c t	外面	外面	2579	0
8040	Chengdu	outside	uai¹³pian⁵⁵	u a i ¹³ + p i a n ⁵⁵	m n N t + i m n c t	外边	外边	2592	0
8041	Chengdu	outside	uai¹³tʰəu³¹⁻⁵⁵	u a i ¹³ + tʰ ə u ³¹/⁵⁵	m n N t + i n N t	外头	外头	2580	0
8042	Guiyang	outside	uai²¹³tʰəu⁵⁵	u a i ²¹³ + tʰ ə u ⁵⁵	m n N t + i n N t	外头	外头	2580	0
8043	Kunming	outside	uæ²¹²ʂəu⁵³	u æ ²¹² + ʂ ə u ⁵³	m n t + i n N t	外首	外首	2587	0
8044	Haerbin	outside	uai⁵³piar⁴⁴la²¹³	u a i ⁵³ + p i a r ⁴⁴ + l a ²¹³	m n N t + i m n r t + i n t	外边+儿拉	外边拉	2595	0
