ID	DOCULECT	CONCEPT	VALUE	SEGMENTS	STRUCTURE	BENZI	CHARACTERS	COGNATE_SET	COGNATE_SETS
635	Nanjing	Dragon Boat Festival	uɑr²⁴ʦieʔ⁵	u ɑ r ²⁴ + ts i e ʔ ⁵	m n r t + i m n c t	娃+儿节	娃节	148	0
636	Hefei	Dragon Boat Festival	t̃²¹u²⁴ʨiɐʔ⁵	t u ɑ̃ ∼ ²¹ + u ²⁴ + tɕ i ɐ ʔ ⁵	i m n c t + n t + i m n c t	端午节	端午节	137	0
637	Zhengzhou	Dragon Boat Festival	u⁵³yɛ⁰tuaŋ²⁴ur	u ⁵³ + y ɛ ⁰ + t u a ŋ ²⁴ + u r ⁰	n t + m n t + i m n c t + n r t	五月端午+儿	五月端午	147	0
638	Zhengzhou	Dragon Boat Festival	tuan²⁴u⁵³ʦiɛ²⁴	t u a n ²⁴ + u ⁵³ + ts i ɛ ²⁴	i m n c t + n t + i m n t	端午节	端午节	137	0
639	Wuhan	Dragon Boat Festival	tan⁵⁵u	t a n ⁵⁵ + u ⁰	i n c t + n t	端午	端午	136	0
640	Wuhan	Dragon Boat Festival	tan⁵⁵iaŋ	t a n ⁵⁵ + i a ŋ ⁰	i n c t + m n c t	端阳	端阳	144	0
641	Chengdu	Dragon Boat Festival	tuan⁵⁵u⁵³ʨie³¹	t u a n ⁵⁵ + u ⁵³ + tɕ i e ³¹	i m n c t + n t + i m n t	端午节	端午节	137	0
642	Chengdu	Dragon Boat Festival	tuan⁵⁵u⁵³	t u a n ⁵⁵ + u ⁵³	i m n c t + n t	端午	端午	136	0
643	Chengdu	Dragon Boat Festival	tuan⁵⁵iaŋ³¹	t u a n ⁵⁵ + i a ŋ ³¹	i m n c t + m n c t	端阳	端阳	144	0
644	Guiyang	Dragon Boat Festival	tuan⁵⁵u⁴²	t u a n ⁵⁵ + u ⁴²	i m n c t + n t	端午	端午	136	0
645	Guiyang	Dragon Boat Festival	tuan⁵⁵iaŋ²¹	t u a n ⁵⁵ + i a ŋ ²¹	i m n c t + m n c t	端阳	端阳	144	0
646	Kunming	Dragon Boat Festival	u⁵³iɛ³¹⁻⁴⁴tuᴀ̃⁴⁴u⁵³	u ⁵³ + i ɛ ³¹/⁴⁴ + t u ᴀ̃ ∼ ⁴⁴ + u ⁵³	n t + m n t + i m n N t + n t	五月端午	五月端午	147	0
647	Haerbin	Dragon Boat Festival	u²¹³⁻²¹yɛ⁵³ʨiɛ²¹³	u ²¹³/²¹ + y ɛ ⁵³ + tɕ i ɛ ²¹³	n t + m n t + i m n t	五月节	五月节	139	0
648	Xi'an	Dragon Boat Festival	u⁵³yɛ²¹⁻²⁴ʨiɛ²¹	u ⁵³ + y ɛ ²¹/²⁴ + tɕ i ɛ ²¹	n t + m n t + i m n t	五月节	五月节	139	0
