ID	DOCULECT	DOCULECT_IN_SOURCE	CONCEPT	CONCEPTICON_ID	STEDT_ID	VALUE	SEGMENTS	SOURCE
194613	Dali	Bai (Dali)	smallpox		194613	kv⁵⁵jeʴ³³	k v ⁵⁵ j eʴ ³³ 	Sun1991
194614	Bijiang	Bai (Bijiang)	smallpox		194614	fu⁵⁵	f u ⁵⁵ 	Sun1991
207924	Dali	Bai (Dali)	smell		207924	tshu⁵⁵	tsh u ⁵⁵ 	Sun1991
207925	Bijiang	Bai (Bijiang)	smell		207925	ʈhu⁵⁵	ʈh u ⁵⁵ 	Sun1991
207950	Jianchuan	Bai (Jianchuan)	smell		207950	tshu⁵⁵	tsh u ⁵⁵ 	Sun1991
182323	Bijiang	Bai (Bijiang)	smoke		182323	fi³³je⁵⁵	f i ³³ j e ⁵⁵ 	Sun1991
182348	Jianchuan	Bai (Jianchuan)	smoke		182348	xui³³ɕɛ̃⁵⁵	x u i ³³ ɕ ɛ̃ ∼ ⁵⁵ 	Sun1991
182322	Dali	Bai (Dali)	smoke		182322	xui³³jeʴ⁵⁵	x u i ³³ j eʴ ⁵⁵ 	Sun1991
224958	Dali	Bai (Dali)	smooth		224958	tsue⁴²uɑ⁴²	ts u e ⁴² u ɑ ⁴² 	Sun1991
224984	Jianchuan	Bai (Jianchuan)	smooth		224984	tsui⁴²	ts u i ⁴² 	Sun1991
224959	Bijiang	Bai (Bijiang)	smooth		224959	tsui⁴²lui³³lui³³	ts u i ⁴² l u i ³³ l u i ³³ 	Sun1991
187754	Jianchuan	Bai (Jianchuan)	snake		187754	khv³³	kh v ³³ 	Sun1991
187728	Dali	Bai (Dali)	snake		187728	khv³³	kh v ³³ 	Sun1991
187729	Bijiang	Bai (Bijiang)	snake		187729	tʂheʴ³³; fv³³	tʂh eʴ ³³ ; fv ³³ 	Sun1991
194154	Dali	Bai (Dali)	snot		194154	pi³¹ɕi³¹	p i ³¹ ɕ i ³¹ 	Sun1991
194155	Bijiang	Bai (Bijiang)	snot		194155	vũ⁴²sẽ⁴²ẽ⁵⁵	v ũ ∼ ⁴² s ẽ ∼ ⁴² ẽ ∼ ⁵⁵ 	Sun1991
194180	Jianchuan	Bai (Jianchuan)	snot		194180	pi²¹ɕɪ̃²¹	p i ²¹ ɕ ɪ̃ ∼ ²¹ 	Sun1991
180436	Bijiang	Bai (Bijiang)	snow		180436	sue⁴⁴	s u e ⁴⁴ 	Sun1991
180435	Dali	Bai (Dali)	snow		180435	sue⁴⁴	s u e ⁴⁴ 	Sun1991
180461	Jianchuan	Bai (Jianchuan)	snow		180461	sui⁴⁴	s u i ⁴⁴ 	Sun1991
219119	Jianchuan	Bai (Jianchuan)	soak / immerse(e.g. seed)		219119	tsɯ²¹	ts ɯ ²¹ 	Sun1991
219093	Dali	Bai (Dali)	soak / immerse(e.g. seed)		219093	tsi²¹	ts i ²¹ 	Sun1991
219094	Bijiang	Bai (Bijiang)	soak / immerse(e.g. seed)		219094	tse²¹	ts e ²¹ 	Sun1991
203539	Bijiang	Bai (Bijiang)	soap		203539	tẽ³³qɯ̃³³jo⁴⁴	t ẽ ∼ ³³ q ɯ̃ ∼ ³³ j o ⁴⁴ 	Sun1991
203538	Dali	Bai (Dali)	soap		203538	tsho³¹pio³³	tsh o ³¹ p i o ³³ 	Sun1991
203564	Jianchuan	Bai (Jianchuan)	soap		203564	tshoɑ³¹piɑo⁵⁵	tsh o ɑ ³¹ p i ɑ o ⁵⁵ 	Sun1991
199535	Jianchuan	Bai (Jianchuan)	socks		199535	vɑ⁵⁵tsi³³	v ɑ ⁵⁵ ts i ³³ 	Sun1991
199509	Dali	Bai (Dali)	socks		199509	vɑ³⁵tsi³¹	v ɑ ³⁵ ts i ³¹ 	Sun1991
199510	Bijiang	Bai (Bijiang)	socks		199510	u⁵⁵tsɯ³³	u ⁵⁵ ts ɯ ³³ 	Sun1991
222408	Dali	Bai (Dali)	soft		222408	pheʴ⁵⁵	ph eʴ ⁵⁵ 	Sun1991
222409	Bijiang	Bai (Bijiang)	soft		222409	ȵi²¹	ȵ i ²¹ 	Sun1991
222434	Jianchuan	Bai (Jianchuan)	soft		222434	phɛ⁵⁵	ph ɛ ⁵⁵ 	Sun1991
195633	Dali	Bai (Dali)	soldier		195633	kv³⁵ȵi²¹	k v ³⁵ ȵ i ²¹ 	Sun1991
195659	Jianchuan	Bai (Jianchuan)	soldier		195659	kv⁵⁵	k v ⁵⁵ 	Sun1991
195634	Bijiang	Bai (Bijiang)	soldier		195634	tɕeʴ⁵⁵tsi⁴⁴	tɕ eʴ ⁵⁵ ts i ⁴⁴ 	Sun1991
197266	Bijiang	Bai (Bijiang)	son		197266	tsi⁴⁴	ts i ⁴⁴ 	Sun1991
197265	Dali	Bai (Dali)	son		197265	tsi⁴⁴ȵi²¹	ts i ⁴⁴ ȵ i ²¹ 	Sun1991
197291	Jianchuan	Bai (Jianchuan)	son		197291	tsi³³	ts i ³³ 	Sun1991
197419	Bijiang	Bai (Bijiang)	son-in-law		197419	sẽ⁴²ʂi³³	s ẽ ∼ ⁴² ʂ i ³³ 	Sun1991
197418	Dali	Bai (Dali)	son-in-law		197418	ȵv³³so⁴²ɣɯ⁴²	ȵ v ³³ s o ⁴² ɣ ɯ ⁴² 	Sun1991
197444	Jianchuan	Bai (Jianchuan)	son-in-law		197444	jṽ³³so⁴²ɣɯ⁴²	j ṽ ³³ s o ⁴² ɣ ɯ ⁴² 	Sun1991
205374	Dali	Bai (Dali)	song		205374	ko⁴⁴	k o ⁴⁴ 	Sun1991
205375	Bijiang	Bai (Bijiang)	song		205375	ko³³	k o ³³ 	Sun1991
205400	Jianchuan	Bai (Jianchuan)	song		205400	ko³³	k o ³³ 	Sun1991
189769	Bijiang	Bai (Bijiang)	sorghum		189769	mo⁴²no⁴²	m o ⁴² n o ⁴² 	Sun1991
189794	Jianchuan	Bai (Jianchuan)	sorghum		189794	ko⁵⁵liɑ⁵⁵	k o ⁵⁵ l i ɑ ⁵⁵ 	Sun1991
189768	Dali	Bai (Dali)	sorghum		189768	meʴ³³nv³³	m eʴ ³³ n v ³³ 	Sun1991
206700	Dali	Bai (Dali)	soul / spirit		206700	pheʴ²¹meʴ²¹	ph eʴ ²¹ m eʴ ²¹ 	Sun1991
206701	Bijiang	Bai (Bijiang)	soul / spirit		206701	phɑ²¹mɑ²¹	ph ɑ ²¹ m ɑ ²¹ 	Sun1991
206726	Jianchuan	Bai (Jianchuan)	soul / spirit		206726	ŋuɛ²¹	ŋ u ɛ ²¹ 	Sun1991
200427	Dali	Bai (Dali)	soup		200427	xeʴ⁵⁵	x eʴ ⁵⁵ 	Sun1991
200428	Bijiang	Bai (Bijiang)	soup		200428	xɑ̃⁵⁵	x ɑ̃ ∼ ⁵⁵ 	Sun1991
200453	Jianchuan	Bai (Jianchuan)	soup		200453	xɛ̃⁵⁵	x ɛ̃ ∼ ⁵⁵ 	Sun1991
225213	Dali	Bai (Dali)	sour		225213	suɑ⁵⁵	s u ɑ ⁵⁵ 	Sun1991
225214	Bijiang	Bai (Bijiang)	sour		225214	tɕɑ̃⁵⁵	tɕ ɑ̃ ∼ ⁵⁵ 	Sun1991
225239	Jianchuan	Bai (Jianchuan)	sour		225239	suɑ̃⁵⁵	s u ɑ̃ ∼ ⁵⁵ 	Sun1991
182475	Dali	Bai (Dali)	south		182475	nɑ²¹	n ɑ ²¹ 	Sun1991
182476	Bijiang	Bai (Bijiang)	south		182476	qõ⁵⁵ʈɯ²¹	q õ ∼ ⁵⁵ ʈ ɯ ²¹ 	Sun1991
182501	Jianchuan	Bai (Jianchuan)	south		182501	nɑ²¹	n ɑ ²¹ 	Sun1991
201294	Dali	Bai (Dali)	spade		201294	tshe³¹tsi⁴⁴	tsh e ³¹ ts i ⁴⁴ 	Sun1991
201295	Bijiang	Bai (Bijiang)	spade		201295	meʴ⁵⁵tõ³³	m eʴ ⁵⁵ t õ ∼ ³³ 	Sun1991
