ID	ENGLISH
696	marry (a man)
697	marry (a woman)
698	tell
699	help
700	save / rescue
701	treat / cure
702	give out / distribute
703	divide
704	owe
705	pay indemnity to
706	wait
707	encounter / meet
708	scold
709	fight
710	hit / beat
711	escape
712	chase / run after
713	drive away
714	rob
715	steal
716	cheat / swindle
717	laugh
718	weep
719	love
720	like
721	believe
722	know
723	understand
724	guess
725	remember
726	forget
727	think
728	angry
729	hate
730	fear
731	dare
732	know (a language) / can / be abl
733	be / copula
734	NEG+copula
735	have
736	NEG+have
737	come
738	go
739	return / go back
740	arrive
741	cross (river)
742	pass by
743	ascend
744	descend
745	exit
746	enter
747	retreat
748	exist / be present
749	dry in the sun
750	rain
751	rise (of the sun)
752	set (of the sun)
753	blow (of wind)
754	flash (of lightning)
755	thunder
756	flow
757	overflow
758	float
759	crack
760	collapse
761	chipped
762	roll (e.g. rock)
763	rotate / spin
764	drop / fall
765	break (v.i. of rope, etc.)
766	break
767	soak / immerse(e.g. seed)
768	ladle / dredge
769	leak
770	drip
771	boil
772	melt
773	change / transform
774	birth, give
775	grow
776	ill / sick
777	tremble
778	swollen
779	drunk
780	die
781	alive
782	fly
783	bark
784	crow
785	lay (egg)
786	hatch
787	sting
788	bud
789	bloom
790	bear fruit
791	wither
792	rot / spoil
793	begin
794	manage
795	hold a meeting
796	protect
797	win / triumph
798	lose
799	oppose
800	big
801	small
802	high / tall
803	low
804	deep
805	shallow
806	pointed
807	round
808	square
809	long
810	short
811	thick
812	thin (slender)
813	thick
814	thin
815	wide
816	narrow
817	far
818	near
819	many / much
820	little / few
821	straight
822	crooked
823	horizontal
824	upright
825	flat / level(land)
826	steep
827	right, just, upright
828	slanting, not upright
829	light
830	heavy
831	hard
832	soft
833	bright
834	dark
835	sunny
836	cloudy
837	red
838	yellow
839	blue
840	white
841	black
842	green
843	multicolored
844	thick
845	thin (watery)
846	full
847	beautiful
848	ugly
849	fat (of people)
850	fat (meat)
851	lean (meat)
852	thin (of people)
853	clean
854	dirty
855	clear (water)
856	turbid / muddy
857	old (of people)
858	young
859	tender
860	good
861	bad
862	fast
863	slow
864	dry
865	wet
866	new
867	old (things)
868	raw
869	cooked
870	sharp
871	blunt
872	early
873	late
874	true
875	false
876	expensive
877	cheap
878	easy
879	difficult
880	loose / lax
881	tight
882	smooth
883	hot
884	cold
885	warm
886	cool
887	sour
888	sweet
889	bitter
890	hot (spicy)
891	salty
892	fragrant
893	delicious
894	stinky
895	fishy
896	full / satiated
897	hungry
898	thirsty
899	tired
900	itch
901	pain / ache
902	right / correct
903	wrong / mistaken
904	intelligent
905	stupid
906	diligent
907	lazy
908	glad
909	poor
910	rich
911	one
912	two
913	three
914	four
915	five
916	six
917	seven
918	eight
919	nine
920	ten
921	eleven
922	twelve
923	thirteen
924	fourteen
925	fifteen
926	sixteen
927	seventeen
928	eighteen
929	nineteen
930	twenty
931	twenty-one
932	thirty
933	forty
934	fifty
935	sixty
936	seventy
937	eighty
938	ninety
939	hundred
940	thousand
941	ten thousand
942	hundred million
943	zero
944	first
945	fifth
946	eighth
947	half
948	classifier for people
949	classifier for e.g. bowls
950	classifier for trees
951	classifier for animals
952	classifier for objects with ha
953	classifier for long objects
954	classifier for long, thin obje
955	classifier for grains
956	drop
957	classifier for clothes
958	pair
959	fathom=6 feet
960	handspan
961	inch
962	foot (measure)
963	acre
964	dry measure / pint
965	dry measure / peck / =10 shēng
966	tael
967	catty=500 grams
968	monetary unit / dollar
969	I
970	we two
971	we
972	we (inclusive)
973	you (sg.)
974	you two
975	you (pl.)
976	he / she
977	they two
978	they
979	self
980	others
981	this
982	here
983	that
984	there
985	who
986	what
987	which
988	where
989	how many / much
990	just now
991	first
992	later (in time)
993	immediately / right away
994	often
995	slowly
996	fast (adv.)
997	very
998	most (superlative degree)
999	all / even
1000	also
1001	again
1002	certainly
1003	NEG
1004	don't
