				1		2	3		4	5		6	7		8	9		10	11	12		13	14		15	16		17		18	19		20	21		22
 i		疑	四																								堯				鬩	睨				
 w		疑	一											嵬			外							吳												
																								誤												
 wr		疑	二													刖		瓦	頑																	
 wj		疑	三													月		危	元					虞												
h	x	曉	一																							熇										
hr	x	曉	二											俙		瞎																				
hmr	x	曉	二			甍																														
hj	x	曉	三				畜	殠								歇			軒																	凶
hji	x	曉																					虩													
hw	x	曉	一		賄																															
hm	x	曉	一	黑	悔	薨							忽		昏										荒											
					海																															
hwr	x	曉	二																化												繣					
h wr	x	曉	二																																	
hwj	x	曉	三																										侐			觹				
hwji	x	曉	三	淢																																
hmj	x	曉	三													烕																				
h j	x	曉	三																					許												
hwi	x	曉	四																									血								
		影	一											哀	恩				安				惡	惡		沃								屋		
 r		影	二										軋							壓			啞								厄			渥		
 j		影	三					憂		邑		音	乙	衣								俺				約 夭	一		因	益					雝	
 ji		影	三					幼		揖		愔									瘞	淹			英		要									
										挹												厭														
 w		影	一																					汙												
 wi		影	四															蜎												淵						
 wj		影	三														濊																			
 wri		影	二													婠																				
