ID	CHARACTER	PINYIN	DOCULECT	READING	CONTEXT
8516	趱	zǎn	Beijing	ts a n ⁵¹	i n c t
8517	瓒	zàn	Middle_Chinese	dz a n /²	i n c t
8518	瓒	zàn	Beijing	ts a n ⁵¹	i n c t
8519	参	cān	Middle_Chinese	tsʰ o m /¹	i n c t t
8520	参	cān	Beijing	tsʰ a n ⁵⁵	i n c t
8521	骖	cān	Middle_Chinese	tsʰ o m /¹	i n c t t
8522	骖	cān	Beijing	tsʰ a n ⁵⁵	i n c t
8523	餐	cān	Middle_Chinese	tsʰ a n /¹	i n c t t
8524	餐	cān	Beijing	tsʰ a n ⁵⁵	i n c t
8525	蚕	cán	Middle_Chinese	dz o m /¹	i n c t t
8526	蚕	cán	Beijing	tsʰ a n ³⁵	i n c t
8527	惭	cán	Middle_Chinese	dz a m /¹	i n c t t
8528	惭	cán	Beijing	tsʰ a n ³⁵	i n c t
8529	残	cán	Middle_Chinese	dz a n /¹	i n c t t
8530	残	cán	Beijing	tsʰ a n ³⁵	i n c t
8531	惨	cǎn	Middle_Chinese	tsʰ a m /²	i n c t
8532	惨	cǎn	Beijing	tsʰ a n ²¹⁴	i n c t
8533	憯	cǎn	Middle_Chinese	tsʰ a m /²	i n c t
8534	憯	cǎn	Beijing	tsʰ a n ²¹⁴	i n c t
8535	粲	càn	Middle_Chinese	tsʰ a n /³	i n c t
8536	粲	càn	Beijing	tsʰ a n ⁵¹	i n c t
8537	灿	càn	Middle_Chinese	tsʰ a n /³	i n c t
8538	灿	càn	Beijing	tsʰ a n ⁵¹	i n c t
8539	璨	càn	Middle_Chinese	tsʰ a n /³	i n c t
8540	璨	càn	Beijing	tsʰ a n ⁵¹	i n c t
8541	毵	sān	Middle_Chinese	s o m /¹	i n c t t
8542	毵	sān	Beijing	s a n ⁵⁵	i n c t
8543	三	sān	Middle_Chinese	s a m /¹	i n c t t
8544	三	sān	Beijing	s a n ⁵⁵	i n c t
8545	散	sàn	Middle_Chinese	s a n /²	i n c t
8546	散	sàn	Beijing	s a n ²¹⁴	i n c t
8547	伞	sǎn	Middle_Chinese	s a n /²	i n c t
8548	伞	sǎn	Beijing	s a n ²¹⁴	i n c t
8549	伞	sǎn	Middle_Chinese	s a n /²	i n c t
8550	伞	sǎn	Beijing	s a n ²¹⁴	i n c t
8551	糤	sǎn	Middle_Chinese	s a n /²	i n c t
8552	糤	sǎn	Beijing	s a n ²¹⁴	i n c t
8553	散	sàn	Middle_Chinese	s a n /³	i n c t
8554	散	sàn	Beijing	s a n ⁵¹	i n c t
8555	沾	zhān	Middle_Chinese	ʈ j e m /¹	i m n c t t
8556	沾	zhān	Beijing	ʈʂ a n ⁵⁵	i n c t
8557	沾	zhān	Middle_Chinese	ʈ j e m /¹	i m n c t t
8558	沾	zhān	Beijing	ʈʂ a n ⁵⁵	i n c t
8559	觇	chān	Middle_Chinese	ʈʰ j e m /¹	i m n c t t
8560	觇	chān	Beijing	ʈʂ a n ⁵⁵	i n c t
8561	詹	zhān	Middle_Chinese	tɕ e m /¹	i n c t t
8562	詹	zhān	Beijing	ʈʂ a n ⁵⁵	i n c t
8563	瞻	zhān	Middle_Chinese	tɕ e m /¹	i n c t t
8564	瞻	zhān	Beijing	ʈʂ a n ⁵⁵	i n c t
8565	占	zhàn	Middle_Chinese	tɕ e m /¹	i n c t t
8566	占	zhàn	Beijing	ʈʂ a n ⁵⁵	i n c t
8567	谵	zhān	Middle_Chinese	tɕ e m /¹	i n c t t
8568	谵	zhān	Beijing	ʈʂ a n ⁵⁵	i n c t
8569	讝	zhán	Middle_Chinese	tɕ e m /¹	i n c t t
8570	讝	zhán	Beijing	ʈʂ a n ⁵⁵	i n c t
8571	鳣	zhān	Middle_Chinese	ʈ j e n /¹	i m n c t t
8572	鳣	zhān	Beijing	ʈʂ a n ⁵⁵	i n c t
8573	邅	zhān	Middle_Chinese	ʈ j e n /¹	i m n c t t
8574	邅	zhān	Beijing	ʈʂ a n ⁵⁵	i n c t
8575	毡	zhān	Middle_Chinese	tɕ e n /¹	i n c t t
8576	毡	zhān	Beijing	ʈʂ a n ⁵⁵	i n c t
8577	饘	zhān	Middle_Chinese	tɕ e n /¹	i n c t t
8578	饘	zhān	Beijing	ʈʂ a n ⁵⁵	i n c t
8579	鹯	zhān	Middle_Chinese	tɕ e n /¹	i n c t t
8580	鹯	zhān	Beijing	ʈʂ a n ⁵⁵	i n c t
8581	旃	zhān	Middle_Chinese	tɕ e n /¹	i n c t t
8582	旃	zhān	Beijing	ʈʂ a n ⁵⁵	i n c t
8583	栴	zhān	Middle_Chinese	tɕ e n /¹	i n c t t
8584	栴	zhān	Beijing	ʈʂ a n ⁵⁵	i n c t
8585	斩	zhǎn	Middle_Chinese	ʈʂ ɛ m /²	i n c t
8586	斩	zhǎn	Beijing	ʈʂ a n ²¹⁴	i n c t
8587	飐	zhǎn	Middle_Chinese	tɕ e m /²	i n c t
8588	飐	zhǎn	Beijing	ʈʂ a n ²¹⁴	i n c t
8589	醆	zhǎn	Middle_Chinese	ʈʂ ɛ n /²	i n c t
8590	醆	zhǎn	Beijing	ʈʂ a n ²¹⁴	i n c t
8591	盏	zhǎn	Middle_Chinese	ʈʂ ɛ n /²	i n c t
8592	盏	zhǎn	Beijing	ʈʂ a n ²¹⁴	i n c t
8593	琖	zhǎn	Middle_Chinese	ʈʂ ɛ n /²	i n c t
8594	琖	zhǎn	Beijing	ʈʂ a n ²¹⁴	i n c t
8595	站	zhàn	Middle_Chinese	ʈ ɛ m /³	i n c t
8596	站	zhàn	Beijing	ʈʂ a n ⁵¹	i n c t
8597	湛	zhàn	Middle_Chinese	ɖ ɛ m /²	i n c t
8598	湛	zhàn	Beijing	ʈʂ a n ⁵¹	i n c t
8599	蘸	zhàn	Middle_Chinese	ʈʂ ɛ m /³	i n c t
8600	蘸	zhàn	Beijing	ʈʂ a n ⁵¹	i n c t
8601	佔	zhàn	Middle_Chinese	tɕ e m /³	i n c t
8602	佔	zhàn	Beijing	ʈʂ a n ⁵¹	i n c t
8603	占	zhàn	Middle_Chinese	tɕ e m /³	i n c t
8604	占	zhàn	Beijing	ʈʂ a n ⁵¹	i n c t
8605	栈	zhàn	Middle_Chinese	ɖʐ æ n /³	i n c t
8606	栈	zhàn	Beijing	ʈʂ a n ⁵¹	i n c t
8607	战	zhàn	Middle_Chinese	tɕ e n /³	i n c t
8608	战	zhàn	Beijing	ʈʂ a n ⁵¹	i n c t
8609	颤	chàn	Middle_Chinese	tɕ e n /³	i n c t
8610	颤	chàn	Beijing	ʈʂ a n ⁵¹	i n c t
8611	搀	chān	Middle_Chinese	ʈʂʰ æ m /¹	i n c t t
8612	搀	chān	Beijing	ʈʂʰ a n ⁵⁵	i n c t
8613	幨	chān	Middle_Chinese	tɕʰ e m /¹	i n c t t
8614	幨	chān	Beijing	ʈʂʰ a n ⁵⁵	i n c t
8615	襜	chān	Middle_Chinese	tɕʰ e m /¹	i n c t t
8616	襜	chān	Beijing	ʈʂʰ a n ⁵⁵	i n c t
8617	梴	chān	Middle_Chinese	ʈʰ j e n /¹	i m n c t t
8618	梴	chān	Beijing	ʈʂʰ a n ⁵⁵	i n c t
8619	巉	chán	Middle_Chinese	ɖʐ æ m /¹	i n c t t
8620	巉	chán	Beijing	ʈʂʰ a n ³⁵	i n c t
8621	镵	chán	Middle_Chinese	ɖʐ æ m /¹	i n c t t
8622	镵	chán	Beijing	ʈʂʰ a n ³⁵	i n c t
8623	蟾	chán	Middle_Chinese	dʑ e m /¹	i n c t t
8624	蟾	chán	Beijing	ʈʂʰ a n ³⁵	i n c t
8625	孱	càn	Middle_Chinese	ɖʐ ɛ n /¹	i n c t t
8626	孱	càn	Beijing	ʈʂʰ a n ³⁵	i n c t
8627	僝	chán	Middle_Chinese	ɖʐ ɛ n /¹	i n c t t
8628	僝	chán	Beijing	ʈʂʰ a n ³⁵	i n c t
8629	潺	chán	Middle_Chinese	ɖʐ ɛ n /¹	i n c t t
8630	潺	chán	Beijing	ʈʂʰ a n ³⁵	i n c t
8631	缠	chán	Middle_Chinese	ɖ j e n /¹	i m n c t t
8632	缠	chán	Beijing	ʈʂʰ a n ³⁵	i n c t
8633	廛	chán	Middle_Chinese	ɖ j e n /¹	i m n c t t
8634	廛	chán	Beijing	ʈʂʰ a n ³⁵	i n c t
8635	躔	chán	Middle_Chinese	ɖ j e n /¹	i m n c t t
8636	躔	chán	Beijing	ʈʂʰ a n ³⁵	i n c t
8637	瀍	chán	Middle_Chinese	ɖ j e n /¹	i m n c t t
8638	瀍	chán	Beijing	ʈʂʰ a n ³⁵	i n c t
8639	蝉	chán	Middle_Chinese	dʑ e n /¹	i n c t t
8640	蝉	chán	Beijing	ʈʂʰ a n ³⁵	i n c t
8641	禅	chán	Middle_Chinese	dʑ e n /¹	i n c t t
8642	禅	chán	Beijing	ʈʂʰ a n ³⁵	i n c t
8643	单	dān	Middle_Chinese	dʑ e n /¹	i n c t t
8644	单	dān	Beijing	ʈʂʰ a n ³⁵	i n c t
8645	婵	chán	Middle_Chinese	dʑ e n /¹	i n c t t
8646	婵	chán	Beijing	ʈʂʰ a n ³⁵	i n c t
8647	澶	chán	Middle_Chinese	dʑ e n /¹	i n c t t
8648	澶	chán	Beijing	ʈʂʰ a n ³⁵	i n c t
8649	谄	chǎn	Middle_Chinese	ʈʰ j e m /²	i m n c t
8650	谄	chǎn	Beijing	ʈʂʰ a n ²¹⁴	i n c t
8651	铲	chǎn	Middle_Chinese	ʈʂʰ ɛ n /²	i n c t
8652	铲	chǎn	Beijing	ʈʂʰ a n ²¹⁴	i n c t
8653	刬	chǎn	Middle_Chinese	ʈʂʰ ɛ n /²	i n c t
8654	刬	chǎn	Beijing	ʈʂʰ a n ²¹⁴	i n c t
8655	产	chǎn	Middle_Chinese	ʂ ɛ n /²	i n c t
8656	产	chǎn	Beijing	ʈʂʰ a n ²¹⁴	i n c t
8657	忏	chàn	Middle_Chinese	ʈʂʰ æ m /³	i n c t
8658	忏	chàn	Beijing	ʈʂʰ a n ⁵¹	i n c t
8659	儳	chán	Middle_Chinese	ʈʂʰ æ m /³	i n c t
8660	儳	chán	Beijing	ʈʂʰ a n ⁵¹	i n c t
8661	羼	chàn	Middle_Chinese	ʈʂʰ æ n /³	i n c t
8662	羼	chàn	Beijing	ʈʂʰ a n ⁵¹	i n c t
8663	颤	chàn	Middle_Chinese	tɕ e n /³	i n c t
8664	颤	chàn	Beijing	ʈʂʰ a n ⁵¹	i n c t
8665	衫	shān	Middle_Chinese	ʂ æ m /¹	i n c t t
8666	衫	shān	Beijing	ʂ a n ⁵⁵	i n c t
8667	芟	shān	Middle_Chinese	ʂ æ m /¹	i n c t t
8668	芟	shān	Beijing	ʂ a n ⁵⁵	i n c t
8669	苫	shān	Middle_Chinese	ɕ e m /¹	i n c t t
8670	苫	shān	Beijing	ʂ a n ⁵⁵	i n c t
8671	姗	shān	Middle_Chinese	s a n /¹	i n c t t
8672	姗	shān	Beijing	ʂ a n ⁵⁵	i n c t
8673	珊	shān	Middle_Chinese	s a n /¹	i n c t t
8674	珊	shān	Beijing	ʂ a n ⁵⁵	i n c t
8675	跚	shān	Middle_Chinese	s a n /¹	i n c t t
8676	跚	shān	Beijing	ʂ a n ⁵⁵	i n c t
8677	山	shān	Middle_Chinese	ʂ ɛ n /¹	i n c t t
8678	山	shān	Beijing	ʂ a n ⁵⁵	i n c t
8679	删	shān	Middle_Chinese	ʂ æ n /¹	i n c t t
8680	删	shān	Beijing	ʂ a n ⁵⁵	i n c t
8681	潸	shān	Middle_Chinese	ʂ æ n /¹	i n c t t
8682	潸	shān	Beijing	ʂ a n ⁵⁵	i n c t
8683	膻	shān	Middle_Chinese	ɕ e n /¹	i n c t t
8684	膻	shān	Beijing	ʂ a n ⁵⁵	i n c t
8685	扇	shàn	Middle_Chinese	ɕ e n /¹	i n c t t
8686	扇	shàn	Beijing	ʂ a n ⁵⁵	i n c t
8687	煽	shān	Middle_Chinese	ɕ e n /¹	i n c t t
8688	煽	shān	Beijing	ʂ a n ⁵⁵	i n c t
8689	陕	xiá	Middle_Chinese	ɕ e m /²	i n c t
8690	陕	xiá	Beijing	ʂ a n ²¹⁴	i n c t
8691	闪	shǎn	Middle_Chinese	ɕ e m /²	i n c t
8692	闪	shǎn	Beijing	ʂ a n ²¹⁴	i n c t
8693	掞	shàn	Middle_Chinese	ɕ e m /³	i n c t
8694	掞	shàn	Beijing	ʂ a n ⁵¹	i n c t
8695	苫	shān	Middle_Chinese	ɕ e m /³	i n c t
8696	苫	shān	Beijing	ʂ a n ⁵¹	i n c t
8697	剡	shàn	Middle_Chinese	dʑ e m /²	i n c t
8698	剡	shàn	Beijing	ʂ a n ⁵¹	i n c t
8699	讪	shàn	Middle_Chinese	ʂ æ n /³	i n c t
8700	讪	shàn	Beijing	ʂ a n ⁵¹	i n c t
8701	汕	shàn	Middle_Chinese	ʂ æ n /³	i n c t
8702	汕	shàn	Beijing	ʂ a n ⁵¹	i n c t
8703	疝	shàn	Middle_Chinese	ʂ æ n /³	i n c t
8704	疝	shàn	Beijing	ʂ a n ⁵¹	i n c t
8705	扇	shàn	Middle_Chinese	ɕ e n /³	i n c t
8706	扇	shàn	Beijing	ʂ a n ⁵¹	i n c t
8707	煽	shān	Middle_Chinese	ɕ e n /³	i n c t
8708	煽	shān	Beijing	ʂ a n ⁵¹	i n c t
8709	赡	shàn	Middle_Chinese	dʑ e m /³	i n c t
8710	赡	shàn	Beijing	ʂ a n ⁵¹	i n c t
8711	缮	shàn	Middle_Chinese	dʑ e n /³	i n c t
8712	缮	shàn	Beijing	ʂ a n ⁵¹	i n c t
8713	膳	shàn	Middle_Chinese	dʑ e n /³	i n c t
8714	膳	shàn	Beijing	ʂ a n ⁵¹	i n c t
8715	鄯	shàn	Middle_Chinese	dʑ e n /³	i n c t
8716	鄯	shàn	Beijing	ʂ a n ⁵¹	i n c t
8717	嬗	shàn	Middle_Chinese	dʑ e n /³	i n c t
8718	嬗	shàn	Beijing	ʂ a n ⁵¹	i n c t
8719	擅	shàn	Middle_Chinese	dʑ e n /³	i n c t
8720	擅	shàn	Beijing	ʂ a n ⁵¹	i n c t
8721	单	dān	Middle_Chinese	dʑ e n /³	i n c t
8722	单	dān	Beijing	ʂ a n ⁵¹	i n c t
8723	禅	chán	Middle_Chinese	dʑ e n /³	i n c t
8724	禅	chán	Beijing	ʂ a n ⁵¹	i n c t
8725	髯	rán	Middle_Chinese	ɲ e m /¹	i n c t t
8726	髯	rán	Beijing	ʐ a n ³⁵	i n c t
8727	然	rán	Middle_Chinese	ɲ e n /¹	i n c t t
8728	然	rán	Beijing	ʐ a n ³⁵	i n c t
8729	燃	rán	Middle_Chinese	ɲ e n /¹	i n c t t
8730	燃	rán	Beijing	ʐ a n ³⁵	i n c t
8731	肰	rán	Middle_Chinese	ɲ e n /¹	i n c t t
8732	肰	rán	Beijing	ʐ a n ³⁵	i n c t
8733	染	rǎn	Middle_Chinese	ɲ e m /²	i n c t
8734	染	rǎn	Beijing	ʐ a n ²¹⁴	i n c t
8735	冉	rǎn	Middle_Chinese	ɲ e m /²	i n c t
8736	冉	rǎn	Beijing	ʐ a n ²¹⁴	i n c t
8737	苒	rǎn	Middle_Chinese	ɲ e m /²	i n c t
8738	苒	rǎn	Beijing	ʐ a n ²¹⁴	i n c t
8739	甘	gān	Middle_Chinese	k a m /¹	i n c t t
8740	甘	gān	Beijing	k a n ⁵⁵	i n c t
8741	柑	gān	Middle_Chinese	k a m /¹	i n c t t
8742	柑	gān	Beijing	k a n ⁵⁵	i n c t
8743	泔	gān	Middle_Chinese	k a m /¹	i n c t t
8744	泔	gān	Beijing	k a n ⁵⁵	i n c t
8745	坩	gān	Middle_Chinese	k a m /¹	i n c t t
8746	坩	gān	Beijing	k a n ⁵⁵	i n c t
8747	干	gàn	Middle_Chinese	k a n /¹	i n c t t
8748	干	gàn	Beijing	k a n ⁵⁵	i n c t
8749	肝	gān	Middle_Chinese	k a n /¹	i n c t t
8750	肝	gān	Beijing	k a n ⁵⁵	i n c t
8751	竿	gān	Middle_Chinese	k a n /¹	i n c t t
8752	竿	gān	Beijing	k a n ⁵⁵	i n c t
8753	干	gàn	Middle_Chinese	k a n /¹	i n c t t
8754	干	gàn	Beijing	k a n ⁵⁵	i n c t
8755	感	gǎn	Middle_Chinese	k a m /²	i n c t
8756	感	gǎn	Beijing	k a n ²¹⁴	i n c t
8757	敢	gǎn	Middle_Chinese	k o m /²	i n c t
8758	敢	gǎn	Beijing	k a n ²¹⁴	i n c t
8759	橄	gǎn	Middle_Chinese	k o m /²	i n c t
8760	橄	gǎn	Beijing	k a n ²¹⁴	i n c t
8761	杆	gǎn	Middle_Chinese	k a n /²	i n c t
8762	杆	gǎn	Beijing	k a n ²¹⁴	i n c t
8763	簳	gǎn	Middle_Chinese	k a n /²	i n c t
8764	簳	gǎn	Beijing	k a n ²¹⁴	i n c t
8765	秆	gǎn	Middle_Chinese	k a n /²	i n c t
8766	秆	gǎn	Beijing	k a n ²¹⁴	i n c t
8767	擀	xiǎn	Middle_Chinese	k a n /²	i n c t
8768	擀	xiǎn	Beijing	k a n ²¹⁴	i n c t
8769	衦	gǎn	Middle_Chinese	k a n /²	i n c t
8770	衦	gǎn	Beijing	k a n ²¹⁴	i n c t
8771	赣	gàn	Middle_Chinese	k a m /³	i n c t
8772	赣	gàn	Beijing	k a n ⁵¹	i n c t
8773	绀	gàn	Middle_Chinese	k a m /³	i n c t
8774	绀	gàn	Beijing	k a n ⁵¹	i n c t
8775	淦	gàn	Middle_Chinese	k a m /³	i n c t
8776	淦	gàn	Beijing	k a n ⁵¹	i n c t
8777	干	gàn	Middle_Chinese	k a n /³	i n c t
8778	干	gàn	Beijing	k a n ⁵¹	i n c t
8779	干	gàn	Middle_Chinese	k a n /³	i n c t
8780	干	gàn	Beijing	k a n ⁵¹	i n c t
8781	旰	gàn	Middle_Chinese	k a n /³	i n c t
8782	旰	gàn	Beijing	k a n ⁵¹	i n c t
8783	骭	gàn	Middle_Chinese	k a n /³	i n c t
8784	骭	gàn	Beijing	k a n ⁵¹	i n c t
8785	堪	kān	Middle_Chinese	kʰ o m /¹	i n c t t
8786	堪	kān	Beijing	kʰ a n ⁵⁵	i n c t
8787	戡	kān	Middle_Chinese	kʰ o m /¹	i n c t t
8788	戡	kān	Beijing	kʰ a n ⁵⁵	i n c t
8789	龛	kān	Middle_Chinese	kʰ o m /¹	i n c t t
8790	龛	kān	Beijing	kʰ a n ⁵⁵	i n c t
8791	勘	kān	Middle_Chinese	kʰ a m /³	i n c t
8792	勘	kān	Beijing	kʰ a n ⁵⁵	i n c t
8793	看	kàn	Middle_Chinese	kʰ a n /¹	i n c t t
8794	看	kàn	Beijing	kʰ a n ⁵⁵	i n c t
8795	刊	kān	Middle_Chinese	kʰ a n /¹	i n c t t
8796	刊	kān	Beijing	kʰ a n ⁵⁵	i n c t
8797	栞	kān	Middle_Chinese	kʰ a n /¹	i n c t t
8798	栞	kān	Beijing	kʰ a n ⁵⁵	i n c t
8799	坎	kǎn	Middle_Chinese	kʰ a m /²	i n c t
8800	坎	kǎn	Beijing	kʰ a n ²¹⁴	i n c t
8801	埳	kǎn	Middle_Chinese	kʰ a m /²	i n c t
8802	埳	kǎn	Beijing	kʰ a n ²¹⁴	i n c t
8803	轗	kǎn	Middle_Chinese	kʰ a m /²	i n c t
8804	轗	kǎn	Beijing	kʰ a n ²¹⁴	i n c t
8805	侃	kǎn	Middle_Chinese	kʰ a n /²	i n c t
8806	侃	kǎn	Beijing	kʰ a n ²¹⁴	i n c t
8807	勘	kān	Middle_Chinese	kʰ a m /³	i n c t
8808	勘	kān	Beijing	kʰ a n ⁵¹	i n c t
8809	磡	kàn	Middle_Chinese	kʰ a m /³	i n c t
8810	磡	kàn	Beijing	kʰ a n ⁵¹	i n c t
8811	看	kàn	Middle_Chinese	kʰ a n /³	i n c t
8812	看	kàn	Beijing	kʰ a n ⁵¹	i n c t
8813	衎	kàn	Middle_Chinese	kʰ a n /³	i n c t
8814	衎	kàn	Beijing	kʰ a n ⁵¹	i n c t
8815	蚶	hān	Middle_Chinese	x a m /¹	i n c t t
8816	蚶	hān	Beijing	x a n ⁵⁵	i n c t
8817	憨	hān	Middle_Chinese	x a m /¹	i n c t t
8818	憨	hān	Beijing	x a n ⁵⁵	i n c t
8819	酣	hān	Middle_Chinese	ɣ a m /¹	i n c t t
8820	酣	hān	Beijing	x a n ⁵⁵	i n c t
8821	鼾	hān	Middle_Chinese	x a n /¹	i n c t t
8822	鼾	hān	Beijing	x a n ⁵⁵	i n c t
8823	顸	hān	Middle_Chinese	x a n /¹	i n c t t
8824	顸	hān	Beijing	x a n ⁵⁵	i n c t
8825	含	hán	Middle_Chinese	ɣ o m /¹	i n c t t
8826	含	hán	Beijing	x a n ³⁵	i n c t
8827	函	hán	Middle_Chinese	ɣ o m /¹	i n c t t
8828	函	hán	Beijing	x a n ³⁵	i n c t
8829	涵	hán	Middle_Chinese	ɣ o m /¹	i n c t t
8830	涵	hán	Beijing	x a n ³⁵	i n c t
8831	颔	hàn	Middle_Chinese	ɣ o m /¹	i n c t t
8832	颔	hàn	Beijing	x a n ³⁵	i n c t
8833	邯	hán	Middle_Chinese	ɣ a m /¹	i n c t t
8834	邯	hán	Beijing	x a n ³⁵	i n c t
8835	寒	hán	Middle_Chinese	ɣ a n /¹	i n c t t
8836	寒	hán	Beijing	x a n ³⁵	i n c t
8837	韩	hán	Middle_Chinese	ɣ a n /¹	i n c t t
8838	韩	hán	Beijing	x a n ³⁵	i n c t
8839	汗	hàn	Middle_Chinese	ɣ a n /¹	i n c t t
8840	汗	hàn	Beijing	x a n ³⁵	i n c t
8841	邗	hán	Middle_Chinese	ɣ a n /¹	i n c t t
8842	邗	hán	Beijing	x a n ³⁵	i n c t
8843	邯	hán	Middle_Chinese	ɣ a n /¹	i n c t t
8844	邯	hán	Beijing	x a n ³⁵	i n c t
8845	喊	hǎn	Middle_Chinese	x o m /²	i n c t
8846	喊	hǎn	Beijing	x a n ²¹⁴	i n c t
8847	罕	hǎn	Middle_Chinese	x a n /²	i n c t
8848	罕	hǎn	Beijing	x a n ²¹⁴	i n c t
8849	蔊	hǎn	Middle_Chinese	x a n /²	i n c t
8850	蔊	hǎn	Beijing	x a n ²¹⁴	i n c t
8851	撼	hàn	Middle_Chinese	ɣ a m /²	i n c t
8852	撼	hàn	Beijing	x a n ⁵¹	i n c t
8853	颔	hàn	Middle_Chinese	ɣ a m /²	i n c t
8854	颔	hàn	Beijing	x a n ⁵¹	i n c t
8855	菡	hàn	Middle_Chinese	ɣ a m /²	i n c t
8856	菡	hàn	Beijing	x a n ⁵¹	i n c t
8857	憾	hàn	Middle_Chinese	ɣ a m /³	i n c t
8858	憾	hàn	Beijing	x a n ⁵¹	i n c t
8859	琀	hán	Middle_Chinese	ɣ a m /³	i n c t
8860	琀	hán	Beijing	x a n ⁵¹	i n c t
8861	汉	hàn	Middle_Chinese	x a n /³	i n c t
8862	汉	hàn	Beijing	x a n ⁵¹	i n c t
8863	暵	hàn	Middle_Chinese	x a n /³	i n c t
8864	暵	hàn	Beijing	x a n ⁵¹	i n c t
8865	熯	hàn	Middle_Chinese	x a n /³	i n c t
8866	熯	hàn	Beijing	x a n ⁵¹	i n c t
8867	旱	hàn	Middle_Chinese	ɣ a n /²	i n c t
8868	旱	hàn	Beijing	x a n ⁵¹	i n c t
8869	汗	hàn	Middle_Chinese	ɣ a n /³	i n c t
8870	汗	hàn	Beijing	x a n ⁵¹	i n c t
8871	扞	gǎn	Middle_Chinese	ɣ a n /³	i n c t
8872	扞	gǎn	Beijing	x a n ⁵¹	i n c t
8873	捍	hàn	Middle_Chinese	ɣ a n /³	i n c t
8874	捍	hàn	Beijing	x a n ⁵¹	i n c t
8875	闬	hàn	Middle_Chinese	ɣ a n /³	i n c t
8876	闬	hàn	Beijing	x a n ⁵¹	i n c t
8877	悍	hàn	Middle_Chinese	ɣ a n /³	i n c t
8878	悍	hàn	Beijing	x a n ⁵¹	i n c t
8879	焊	hàn	Middle_Chinese	ɣ a n /³	i n c t
8880	焊	hàn	Beijing	x a n ⁵¹	i n c t
8881	翰	hàn	Middle_Chinese	ɣ a n /³	i n c t
8882	翰	hàn	Beijing	x a n ⁵¹	i n c t
8883	瀚	hàn	Middle_Chinese	ɣ a n /³	i n c t
8884	瀚	hàn	Beijing	x a n ⁵¹	i n c t
8885	庵	ān	Middle_Chinese	ʔ o m /¹	i n c t t
8886	庵	ān	Beijing	a n ⁵⁵	n c t
8887	庵	ān	Middle_Chinese	ʔ o m /¹	i n c t t
8888	庵	ān	Beijing	a n ⁵⁵	n c t
8889	谙	ān	Middle_Chinese	ʔ o m /¹	i n c t t
8890	谙	ān	Beijing	a n ⁵⁵	n c t
8891	盦	ān	Middle_Chinese	ʔ o m /¹	i n c t t
8892	盦	ān	Beijing	a n ⁵⁵	n c t
8893	鹌	ān	Middle_Chinese	ʔ o m /¹	i n c t t
8894	鹌	ān	Beijing	a n ⁵⁵	n c t
8895	安	ān	Middle_Chinese	ʔ a n /¹	i n c t t
8896	安	ān	Beijing	a n ⁵⁵	n c t
8897	鞍	ān	Middle_Chinese	ʔ a n /¹	i n c t t
8898	鞍	ān	Beijing	a n ⁵⁵	n c t
8899	黭	yǎn	Middle_Chinese	ʔ a m /²	i n c t
8900	黭	yǎn	Beijing	a n ²¹⁴	n c t
8901	晻	àn	Middle_Chinese	ʔ a m /²	i n c t
8902	晻	àn	Beijing	a n ²¹⁴	n c t
8903	揞	ǎn	Middle_Chinese	ʔ a m /²	i n c t
8904	揞	ǎn	Beijing	a n ²¹⁴	n c t
8905	埯	ǎn	Middle_Chinese	ʔ o m /²	i n c t
8906	埯	ǎn	Beijing	a n ²¹⁴	n c t
8907	暗	àn	Middle_Chinese	ʔ a m /³	i n c t
8908	暗	àn	Beijing	a n ⁵¹	n c t
8909	闇	àn	Middle_Chinese	ʔ a m /³	i n c t
8910	闇	àn	Beijing	a n ⁵¹	n c t
8911	岸	àn	Middle_Chinese	ŋ a n /³	i n c t
8912	岸	àn	Beijing	a n ⁵¹	n c t
8913	按	àn	Middle_Chinese	ʔ a n /³	i n c t
8914	按	àn	Beijing	a n ⁵¹	n c t
8915	案	àn	Middle_Chinese	ʔ a n /³	i n c t
8916	案	àn	Beijing	a n ⁵¹	n c t
8917	砭	biān	Middle_Chinese	p j e m /¹	i m n c t t
8918	砭	biān	Beijing	p i a n ⁵⁵	i m n c t
8919	鞭	biān	Middle_Chinese	p j e n /¹	i m n c t t
8920	鞭	biān	Beijing	p i a n ⁵⁵	i m n c t
8921	编	biān	Middle_Chinese	p j e n /¹	i m n c t t
8922	编	biān	Beijing	p i a n ⁵⁵	i m n c t
8923	鳊	biān	Middle_Chinese	p j e n /¹	i m n c t t
8924	鳊	biān	Beijing	p i a n ⁵⁵	i m n c t
8925	边	biān	Middle_Chinese	p e n /¹	i n c t t
8926	边	biān	Beijing	p i a n ⁵⁵	i m n c t
8927	笾	biān	Middle_Chinese	p e n /¹	i n c t t
8928	笾	biān	Beijing	p i a n ⁵⁵	i m n c t
8929	蝙	biān	Middle_Chinese	p e n /¹	i n c t t
8930	蝙	biān	Beijing	p i a n ⁵⁵	i m n c t
8931	贬	biǎn	Middle_Chinese	p j e m /²	i m n c t
8932	贬	biǎn	Beijing	p i a n ²¹⁴	i m n c t
8933	窆	biǎn	Middle_Chinese	p j e m /²	i m n c t
8934	窆	biǎn	Beijing	p i a n ²¹⁴	i m n c t
8935	窆	biǎn	Middle_Chinese	p j e m /³	i m n c t
8936	窆	biǎn	Beijing	p i a n ²¹⁴	i m n c t
