ID	CHARACTER	PINYIN	DOCULECT	READING	CONTEXT
250	咤	zhà	Beijing	ʈʂ a ⁵¹	i n t
251	诈	zhà	Middle_Chinese	ʈʂ æ /³	i n t
252	诈	zhà	Beijing	ʈʂ a ⁵¹	i n t
253	榨	zhà	Middle_Chinese	ʈʂ æ /³	i n t
254	榨	zhà	Beijing	ʈʂ a ⁵¹	i n t
255	茬	chá	Middle_Chinese	ɖʐ æ /²	i n t
256	茬	chá	Beijing	ʈʂ a ⁵¹	i n t
257	槎	chá	Middle_Chinese	ɖʐ æ /²	i n t
258	槎	chá	Beijing	ʈʂ a ⁵¹	i n t
259	乍	zhà	Middle_Chinese	ɖʐ æ /³	i n t
260	乍	zhà	Beijing	ʈʂ a ⁵¹	i n t
261	蜡	là	Middle_Chinese	ɖʐ æ /³	i n t
262	蜡	là	Beijing	ʈʂ a ⁵¹	i n t
263	栅	shān	Middle_Chinese	ʈʂʰ ɛ k /⁴	i n c t t
264	栅	shān	Beijing	ʈʂ a ⁵¹	i n t
265	叉	chā	Middle_Chinese	ʈʂʰ æ /¹	i n t t
266	叉	chā	Beijing	ʈʂʰ a ⁵⁵	i n t
267	差	chà	Middle_Chinese	ʈʂʰ æ /¹	i n t t
268	差	chà	Beijing	ʈʂʰ a ⁵⁵	i n t
269	插	chā	Middle_Chinese	ʈʂʰ ɛ p /⁴	i n c t t
270	插	chā	Beijing	ʈʂʰ a ⁵⁵	i n t
271	茶	chá	Middle_Chinese	ɖ æ /¹	i n t t
272	茶	chá	Beijing	ʈʂʰ a ³⁵	i n t
273	搽	chá	Middle_Chinese	ɖ æ /¹	i n t t
274	搽	chá	Beijing	ʈʂʰ a ³⁵	i n t
275	茬	chá	Middle_Chinese	ɖʐ æ /¹	i n t t
276	茬	chá	Beijing	ʈʂʰ a ³⁵	i n t
277	槎	chá	Middle_Chinese	ɖʐ æ /¹	i n t t
278	槎	chá	Beijing	ʈʂʰ a ³⁵	i n t
279	察	chá	Middle_Chinese	ʈʂʰ ɛ t /⁴	i n c t t
280	察	chá	Beijing	ʈʂʰ a ³⁵	i n t
281	诧	chà	Middle_Chinese	ʈʰ æ /³	i n t
282	诧	chà	Beijing	ʈʂʰ a ⁵¹	i n t
283	差	chà	Middle_Chinese	ʈʂʰ æ /³	i n t
284	差	chà	Beijing	ʈʂʰ a ⁵¹	i n t
285	杈	chā	Middle_Chinese	ʈʂʰ æ /³	i n t
286	杈	chā	Beijing	ʈʂʰ a ⁵¹	i n t
287	岔	chà	Middle_Chinese	ʈʂʰ æ /³	i n t
288	岔	chà	Beijing	ʈʂʰ a ⁵¹	i n t
289	汊	chà	Middle_Chinese	ʈʂʰ æ /³	i n t
290	汊	chà	Beijing	ʈʂʰ a ⁵¹	i n t
291	刹	shā	Middle_Chinese	ʈʂʰ æ t /¹	i n c t t
292	刹	shā	Beijing	ʈʂʰ a ⁵¹	i n t
293	沙	shā	Middle_Chinese	ʂ æ /¹	i n t t
294	沙	shā	Beijing	ʂ a ⁵⁵	i n t
295	砂	shā	Middle_Chinese	ʂ æ /¹	i n t t
296	砂	shā	Beijing	ʂ a ⁵⁵	i n t
297	纱	shā	Middle_Chinese	ʂ æ /¹	i n t t
298	纱	shā	Beijing	ʂ a ⁵⁵	i n t
299	鲨	shā	Middle_Chinese	ʂ æ /¹	i n t t
300	鲨	shā	Beijing	ʂ a ⁵⁵	i n t
301	裟	shā	Middle_Chinese	ʂ æ /¹	i n t t
302	裟	shā	Beijing	ʂ a ⁵⁵	i n t
303	挱	sā	Middle_Chinese	ʂ æ /¹	i n t t
304	挱	sā	Beijing	ʂ a ⁵⁵	i n t
305	杀	shā	Middle_Chinese	ʂ ɛ t /⁴	i n c t t
306	杀	shā	Beijing	ʂ a ⁵⁵	i n t
307	煞	shā	Middle_Chinese	ʂ ɛ t /⁴	i n c t t
308	煞	shā	Beijing	ʂ a ⁵⁵	i n t
309	铩	shā	Middle_Chinese	ʂ ɛ t /⁴	i n c t t
310	铩	shā	Beijing	ʂ a ⁵⁵	i n t
311	傻	shǎ	Middle_Chinese	ʂ w æ /²	i m n t
312	傻	shǎ	Beijing	ʂ a ²¹⁴	i n t
313	厦	shà	Middle_Chinese	ʂ æ /³	i n t
314	厦	shà	Beijing	ʂ a ⁵¹	i n t
315	霎	shà	Middle_Chinese	ʂ ɛ p /⁴	i n c t t
316	霎	shà	Beijing	ʂ a ⁵¹	i n t
317	歃	shà	Middle_Chinese	ʂ ɛ p /⁴	i n c t t
318	歃	shà	Beijing	ʂ a ⁵¹	i n t
319	箑	shà	Middle_Chinese	ʂ ɛ p /⁴	i n c t t
320	箑	shà	Beijing	ʂ a ⁵¹	i n t
321	翣	shà	Middle_Chinese	ʂ æ p /¹	i n c t t
322	翣	shà	Beijing	ʂ a ⁵¹	i n t
323	煞	shā	Middle_Chinese	ʂ ɛ t /⁴	i n c t t
324	煞	shā	Beijing	ʂ a ⁵¹	i n t
325	尬	gà	Middle_Chinese	k ɛ j /³	i n c t
326	尬	gà	Beijing	k a ⁵¹	i n t
327	哈	hā	Middle_Chinese	x æ /¹	i n t t
328	哈	hā	Beijing	x a ⁵⁵	i n t
329	颬	xiā	Middle_Chinese	x æ /¹	i n t t
330	颬	xiā	Beijing	x a ⁵⁵	i n t
331	虾	xiā	Middle_Chinese	ɣ æ /¹	i n t t
332	虾	xiā	Beijing	x a ³⁵	i n t
333	阿	ā	Middle_Chinese	ʔ a /¹	i n t t
334	阿	ā	Beijing	a ⁵¹	n t
335	家	jiā	Middle_Chinese	k æ /¹	i n t t
336	家	jiā	Beijing	tɕ i a ⁵⁵	i m n t
337	傢	jiā	Middle_Chinese	k æ /¹	i n t t
338	傢	jiā	Beijing	tɕ i a ⁵⁵	i m n t
339	加	jiā	Middle_Chinese	k æ /¹	i n t t
340	加	jiā	Beijing	tɕ i a ⁵⁵	i m n t
341	嘉	jiā	Middle_Chinese	k æ /¹	i n t t
342	嘉	jiā	Beijing	tɕ i a ⁵⁵	i m n t
343	枷	jiā	Middle_Chinese	k æ /¹	i n t t
344	枷	jiā	Beijing	tɕ i a ⁵⁵	i m n t
345	痂	jiā	Middle_Chinese	k æ /¹	i n t t
346	痂	jiā	Beijing	tɕ i a ⁵⁵	i m n t
347	珈	jiā	Middle_Chinese	k æ /¹	i n t t
348	珈	jiā	Beijing	tɕ i a ⁵⁵	i m n t
349	笳	jiā	Middle_Chinese	k æ /¹	i n t t
350	笳	jiā	Beijing	tɕ i a ⁵⁵	i m n t
351	跏	jiā	Middle_Chinese	k æ /¹	i n t t
352	跏	jiā	Beijing	tɕ i a ⁵⁵	i m n t
353	迦	jiā	Middle_Chinese	k æ /¹	i n t t
354	迦	jiā	Beijing	tɕ i a ⁵⁵	i m n t
355	葭	jiā	Middle_Chinese	k æ /¹	i n t t
356	葭	jiā	Beijing	tɕ i a ⁵⁵	i m n t
357	豭	jiā	Middle_Chinese	k æ /¹	i n t t
358	豭	jiā	Beijing	tɕ i a ⁵⁵	i m n t
359	袈	jiā	Middle_Chinese	k æ /¹	i n t t
360	袈	jiā	Beijing	tɕ i a ⁵⁵	i m n t
361	佳	jiā	Middle_Chinese	k ɛ /¹	i n t t
362	佳	jiā	Beijing	tɕ i a ⁵⁵	i m n t
363	夹	jiā	Middle_Chinese	k ɛ p /⁴	i n c t t
364	夹	jiā	Beijing	tɕ i a ⁵⁵	i m n t
365	裌	jiá	Middle_Chinese	k ɛ p /⁴	i n c t t
366	裌	jiá	Beijing	tɕ i a ³⁵	i m n t
367	袷	jiá	Middle_Chinese	k ɛ p /⁴	i n c t t
368	袷	jiá	Beijing	tɕ i a ³⁵	i m n t
369	郏	jiá	Middle_Chinese	k ɛ p /⁴	i n c t t
370	郏	jiá	Beijing	tɕ i a ³⁵	i m n t
371	荚	jiá	Middle_Chinese	k e p /⁴	i n c t t
372	荚	jiá	Beijing	tɕ i a ³⁵	i m n t
373	颊	jiá	Middle_Chinese	k e p /⁴	i n c t t
374	颊	jiá	Beijing	tɕ i a ³⁵	i m n t
375	铗	jiá	Middle_Chinese	k e p /⁴	i n c t t
376	铗	jiá	Beijing	tɕ i a ³⁵	i m n t
377	戛	jiá	Middle_Chinese	k ɛ t /⁴	i n c t t
378	戛	jiá	Beijing	tɕ i a ³⁵	i m n t
379	假	jiǎ	Middle_Chinese	k æ /²	i n t
380	假	jiǎ	Beijing	tɕ i a ²¹⁴	i m n t
381	贾	jiǎ	Middle_Chinese	k æ /²	i n t
382	贾	jiǎ	Beijing	tɕ i a ²¹⁴	i m n t
383	斝	jiǎ	Middle_Chinese	k æ /²	i n t
384	斝	jiǎ	Beijing	tɕ i a ²¹⁴	i m n t
385	嘏	gǔ	Middle_Chinese	k æ /²	i n t
386	嘏	gǔ	Beijing	tɕ i a ²¹⁴	i m n t
387	甲	jiǎ	Middle_Chinese	k æ p /¹	i n c t t
388	甲	jiǎ	Beijing	tɕ i a ²¹⁴	i m n t
389	胛	jiǎ	Middle_Chinese	k æ p /¹	i n c t t
390	胛	jiǎ	Beijing	tɕ i a ²¹⁴	i m n t
391	岬	jiǎ	Middle_Chinese	k æ p /¹	i n c t t
392	岬	jiǎ	Beijing	tɕ i a ²¹⁴	i m n t
393	假	jiǎ	Middle_Chinese	k æ /³	i n t
394	假	jiǎ	Beijing	tɕ i a ⁵¹	i m n t
395	稼	jià	Middle_Chinese	k æ /³	i n t
396	稼	jià	Beijing	tɕ i a ⁵¹	i m n t
397	嫁	jià	Middle_Chinese	k æ /³	i n t
398	嫁	jià	Beijing	tɕ i a ⁵¹	i m n t
399	架	jià	Middle_Chinese	k æ /³	i n t
400	架	jià	Beijing	tɕ i a ⁵¹	i m n t
401	驾	jià	Middle_Chinese	k æ /³	i n t
402	驾	jià	Beijing	tɕ i a ⁵¹	i m n t
403	价	jià	Middle_Chinese	k æ /³	i n t
404	价	jià	Beijing	tɕ i a ⁵¹	i m n t
405	掐	qiā	Middle_Chinese	kʰ ɛ p /⁴	i n c t t
406	掐	qiā	Beijing	tɕʰ i a ⁵⁵	i m n t
407	恰	qià	Middle_Chinese	kʰ ɛ p /⁴	i n c t t
408	恰	qià	Beijing	tɕʰ i a ⁵¹	i m n t
409	洽	qià	Middle_Chinese	ɣ ɛ p /⁴	i n c t t
410	洽	qià	Beijing	tɕʰ i a ⁵¹	i m n t
411	虾	xiā	Middle_Chinese	x æ /¹	i n t t
412	虾	xiā	Beijing	ɕ i a ⁵⁵	i m n t
413	霞	xiá	Middle_Chinese	ɣ æ /¹	i n t t
414	霞	xiá	Beijing	ɕ i a ³⁵	i m n t
415	瑕	xiá	Middle_Chinese	ɣ æ /¹	i n t t
416	瑕	xiá	Beijing	ɕ i a ³⁵	i m n t
417	遐	xiá	Middle_Chinese	ɣ æ /¹	i n t t
418	遐	xiá	Beijing	ɕ i a ³⁵	i m n t
419	暇	xiá	Middle_Chinese	ɣ æ /³	i n t
420	暇	xiá	Beijing	ɕ i a ³⁵	i m n t
421	狭	xiá	Middle_Chinese	ɣ ɛ p /⁴	i n c t t
422	狭	xiá	Beijing	ɕ i a ³⁵	i m n t
423	峡	xiá	Middle_Chinese	ɣ ɛ p /⁴	i n c t t
424	峡	xiá	Beijing	ɕ i a ³⁵	i m n t
425	硖	xiá	Middle_Chinese	ɣ ɛ p /⁴	i n c t t
426	硖	xiá	Beijing	ɕ i a ³⁵	i m n t
427	洽	qià	Middle_Chinese	ɣ ɛ p /⁴	i n c t t
428	洽	qià	Beijing	ɕ i a ³⁵	i m n t
429	祫	xiá	Middle_Chinese	ɣ ɛ p /⁴	i n c t t
430	祫	xiá	Beijing	ɕ i a ³⁵	i m n t
431	匣	xiá	Middle_Chinese	ɣ æ p /¹	i n c t t
432	匣	xiá	Beijing	ɕ i a ³⁵	i m n t
433	狎	xiá	Middle_Chinese	ɣ æ p /¹	i n c t t
434	狎	xiá	Beijing	ɕ i a ³⁵	i m n t
435	侠	xiá	Middle_Chinese	ɣ e p /⁴	i n c t t
436	侠	xiá	Beijing	ɕ i a ³⁵	i m n t
437	挟	xié	Middle_Chinese	ɣ e p /⁴	i n c t t
438	挟	xié	Beijing	ɕ i a ³⁵	i m n t
439	黠	xiá	Middle_Chinese	ɣ ɛ t /⁴	i n c t t
440	黠	xiá	Beijing	ɕ i a ³⁵	i m n t
441	吓	xià	Middle_Chinese	x æ /³	i n t
442	吓	xià	Beijing	ɕ i a ⁵¹	i m n t
443	罅	xià	Middle_Chinese	x æ /³	i n t
444	罅	xià	Beijing	ɕ i a ⁵¹	i m n t
445	下	xià	Middle_Chinese	ɣ æ /²	i n t
446	下	xià	Beijing	ɕ i a ⁵¹	i m n t
447	夏	xià	Middle_Chinese	ɣ æ /²	i n t
448	夏	xià	Beijing	ɕ i a ⁵¹	i m n t
449	厦	shà	Middle_Chinese	ɣ æ /²	i n t
450	厦	shà	Beijing	ɕ i a ⁵¹	i m n t
451	下	xià	Middle_Chinese	ɣ æ /³	i n t
452	下	xià	Beijing	ɕ i a ⁵¹	i m n t
453	夏	xià	Middle_Chinese	ɣ æ /³	i n t
454	夏	xià	Beijing	ɕ i a ⁵¹	i m n t
455	暇	xiá	Middle_Chinese	ɣ æ /³	i n t
456	暇	xiá	Beijing	ɕ i a ⁵¹	i m n t
457	鸦	yā	Middle_Chinese	ʔ æ /¹	i n t t
458	鸦	yā	Beijing	i a ⁵⁵	m n t
459	丫	yā	Middle_Chinese	ʔ æ /¹	i n t t
460	丫	yā	Beijing	i a ⁵⁵	m n t
461	桠	yā	Middle_Chinese	ʔ æ /¹	i n t t
462	桠	yā	Beijing	i a ⁵⁵	m n t
463	鸭	yā	Middle_Chinese	ʔ æ p /¹	i n c t t
464	鸭	yā	Beijing	i a ⁵⁵	m n t
465	押	yā	Middle_Chinese	ʔ æ p /¹	i n c t t
466	押	yā	Beijing	i a ⁵⁵	m n t
467	压	yā	Middle_Chinese	ʔ æ p /¹	i n c t t
468	压	yā	Beijing	i a ⁵⁵	m n t
469	牙	yá	Middle_Chinese	ŋ æ /¹	i n t t
470	牙	yá	Beijing	i a ³⁵	m n t
471	芽	yá	Middle_Chinese	ŋ æ /¹	i n t t
472	芽	yá	Beijing	i a ³⁵	m n t
473	枒	yā	Middle_Chinese	ŋ æ /¹	i n t t
474	枒	yā	Beijing	i a ³⁵	m n t
475	衙	yá	Middle_Chinese	ŋ æ /¹	i n t t
476	衙	yá	Beijing	i a ³⁵	m n t
477	涯	yá	Middle_Chinese	ŋ ɛ /¹	i n t t
478	涯	yá	Beijing	i a ³⁵	m n t
