NAME	ALT_NAME	PINYIN	HANZI	LATITUDE	LONGITUDE	GLOTTOLOG		GROUP	GROUP_CHINESE	GROUP_PINYIN	Wang2004_ID	Liu2007_ID	CLASSIFICATION_LIU2007	CLASSIFICATION_ZIHUI	CLASSIFICATION_CIHUI	CLASSIFICATION_KURPASKA	CLASSIFICATION_HOU	Hou2004_ID	Cihui_ID	ZIHUI_ID	CHARACTER	LEXICON	MUTUAL_INTELLIGIBILITY	NOTE
Fuzhou	Foochow	Fúzhōu	福州	26.08904	119.294243	mind1253	cdo	Min	闽	Mǐn		18	Min	Min	Min, Mindong	闽	Mǐn	9	十八	19	Hou2004a, Zihui	Hou2004b, Wang2004a, Cihui, Liu2007	Tang2009	
Haikou		Hǎikǒu	海口	20.043869	110.329399	minn1241	nan	Min	闽	Mǐn						Min, Qiongwen	Min, Coastal, South	12			Hou2004a	Hou2004b		
Jian_ou	Jian'ou, Jian’ou	Jiàn’ōu	建瓯	27.04237	118.307419	minb1244	mnp	Min	闽	Mǐn				Min		Min, Northern	Min, Inland	10		20	Hou2004a, Zihui	Hou2004b		
Shantou		Shàntóu	汕头	23.3372419	116.6068173	minn1241	nan	Min	闽	Mǐn						Min, Southern	Min, Coastal, South	11			Hou2004a	Hou2004b		
Taibei		Táiběi	台北	25.0853403	121.4231642	minn1241	nan	Min	闽	Mǐn						Min, Southern	Min, Coastal, South	13			Hou2004a	Hou2004b, Wang2004a		
Zhangping		Zhāngpíng	漳平	25.283333	117.416667	minn1241	nan	Min	闽	Mǐn												Wang2004a		
Guilin		Guīlín	桂林	25.266667	110.283333	ping1244	(wuu)	Pinghua	平话	Pínghuà		16	Pinghua									Liu2007		
Nanning		Nánníng	南宁	22.848716	108.366165	ping1244	(wuu)	Pinghua	平话	Pínghuà						Pinghua	Pinghua	6			Hou2004a	Hou2004b		
Hangzhou		Hángzhōu	杭州	30.261316	120.0318057	taih1244	(wuu)	Wu	吴	Wú						Wu, Taihu	Wu	3			Hou2004a	Hou2004b		
Ningbo		Níngbō	宁波	29.866667	121.533333	taih1244	(wuu)	Wu	吴	Wú												Wang2004a		
Shanghai_B		Shànghǎi	上海	31.222902	121.475372	taih1244	(wuu)	Wu	吴	Wú						Wu, Taihu	Wu					Wang2004a		
Wenzhou		Wēnzhōu	温州	28.005496	120.701179	ouji1238	(wuu)	Wu	吴	Wú		11	Wu	Wu	Wu, Nanqu	Wu, Oujiang	Wu	4	十	10	Hou2004a, Zihui	Hou2004b, Wang2004a, Cihui, Liu2007	Tang2009	
Loudi		Lóudî	娄底	27.733333	111.9281883	xian1251	hsn	Xiang	湘	Xiāng		13	Xiang									Liu2007		
Xiangtan		Xiāngtán	湘潭	27.8482649	112.7688127	xian1251	hsn	Xiang	湘	Xiāng						Xiang	Xiang	18			Hou2004a	Hou2004b		
Xianggang	Hong Kong	Xiānggǎng	香港	22.422645	114.098396	yuec1235	yue	Yue	粤	Yuè						Yue	Yue	7			Hou2004a	Hou2004b		
Yangjiang		Yángjiāng	阳江	21.7895612	111.966667	yuec1235	yue	Yue	粤	Yuè				Yue	Yue				十五	16	Zihui	Cihui		
