NAME	ALT_NAME	PINYIN	HANZI	LATITUDE	LONGITUDE	BAIDU	GLOTTOLOG	ISO	FAMILY	SUBGROUP	SUBGROUP_CHINESE	SUBGROUP_PINYIN	CLASSIFICATION_KURPASKA	NOTE
Zhenqian		Zhènqián	鎮前	25.2474987	119.2778522		zhen1242	mnp	Sinitic	Min	闽	Mǐn		
Jiangshan		Jiāngshān	江山	28.5629681	118.3206425	http://baike.baidu.com/view/763966.htm	long1386	wuu	Sinitic	Wu	吴	Wú		
Jiangyong		Jiāngyǒng					jian1243	hsn	Sinitic	Xiang	湘	Xiāng		
Old_Chinese		Shànggǔ Hànyǔ	上古汉语				shan1294		Sinitic	Old_Chinese				
Middle_Chinese		Zhōnggǔ Hànyǔ	中古汉语				zhon1237		Sinitic	Middle_Chinese				
Common_Chinese							comm1247		Sinitic	Middle_Chinese				
Jianchuan	Bai (Jianchuan), Jianchuan Bai	Jiànchuān	剑川	26.538056	99.910000		jian1239	bca	Bai	Central				
Eryuan		Ěryuán	洱源	26.0991374	99.9416161		eryu1239	bca	Bai	Central				
Heqing		Hèqìng	鹤庆	26.5536208	100.1396921		heqi1238	bca	Bai	Central				
Lanping		Lánpíng	兰坪	26.5158555	99.2581092		lanp1241	bca	Bai	Central				
Zhoucheng		Zhōuchéng	周城	25.8958633	100.0987848		zhou1234	bfs	Bai	Southern				
Qiliqiao		Qīlǐqiáo	七里桥	25.6553283	100.1709288		qili1234	bfs	Bai	Southern				
Yunlong		Yúnlóng	云龙	25.9223745	99.0352884		yunl1238	bca	Bai	Central				
Xiangyun		Xiángyún	祥云	25.5313657	100.4478932		xian1250	bfs	Bai	Southern				
Luobenzhuo		Lùběnzhuó	洛本卓	26.4240223	98.8862088		nuji1238	bfc	Bai	Northern				
Late_Han_Chinese							late1251		Sinitic	Old_Chinese				
Dancun		Dàncūn	淡村	22.2750324	112.7199202		danc1234	yue	Sinitic	Yue	粤	Yuè	Yue, Siyi	Yue-Hashimoto on Dancun: «Dancun is a small village lying in the central northern part of Taishan county and situated about thirty li west of Taicheng, while Baishui is within ten li west of it.»
Bijiang	Bai (Bijiang), Bijiang Bai						biji1251	bfc	Bai	Northern				
Dali	Bai (Dali), Dali Bai						dali1242	bfs	Bai	Southern				
