OurUnicodeZi	MCascii	Mandarin	PubFull	PubPre	PubIni	PubMed	PubFin	PubSuf	GSRindexStr	OurUnicode	OurGloss
少	syewH	shao4	*[s-t]ewʔ-s	[s-	t]		ewʔ	-s	1149e	U+5C11	young
少	syewX	shao3	*[s.t]ewʔ	[s.	t]		ewʔ		1149e	U+5C11	few
稍	sraewH	shao4	*[s](ˤ)rew-s		[s](ˤ)	r	ew	-s	1149z	U+7A0D	rations
燒	syew	shao1	*[ŋ̊]ew		[ŋ̊]		ew		1164t	U+71D2	burn
腎	dzyinX	shen4	*Cə.[g]i[n]ʔ	Cə.	[g]		i[n]ʔ		0368h	U+814E	kidney
慎	dzyinH	shen4	*[d]i[n]-s		[d]		i[n]	-s	0375i	U+614E	careful
莘	srin	shen1	*sri[n]		s	r	i[n]		0382h	U+8398	long, drawn-out
申	syin	shen1	*l̥i[n]		l̥		i[n]		0385a	U+7533	9th earthly branch
伸	syin	shen1	*l̥i[n]		l̥		i[n]		0385f	U+4F38	stretch, extend
紳	syin	shen1	*[l̥]i[n]		[l̥]		i[n]		0385h	U+7D33	sash around the waist
神	zyin	shen2	*Cə.li[n]	Cə.	l		i[n]		0385j	U+795E	spirit
身	syin	shen1	*n̥i[ŋ]		n̥		i[ŋ]		0386a	U+8EAB	body; self
呻	syin	shen1	*l̥i[n]		l̥		i[n]		0385g	U+547B	chant, drone
蜃	dzyinX	shen4	*[d]ərʔ		[d]		ərʔ		0455m	U+8703	clam, oyster
娠	syin	shen1	*s-tər	s-	t		ər		0455q	U+5A20	pregnant
哂	syinX	shen3	*n̥ərʔ		n̥		ərʔ		0594i	U+54C2	smile
沈	syimX	shen3	*[s.t][ə]mʔ	[s.	t]		[ə]mʔ		0656b	U+6C88	(name of a state)
甚	dzyimX	shen4	*[t.ɢ][ə]mʔ	[t.	ɢ]		[ə]mʔ		0658a	U+751A	excessive, very
葚	zyimX	shen4	*sə-d[ə]mʔ	sə-	d		[ə]mʔ		0658i	U+845A	mulberry fruit
森	srim	sen1	*s.rəm	s.	r		əm		0664a	U+68EE	dense trees
審	syimX	shen3	*s.tʰ[ə]mʔ	s.	tʰ		[ə]mʔ		0665a	U+5BE9	examine, discriminate
深	syimH	shen1	*[l̥][ə]m-s		[l̥]		[ə]m	-s	0666c	U+6DF1	depth
諗	syimX	shen3	*n̥imʔ		n̥		imʔ		0670g	U+8AD7	remonstrate
忱	dzyim	chen2	*[t.ɢ][u]m	[t.	ɢ]		[u]m		0656h	U+5FF1	sincere
生	srjaeng	sheng1	*sreŋ		s	r	eŋ		0812a	U+751F	bear, be born; live
甥	sraeng	sheng1	*s.reŋ	s.	r		eŋ		0812g	U+7525	SiSo or SiDa; DaHu
盛	dzyengH	sheng4	*[d]eŋ-s		[d]		eŋ	-s	0818i	U+76DB	full, abundant
聲	syeng	sheng1	*[l̥]eŋ		[l̥]		eŋ		0822a	U+8072	sound (n.)
聖	syengH	sheng4	*l̥eŋ-s		l̥		eŋ	-s	0835z	U+8056	sage (n.)
勝	syingH	sheng4	*l̥əŋ-s		l̥		əŋ	-s	0893p	U+52DD	overcome; surpass
勝	sying	sheng1	*l̥əŋ		l̥		əŋ		0893p	U+52DD	equal to, capable of
乘	zyingH	sheng4	*Cə.ləŋ-s	Cə.	l		əŋ	-s	0895a	U+4E58	vehicle
乘	zyingH	sheng4	*Cə.ləŋ-s	Cə.	l		əŋ	-s	0895a	U+4E58	team of four horses
升	sying	sheng1	*s-təŋ	s-	t		əŋ		0897a	U+5347	1/10th of a dǒu 斗
升	sying	sheng1	*s-təŋ	s-	t		əŋ		0897a	U+5347	rise (v.)
受	dzyuwX	shou4	*[d]uʔ		[d]		uʔ		1085a	U+53D7	receive
授	dzyuwH	shou4	*[d]uʔ-s		[d]		uʔ	-s	1085d	U+6388	give; hand over
壽	dzyuwX	shou4	*[N-t]uʔ	[N-	t]		uʔ		1090g	U+58FD	longevity
守	syuwH	shou4	*s.tuʔ-s	s.	t		uʔ	-s	1099a	U+5B88	territory in somebody's guard, fief
守	syuwX	shou3	*s-tuʔ	s-	t		uʔ		1099a	U+5B88	keep, guard
狩	syuwH	shou4	*s.tuʔ-s	s.	t		uʔ	-s	1099c	U+72E9	to hunt
獸	syuwH	shou4	*s.tʰu(ʔ)-s	s.	tʰ		u(ʔ)	-s	1100a	U+7378	(wild) animal
手	syuwX	shou3	*n̥uʔ		n̥		uʔ		1101a	U+624B	hand
首	syuwH	shou3	*l̥uʔ-s		l̥		uʔ	-s	1102a	U+9996	turn the head towards
首	syuwX	shou3	*l̥uʔ		l̥		uʔ		1102a	U+9996	head
收	syuw	shou1	*s-kiw	s-	k		iw		1103a	U+6536	collect; harvest
贖	zyowk	shu2	*Cə.lok	Cə.	l		ok		1023t	U+8D16	redeem
孰	dzyuwk	shu2	*[d]uk		[d]		uk		1026a	U+5B70	who
尗	syuwk	shu1	*s.tuk	s.	t		uk		1031a	U+5C17	pulse, beans
叔	syuwk	shu1	*s-tiwk	s-	t		iwk		1031b	U+53D4	gather, harvest
叔	syuwk	shu1	*s-tiwk	s-	t		iwk		1031b	U+53D4	3rd of 4 brothers
豎	dzyuX	shu4	*[d]oʔ		[d]		oʔ		0118g	U+8C4E	palace attendant; young man
束	syowk	shu4	*s-tʰok	s-	tʰ		ok		1222a	U+675F	bind; bundle
蜀	dzyowk	shu3	*[d]ok		[d]		ok		1224a	U+8700	caterpillar; Shu [place name]
屬	dzyowk	shu3	*N-tok	N-	t		ok		1224s	U+5C6C	be attached to
數	srjuH	shu4	*s-roʔ-s	s-	r		oʔ	-s	0123r	U+6578	number (n.)
數	srjuX	shu3	*s-roʔ	s-	r		oʔ		0123r	U+6578	count (v.)
輸	syu	shu1	*l̥o		l̥		o		0125s	U+8F38	convey (v.); lose
尌	dzyuH	shu4	*m-toʔ-s	m-	t		oʔ	-s	0127h	U+5C0C	raise, stand up v.t.
樹	dzyuH	shu4	*m-toʔ-s	m-	t		oʔ	-s	0127j	U+6A39	tree
樹	dzyuX	shu4	*m-toʔ	m-	t		oʔ		0127j	U+6A39	plant (v.); place upright
殊	dzyu	shu1	*[d]o		[d]		o		0128s	U+6B8A	die; different
殳	dzyu	shu1	*[d]o		[d]		o		0130a	U+6BB3	a kind of lance
署	dzyoH	shu3	*m-taʔ-s	m-	t		aʔ	-s	0045r	U+7F72	to place; position
書	syo	shu1	*s-ta	s-	t		a		0045t	U+66F8	write
朮	zywit	zhu2	*m.lut	m.	l		ut		0497a	U+672E	glutinous millet
術	zywit	shu4	*Cə-lut	Cə-	l		ut		0497d	U+8853	technique
鉥	zywit	shu4	*Cə-lut	Cə-	l		ut		0497g	U+9265	needle; lead
庶	syoH	shu4	*s-tak-s	s-	t		ak	-s	0804a	U+5EB6	numerous; commoner
抒	zyoX	shu1	*Cə-laʔ	Cə-	l		aʔ		0083g	U+6292	remove (v.)
紓	zyoX	shu1	*Cə.laʔ	Cə.	l		aʔ		0083j	U+7D13	to be remiss
紓	syo	shu1	*l̥a		l̥		a		0083j	U+7D13	leisurely
疋	srjo	shu1	*sra		s	r	a		0090a	U+758B	foot
疏	srjo	shu1	*sra		s	r	a		0090b	U+758F	wide apart
蔬	srjo	shu1	*sra		s	r	a		0090d	U+852C	vegetable, grain
鼠	syoX	shu3	*[l̥]aʔ		[l̥]		aʔ		0092a	U+9F20	rat
癙	syoX	shu3	*[l̥]aʔ		[l̥]		aʔ		0092b	U+7659	hidden suffering
黍	syoX	shu3	*s-tʰaʔ	s-	tʰ		aʔ		0093a	U+9ECD	Panicum miliaceum, glutinous
恕	syoH	shu4	*n̥a-s		n̥		a	-s	0094t	U+6055	indulgent
刷	srwaet	shua1	*[s]r[o]t		[s]	r	[o]t		0298a	U+5237	brush (v.)
率	srwit	shuai4	*s-rut	s-	r		ut		0498a	U+7387	follow, go along
率	srwijH	shuai4	*s-rut-s	s-	r		ut	-s	0498a	U+7387	lead (v.); commander
衰	srwij	shuai1	*sruj		s	r	uj		0355a	U+8870	diminish, decline
孿	srwaenH	luan2	*[s.r]on-s	[s.	r]		on	-s	0178q	U+5B7F	twins
孿	srjwenH	luan2	*[s.r]on-s	[s.	r]		on	-s	0178q	U+5B7F	twins
雙	sraewng	shuang1	*[s]roŋ		[s]	r	oŋ		1200a	U+96D9	a pair
霜	srjang	shuang1	*[s]raŋ		[s]	r	aŋ		0731g	U+971C	hoar-frost
睡	dzyweH	shui4	*[d]o[j]-s		[d]		o[j]	-s	0031d	U+7761	doze off
帨	sywejH	shui4	*l̥ot-s		l̥		ot	-s	0324g	U+5E28	kerchief
税	sywejH	shui4	*l̥ot-s		l̥		ot	-s	0324i	U+7A0E	tax
説	sywejH	shui4	*l̥ot-s		l̥		ot	-s	0324q	U+8AAC	exhort
誰	dzywij	shui2	*[d]uj		[d]		uj		0575u	U+8AB0	who
水	sywijX	shui3	*s.turʔ	s.	t		urʔ		0576a	U+6C34	water; river
順	zywinH	shun4	*Cə.lu[n]-s	Cə.	l		u[n]	-s	0462c	U+9806	follow; obey
舜	sywinH	shun4	*[s.t]u[n]-s	[s.	t]		u[n]	-s	0469a	U+821C	Hibiscus
䟏	syak	li4	*r̥ewk		r̥		ewk		1125l	U+47CF	move (v.)
爍	syak	shuo4	*r̥ewk		r̥		ewk		1125n	U+720D	melt, infuse
爍	syak	shuo4	*r̥ewk		r̥		ewk		1125n	U+720D	shine (v.)
數	sraewk	shuo4	*s-rok	s-	r		ok		1207a	U+6578	frequently
説	sywet	shuo1	*l̥ot		l̥		ot		0324q	U+8AAC	speak, explain
朔	sraewk	shuo4	*s-ŋrak	s-	ŋ	r	ak		0769a	U+6714	1st day of month
折	dzyet	she2	*N-tet	N-	t		et		0287a	U+6298	bend (v.i.)
舌	zyet	she2	*mə.lat	mə.	l		at		0288a	U+820C	tongue
奢	syae	she1	*s.tʰA	s.	tʰ		A		0045e	U+5962	extravagant
舍	syaeH	she4	*[l̥]Ak-s		[l̥]		Ak	-s	0048a	U+820D	lodging-house
舍	syaeX	she3	*l̥Aʔ		l̥		Aʔ		0048a	U+820D	set aside, give up
蛇	zyae	she2	*Cə.lAj	Cə.	l		Aj		0004l	U+86C7	snake
社	dzyaeX	she4	*m-tʰAʔ	m-	tʰ		Aʔ		0062j	U+793E	sacrifice to the spirit of the soil
歃	srjep	sha4	*[s]r[o]p		[s]	r	[o]p		0631c	U+6B43	smear mouth with blood
韘	syep	she4	*l̥[a]p		l̥		[a]p		0633o	U+97D8	archer's thimble
攝	syep	she4	*kə.n̥ep	kə.	n̥		ep		0638e	U+651D	catch, gather up
赦	syaeH	she4	*[l̥]Ak-s		[l̥]		Ak	-s	0793d	U+8D66	to pardon
射	zyaeH	she4	*Cə.lAk-s	Cə.	l		Ak	-s	0807a	U+5C04	shoot; archer
賖	syae	she1	*l̥A		l̥		A		0082s	U+8CD6	trade on credit
誓	dzyejH	shi4	*[d][a]t-s		[d]		[a]t	-s	0287k	U+8A93	swear
逝	dzyejH	shi4	*[d]at-s		[d]		at	-s	0287m	U+901D	go to
埶	syejH	shi4	*ŋ̊et-s		ŋ̊		et	-s	0330a	U+57F6	circumstances; setting
筮	dzyejH	shi4	*[d][e][t]-s		[d]		[e][t]	-s	0336a	U+7B6E	divine by Achillea stalks
噬	dzyejH	shi4	*[d]e[t]-s		[d]		e[t]	-s	0336c	U+566C	bite (v.)
世	syejH	shi4	*l̥ap-s		l̥		ap	-s	0339a	U+4E16	generation
貰	syejH	shi4	*[l̥][a]p-s		[l̥]		[a]p	-s	0339d	U+8CB0	lend, borrow
失	syit	shi1	*l̥i[t]		l̥		i[t]		0402a	U+5931	lose
弛	syeX	chi2	*l̥ajʔ		l̥		ajʔ		0004a'	U+5F1B	slacken (a bow)
蝨	srit	shi1	*srik		s	r	ik		0506a	U+8768	louse
嗜	dzyijH	shi4	*[g]ij-s		[g]		ij	-s	0552p	U+55DC	enjoy
蓍	syij	shi1	*s-kij	s-	k		ij		0552q	U+84CD	Achillea (?)
示	zyijH	shi4	*s-gijʔ-s	s-	g		ijʔ	-s	0553a	U+793A	show (v.)
視	dzyijX	shi4	*gijʔ		g		ijʔ		0553h	U+8996	look, see
柿	dzrijX	shi4	*[dz]rijʔ		[dz]	r	ijʔ		0554h	U+67FF	persimmon
矢	syijX	shi3	*l̥i[j]ʔ		l̥		i[j]ʔ		0560a	U+77E2	arrow
屎	syijX	shi3	*[qʰ]ijʔ		[qʰ]		ijʔ		0561d	U+5C4E	excrement
尸	syij	shi1	*l̥̥[ə]j		l̥		̥[ə]j		0561a	U+5C38	corpse
拾	dzyip	shi2	*[d][ə]p		[d]		[ə]p		0687a	U+62FE	pick up, gather
濕	syip	shi1	*[qʰ]ip		[qʰ]		ip		0692a	U+6FD5	to flap (sc. the ears)
溼	syip	shi1	*s-[qʰ][i]p	s-	[qʰ]		[i]p		0693a	U+6EBC	low wet ground
𥼶	syek	shi4	*l̥Ak		l̥		Ak		0790k	U+25F36	wash rice
釋	syek	shi4	*l̥Ak		l̥		Ak		0790l	U+91CB	release; dissolve
檡	syek	shi4	*l̥Ak		l̥		Ak		0790m	U+6AA1	spec. of jujube tree
螫	syek	shi4	*[l̥]Ak		[l̥]		Ak		0793e	U+87AB	sting (v.)
石	dzyek	shi2	*dAk		d		Ak		0795a	U+77F3	stone
碩	dzyek	shuo4	*[d]Ak		[d]		Ak		0795e	U+78A9	great, stately
射	zyek	she4	*Cə.lAk	Cə.	l		Ak		0807a	U+5C04	hit with bow and arrow
舐	zyeX	shi4	*Cə.leʔ	Cə.	l		eʔ		0867f	U+8210	lick
適	syek	shi4	*s-tek	s-	t		ek		0877s	U+9069	scared
適	syek	shi4	*s-tek	s-	t		ek		0877s	U+9069	go to
纚	srjeX	xi3	*sreʔ		s	r	eʔ		0878g	U+7E9A	hair-band
釃	srje	shai1	*Cə.sre	Cə.	s	r	e		0878h	U+91C3	to strain off wine
式	syik	shi4	*l̥ək		l̥		ək		0918f	U+5F0F	pattern
式	syik	shi4	*l̥ək		l̥		ək		0918f	U+5F0F	to wipe
試	syiH	shi4	*l̥ək-s		l̥		ək	-s	0918n	U+8A66	test, try
弒	syiH	shi4	*l̥ək-s		l̥		ək	-s	0918o	U+5F12	assassinate
埴	dzyik	zhi2	*[d]ək		[d]		ək		0919c	U+57F4	clay
食	zyik	shi2	*mə-lək	mə-	l		ək		0921a	U+98DF	eat
飾	syik	shi4	*l̥ək		l̥		ək		0921h	U+98FE	adorn
詩	syi	shi1	*s.tə	s.	t		ə		0961d'	U+8A69	poetry
侍	dzyiH	shi4	*[d]əʔ-s		[d]		əʔ	-s	0961x	U+4F8D	accompany, wait upon
恃	dzyiX	shi4	*[d]əʔ		[d]		əʔ		0961y	U+6043	depend on
時	dzyi	shi2	*[d]ə		[d]		ə		0961z	U+6642	time
市	dzyiX	shi4	*C.[d]əʔ	C.	[d]		əʔ		0963a	U+5E02	market (n.)
士	dzriX	shi4	*[m-s-]rəʔ	[m-s-]	r		əʔ		0970a	U+58EB	officer; gentleman
史	sriX	shi3	*s-rəʔ	s-	r		əʔ		0975a	U+53F2	scribe
使	sriH	shi3	*s-rəʔ-s	s-	r		əʔ	-s	0975n	U+4F7F	envoy
使	sriX	shi3	*s-rəʔ	s-	r		əʔ		0975n	U+4F7F	send; cause
始	syiX	shi3	*l̥əʔ		l̥		əʔ		0976e'	U+59CB	begin
翅	syeH	chi4	*s-kʰe-s	s-	kʰ		e	-s	0864e	U+7FC5	wing
膝	sit	xi1	*s-tsik	s-	ts		ik		0401c	U+819D	knee
姺	sejX	xian3	*[s]ˤərʔ		[s]ˤ		ərʔ		0478i	U+59FA	(place name)
洗	sejX	xi3	*[s]ˤərʔ		[s]ˤ		ərʔ		0478j	U+6D17	wash
棲	sej	qi1	*s-nˤər	s-	nˤ		ər		0592l	U+68F2	bird's nest
西	sej	xi1	*s-nˤər	s-	nˤ		ər		0594a	U+897F	west
屖	sej	xi1	*s-lˤəj	s-	lˤ		əj		0595a	U+5C56	to tarry
犀	sej	xi1	*s.lˤəj	s.	lˤ		əj		0596a	U+7280	rhinoceros
襲	zip	xi2	*sə-l[ə]p	sə-	l		[ə]p		0689a	U+8972	repeat; additional robe
襲	zip	xi2	*sə.l[ə]p	sə.	l		[ə]p		0689a	U+8972	surprise attack
習	zip	xi2	*s-ɢʷəp	s-	ɢʷ		əp		0690a	U+7FD2	repeat; practice
隰	zip	xi2	*s-N-qip	s-N-	q		ip		0692b	U+96B0	low, wet ground
夕	zjek	xi1	*s-ɢAk	s-	ɢ		Ak		0796a	U+5915	evening, night
席	zjek	xi2	*s-m-tAk	s-m-	t		Ak		0797a	U+5E2D	mat
昔	sjek	xi1	*[s]Ak		[s]		Ak		0798a	U+6614	in the past
惜	sjek	xi1	*[s]Ak		[s]		Ak		0798f	U+60DC	regret; alas
舄	sjek	xi4	*s.qʰAk	s.	qʰ		Ak		0799a	U+8204	slipper, shoe
潟	sjek	xi4	*s-qʰAk	s-	qʰ		Ak		0799e	U+6F5F	salty soil
錫	sek	xi1	*s-lˤek	s-	lˤ		ek		0850n	U+932B	give
錫	sek	xi1	*s.lˤek	s.	lˤ		ek		0850n	U+932B	tin
析	sek	xi1	*[s]ˤek		[s]ˤ		ek		0857a	U+6790	split (v.)
晳	sek	xi1	*[s]ˤek		[s]ˤ		ek		0857c	U+6673	white, bright
嘶	sej	si1	*[s]ˤe		[s]ˤ		e		0869e	U+5636	shriek
熄	sik	xi1	*sək		s		ək		0925b	U+7184	extinguish
璽	sjeX	xi3	*s.[n]e[r]ʔ	s.	[n]		e[r]ʔ		0359j	U+74BD	seal (n.)
徙	sjeX	xi3	*[s]ajʔ		[s]		ajʔ		0871a	U+5F99	move (to)
枲	siX	xi3	*s.ləʔ	s.	l		əʔ		0976d'	U+67B2	hemp
象	zjangX	xiang4	*s.[d]aŋʔ	s.	[d]		aŋʔ		0728a	U+8C61	elephant
橡	zjangX	xiang4	*s-[d]aŋʔ	s-	[d]		aŋʔ		0728f	U+6A61	acorn
襄	sjang	xiang1	*s-naŋ	s-	n		aŋ		0730a	U+8944	remove
纕	sjang	xiang1	*s-naŋ	s-	n		aŋ		0730b	U+7E95	belt, sash; girth
相	sjangH	xiang4	*[s]aŋ-s		[s]		aŋ	-s	0731a	U+76F8	appearance, quality
相	sjang	xiang1	*[s]aŋ		[s]		aŋ		0731a	U+76F8	mutually
想	sjangX	xiang3	*[s]aŋʔ		[s]		aŋʔ		0731d	U+60F3	think
箱	sjang	xiang1	*C.[s]aŋ	C.	[s]		aŋ		0731f	U+7BB1	box (of a carriage)
痒	zjang	yang2	*s.[ɢ]aŋ	s.	[ɢ]		aŋ		0732i	U+75D2	disease; harm
庠	zjang	xiang2	*s-[ɢ]aŋ	s-	[ɢ]		aŋ		0732m	U+5EA0	school
祥	zjang	xiang2	*s.ɢaŋ	s.	ɢ		aŋ		0732n	U+7965	auspicious
翔	zjang	xiang2	*s.[ɢ]aŋ	s.	[ɢ]		aŋ		0732p	U+7FD4	fly back and forth; soar
詳	zjang	xiang2	*s.[ɢ]aŋ	s.	[ɢ]		aŋ		0732q	U+8A73	scrutinize fully
嘯	sewH	xiao4	*sˤiw(k)-s		sˤ		iw(k)	-s	1028f	U+562F	to wail
簫	sew	xiao1	*sˤiw		sˤ		iw		1028h	U+7C2B	pan-pipe
蕭	sew	xiao1	*sˤiw		sˤ		iw		1028i	U+856D	Artemisia
蕭	sew	xiao1	*sˤiw		sˤ		iw		1028i	U+856D	蕭蕭 neighing of horses
小	sjewX	xiao3	*[s]ewʔ		[s]		ewʔ		1149a	U+5C0F	small
削	sjewH	xiao4	*[s]ewk-s		[s]		ewk	-s	1149c'	U+524A	scrape, pare
肖	sjewH	xiao4	*[s]ew-s		[s]		ew	-s	1149g	U+8096	resemble
肖	sjew	xiao1	*[s]ew		[s]		ew		1149g	U+8096	disappear
宵	sjew	xiao1	*[s]ew		[s]		ew		1149h	U+5BB5	night, evening
逍	sjew	xiao1	*[s]ew		[s]		ew		1149m	U+900D	be at ease
霄	sjew	xiao1	*[s]ew		[s]		ew		1149o	U+9704	sleet
捎	sew	shao1	*[s]ˤew		[s]ˤ		ew		1149x	U+634E	eliminate
笑	sjewH	xiao4	*[s-l]aw-s	[s-	l]		aw	-s	1150a	U+7B11	to laugh
楔	set	xie1	*s.qˤet	s.	qˤ		et		0279i	U+6954	wedge put in teeth of corpse
辥	sjet	xue1	*s.ŋat	s.	ŋ		at		0289a	U+8FA5	to control, to correct, govern
薛	sjet	xue1	*s.ŋat	s.	ŋ		at		0289d	U+859B	spec. of plant
褻	sjet	xie4	*s-ŋet	s-	ŋ		et		0330n	U+893B	garment next to the body
泄	sjet	xie4	*s-lat	s-	l		at		0339h	U+6CC4	leak, ooze
邪	zjae	xie2	*sə.ɢA	sə.	ɢ		A		0047a	U+90AA	awry
屧	sep	xie4	*s-lˤep	s-	lˤ		ep		0633p	U+5C67	bottom inlay in shoe
寫	sjaeX	xie3	*s-qʰAʔ	s-	qʰ		Aʔ		0799f	U+5BEB	depict
寫	sjaeX	xie3	*s-qʰAʔ	s-	qʰ		Aʔ		0799f	U+5BEB	drain off
謝	zjaeH	xie4	*sə-lAk-s	sə-	l		Ak	-s	0807g	U+8B1D	decline, renounce
霰	senH	xian4	*sˤ[e]r-s		sˤ		[e]r	-s	0156d	U+9730	sleet
仙	sjen	xian1	*[s]a[r]		[s]		a[r]		0193f	U+4ED9	immortal (n.)
僊	sjen	xian1	*[s]a[r]		[s]		a[r]		0206b	U+50CA	immortal
羨	zjenH	xian4	*s-N-qa[r]-s	s-N-	q		a[r]	-s	0207a	U+7FA8	covet, desire
羨	zjenH	xian4	*s-[ɢ]a[n]-s	s-	[ɢ]		a[n]	-s	0207a	U+7FA8	surplus, affluence
鮮	sjenX	xian3	*[s][e]rʔ		[s]		[e]rʔ		0209a	U+9BAE	rare, few
鮮	sjen	xian1	*[s][a]r		[s]		[a]r		0209a	U+9BAE	fresh; good
癬	sjenX	xuan3	*[s]arʔ		[s]		arʔ		0209d	U+766C	ringworm
𤣔	sjenX	xian3	*s.[n]e[r]ʔ	s.	[n]		e[r]ʔ		0359k	U+248D4	autumnal hunt
先	senH	xian4	*sˤər-s		sˤ		ər	-s	0478a	U+5148	go first
先	sen	xian1	*sˤər		sˤ		ər		0478a	U+5148	first
洗	senX	xian3	*sˤərʔ		sˤ		ərʔ		0478j	U+6D17	wash
燂	zjem	qian2	*sə-lom	sə-	l		om		0646d	U+71C2	heat; roast; boil (meat)
辛	sin	xin1	*[s]i[n]		[s]		i[n]		0382a	U+8F9B	pungent; painful
辛	sin	xin1	*si[n]		s		i[n]		0382a	U+8F9B	8th heavenly stem
新	sin	xin1	*s.tsʰi[n]	s.	tsʰ		i[n]		0382k	U+65B0	new
訊	sinH	xun4	*[s]i[n]-s		[s]		i[n]	-s	0383c	U+8A0A	ask
信	sinH	xin4	*s-ni[ŋ]-s	s-	n		i[ŋ]	-s	0384a	U+4FE1	truthful
鬵	zim	qin2	*sə-l[ə]m	sə-	l		[ə]m		0660k	U+9B35	large boiler
爓	zim	xun2	*[sə-l][ə]m	[sə-	l]		[ə]m		0672o	U+7213	sacrifice of boiled meat
尋	zim	xun2	*sə-l[ə]m	sə-	l		[ə]m		0662a	U+5C0B	warm up
尋	zim	xun2	*sə-l[ə]m	sə-	l		[ə]m		0662a	U+5C0B	measure of 8 chǐ 尺
省	sjengX	xing3	*[s]eŋʔ		[s]		eŋʔ		0812l	U+7701	inspect
性	sjengH	xing4	*seŋ-s		s		eŋ	-s	0812s	U+6027	nature
星	seng	xing1	*s-tsʰˤeŋ	s-	tsʰˤ		eŋ		0812x	U+661F	star
繡	sjuwH	xiu4	*[s]iw(k)-s		[s]		iw(k)	-s	1028e	U+7E61	embroider
宿	sjuwH	xiu4	*[s]uk-s		[s]		uk	-s	1029a	U+5BBF	"mansion" of the zodiac (where the moon is found on successive nights)
羞	sjuw	xiu1	*s-nu	s-	n		u		1076h	U+7F9E	shame
修	sjuw	xiu1	*s-liw	s-	l		iw		1077d	U+4FEE	adorn
脩	sjuw	xiu1	*s-liw	s-	l		iw		1077e	U+8129	dried meat
袖	zjuwH	xiu4	*sə.[l]u-s	sə.	[l]		u	-s	1079m	U+8896	sleeve
囚	zjuw	qiu2	*sə.lu	sə.	l		u		1094a	U+56DA	prisoner
泅	zjuw	qiu2	*[s-N].ru	[s-N].	r		u		1094c	U+6CC5	swim
秀	sjuwH	xiu4	*[s-l]u(ʔ)-s	[s-	l]		u(ʔ)	-s	1095a	U+79C0	to flower
縮	srjuwk	suo1	*[s]ruk		[s]	r	uk		1029c	U+7E2E	shrink
瑣	swaX	suo3	*[s]ˤojʔ		[s]ˤ		ojʔ		0013b	U+7463	chain
瑣	swaX	suo3	*[s]ˤojʔ		[s]ˤ		ojʔ		0013b	U+7463	small, fragment
索	sak	suo3	*[s]ˤak		[s]ˤ		ak		0770a	U+7D22	twist a rope
索	sak	suo3	*[s]ˤak		[s]ˤ		ak		0770a	U+7D22	search (v.)
蟀	srwit	shuai4	*srut		s	r	ut		0498g	U+87C0	蟋蟀 cricket
所	srjoX	suo3	*s-qʰ<r>aʔ	s-	qʰ	<r>	aʔ		0091a	U+6240	place (n.); that which
叟	suwX	sou3	*s-ruʔ	s-	r		uʔ		1097a	U+53DF	old man
嗽	suwH	sou4	*[s]ˤok-s		[s]ˤ		ok	-s	1222s	U+55FD	cough
瘦	srjuwH	shou4	*sru-s		s	r	u	-s	1097i	U+7626	lean (adj.)
宿	sjuwk	su4	*[s]uk		[s]		uk		1029a	U+5BBF	spend the night
夙	sjuwk	su4	*[s]uk		[s]		uk		1030a	U+5919	early morning
俗	zjowk	su2	*s-[ɢ]ok	s-	[ɢ]		ok		1220a	U+4FD7	ways, customs; vulgar
粟	sjowk	su4	*[s]ok		[s]		ok		1221a	U+7C9F	grain (rice or millet) in husk
速	suwk	su4	*[s]ˤok		[s]ˤ		ok		1222i	U+901F	invite
速	suwk	su4	*[s]ˤok		[s]ˤ		ok		1222i	U+901F	rapid
穌	su	su1	*s.ŋˤa	s.	ŋˤ		a		0067a	U+7A4C	gather into sheaves (Shuōwén)
蘇	su	su1	*s-ŋˤa	s-	ŋˤ		a		0067c	U+8607	revive
素	suH	su4	*[s]ˤak-s		[s]ˤ		ak	-s	0068a	U+7D20	white silk
愬	suH	su4	*s-ŋˤak-s	s-	ŋˤ		ak	-s	0769b	U+612C	complain, accuse
遡	suH	su4	*s-ŋˤak-s	s-	ŋˤ		ak	-s	0769d	U+9061	go against the current
續	zjowk	xu4	*sə.lok	sə.	l		ok		1023u	U+7E8C	continue
藚	zjowk	xu4	*sə.lok	sə.	l		ok		1023v	U+85DA	Alisma plantago
須	sju	xu1	*C-[s.n]o	C-[s.	n]		o		0133a	U+9808	beard
需	sju	xu1	*s-no	s-	n		o		0134a	U+9700	wait
恤	swit	xu4	*s-[m]i[t]	s-	[m]		i[t]		0410e	U+6064	anxiety
緒	zjoX	xu4	*s-m-taʔ	s-m-	t		aʔ		0045s	U+7DD2	arrange in order
邪	zjo	xu2	*sə.la	sə.	l		a		0047a	U+90AA	walk slowly
訹	swit	xu4	*s-lut	s-	l		ut		0497i	U+8A39	entice
序	zjoX	xu4	*[sə.l]aʔ	[sə.	l]		aʔ		0083h	U+5E8F	walls at side of palace
湑	sjoX	xu3	*s-raʔ	s-	r		aʔ		0090f	U+6E51	to strain (spirits)
壻	sejH	xu4	*[s]ˤ[i][j]-s		[s]ˤ		[i][j]	-s	0090i	U+58FB	son-in-law
絮	sjoH	xu4	*s-na-s	s-	n		a	-s	0094u	U+7D6E	raw silk, floss
蒜	swanH	suan4	*[s]ˤor-s		[s]ˤ		or	-s	0175b	U+849C	garlic
