OurUnicodeZi	MCascii	Mandarin	PubFull	PubPre	PubIni	PubMed	PubFin	PubSuf	GSRindexStr	OurUnicode	OurGloss
蟲	drjuwng	chong2	*C.lruŋ	C.	l	r	uŋ		1009a	U+87F2	insect
充	tsyhuwng	chong1	*tʰuŋ		tʰ		uŋ		1011a	U+5145	full, fill
重	drjowng	chong2	*[m]-troŋ	[m]-	t	r	oŋ		1188a	U+91CD	repeat; double
衝	tsyhowng	chong1	*tʰoŋ		tʰ		oŋ		1188j	U+885D	rush against
憃	syowng	chong1	*s.toŋ	s.	t		oŋ		1192d	U+6183	stupid
寵	trhjowngX	chong3	*r̥oŋʔ		r̥		oŋʔ		1193p	U+5BF5	favor, grace
舂	syowng	chong1	*s-toŋ	s-	t		oŋ		1192a	U+8202	hull grain, beat (v.) stick for beating (n.)
撤	trhjet	che4	*tʰret		tʰ	r	et		0286b	U+64A4	remove, take away
撤	drjet	che4	*m-tʰret	m-	tʰ	r	et		0286b	U+64A4	remove, take away
徹	trhjet	che4	*tʰret		tʰ	r	et		0286c	U+5FB9	divide land acc. to a certain share system
徹	trhjet	che4	*tʰret		tʰ	r	et		0286c	U+5FB9	penetrate
徹	drjet	che4	*m-tʰret	m-	tʰ	r	et		0286c	U+5FB9	divide land acc. to a certain share system
徹	drjet	che4	*m-[tʰ]ret	m-	[tʰ]	r	et		0286c	U+5FB9	penetrate
哆	tsyhaeX	chi3	*[t-l̥]Ajʔ	[t-	l̥]		Ajʔ		0003k	U+54C6	large
車	tsyhae	che1	*[t.qʰ](r)A	[t.	qʰ]	(r)	A		0074a	U+8ECA	chariot
澈	drjet	che4	*[d]ret		[d]	r	et		0286d	U+6F88	clear, limpid
轍	drjet	zhe2	*[d]ret		[d]	r	et		0286e	U+8F4D	wheel-track
稱	tsyhing	cheng1	*tʰəŋ		tʰ		əŋ		0894g	U+7A31	weigh; evaluate; call
离	trhje	chi1	*r̥aj		r̥		aj		0023a	U+79BB	mountain demon
侈	tsyheX	chi3	*t-l̥ajʔ	t-	l̥		ajʔ		0003i	U+4F88	extravagant
辴	trhij	zhen3	*tʰrər		tʰ	r	ər		0455t	U+8FB4	laugh
池	drje	chi2	*Cə.lraj	Cə.	l	r	aj		0004t	U+6C60	pool (n.)
馳	drje	chi2	*[l]raj		[l]	r	aj		0004x	U+99B3	gallop
坻	drij	chi2	*[d]rij		[d]	r	ij		0590l	U+577B	islet
蚳	drij	chi2	*[d]r[ij]		[d]	r	[ij]		0590m	U+86B3	ant egg
鴟	tsyhij	chi1	*tʰij		tʰ		ij		0590s	U+9D1F	鴟鵂 tsyhij.xjuw owl
遟	drij	chi2	*l<r>ə[j]		l	<r>	ə[j]		0595d	U+905F	slow
㡿	tsyhek	chi4	*t-qʰAk	t-	qʰ		Ak		0792a	U+387F	salty soil
赤	tsyhek	chi4	*[t-qʰ](r)Ak	[t-	qʰ]	(r)	Ak		0793a	U+8D64	red
尺	tsyhek	chi3	*tʰAk		tʰ		Ak		0794a	U+5C3A	foot (measure)
踟	drje	chi2	*[d]re		[d]	r	e		0863e	U+8E1F	踟躕 *[d]re.[d]ro walk hesitatingly
篪	drje	chi2	*lre		l	r	e		0870c	U+7BEA	a kind of flute
熾	tsyhiH	chi4	*tʰək-s		tʰ		ək	-s	0920l	U+71BE	blaze
畟	tsrhik	ce4	*Nə-[tsʰ]rək	Nə-	[tsʰ]	r	ək		0922a	U+755F	sharp-cutting
恥	trhiX	chi3	*n̥rəʔ		n̥	r	əʔ		0959a	U+6065	shame; ashamed
祉	trhiX	zhi3	*[tʰ]rəʔ		[tʰ]	r	əʔ		0961k	U+7949	blessings
齒	tsyhiX	chi3	*t-[k]ʰə(ŋ)ʔ	t-	[k]ʰ		ə(ŋ)ʔ		0961l	U+9F52	front teeth
持	dri	chi2	*[d]rə		[d]	r	ə		0961p	U+6301	grasp, hold
治	dri	chi2	*C.lrə	C.	l	r	ə		0976z	U+6CBB	regulate, arrange
札	tsreat	zha2	*s-qˤrət	s-	qˤ	r	ət		0280b	U+672D	strip (n.), tablet
柤	tsrae	zha1	*tsˤra		tsˤ	r	a		0046i	U+67E4	kind of fruit tree
乍	dzraeH	zha4	*[dz]ˤrak-s		[dz]ˤ	r	ak	-s	0806a	U+4E4D	suddenly
詐	tsraeH	zha4	*[ts]ˤrak-s		[ts]ˤ	r	ak	-s	0806g	U+8A50	treacherous
祭	tsreajH	zhai4	*[ts](ˤ)re[t]-s		[ts](ˤ)	r	e[t]	-s	0337a	U+796D	(name of a state)
瘵	tsreajH	zhai4	*[ts](ˤ)re[t]-s		[ts](ˤ)	r	e[t]	-s	0337h	U+7635	suffer; distress
齋	tsreaj	zhai1	*tsˤr[ə]j		tsˤ	r	[ə]j		0593y	U+9F4B	purify oneself
責	tsreaH	zhai4	*s-tˤrek-s	s-	tˤ	r	ek	-s	0868m	U+8CAC	debt
戰	tsyenH	zhan4	*tar-s		t		ar	-s	0147r	U+6230	to fear
戰	tsyenH	zhan4	*tar-s		t		ar	-s	0147r	U+6230	battle
襢	trjenX	zhan4	*tra[n]ʔ		t	r	a[n]ʔ		0148g	U+8962	to bare
襢	trjenX	zhan4	*tra[n]ʔ		t	r	a[n]ʔ		0148g	U+8962	(a ceremonial garment)
襢	trjenH	zhan4	*tra[n]ʔ-s		t	r	a[n]ʔ	-s	0148g	U+8962	(a ceremonial garment)
鱣	trjen	zhan1	*tra[n]		t	r	a[n]		0148j	U+9C63	a kind of fish
氈	tsyen	zhan1	*ta[n]		t		a[n]		0148l	U+6C08	felt (n.)
饘	tsyen	zhan1	*t-qa[n]	t-	q		a[n]		0148m	U+9958	gruel (thick)
鸇	tsyen	zhan1	*ta[n]		t		a[n]		0148n	U+9E07	kind of hawk or falcon
棧	dzreanX	zhan4	*[dz]r[a][n]ʔ		[dz]	r	[a][n]ʔ		0155d	U+68E7	shed
棧	dzraenX	zhan4	*[dz]ˤr[a][n]ʔ		[dz]ˤ	r	[a][n]ʔ		0155d	U+68E7	shed
展	trjenH	zhan3	*tra[n]-s		t	r	a[n]	-s	0201a	U+5C55	ritual robe
展	trjenX	zhan3	*trenʔ		t	r	enʔ		0201a	U+5C55	roll over; unfold
轏	dzreanX	zhan4	*[dz]r[a][n]ʔ		[dz]	r	[a][n]ʔ		0208e	U+8F4F	a kind of carriage
斬	tsreamX	zhan3	*[ts]ramʔ		[ts]	r	amʔ		0611a	U+65AC	cut off
占	tsyem	zhan1	*tem		t		em		0618a	U+5360	prognosticate
沾	trjem	zhan1	*[t]rem		[t]	r	em		0618c	U+6CBE	moisten
詹	tsyem	zhan1	*[t]am		[t]		am		0619a	U+8A79	garrulous
瞻	tsyem	zhan1	*[t.q]am	[t.	q]		am		0619c	U+77BB	see, look at
暫	dzamH	zan4	*[dz]ˤam-s		[dz]ˤ		am	-s	0611d	U+66AB	suddenly
苫	syem	shan1	*s.tem	s.	t		em		0618i	U+82EB	thatch
長	trjangX	zhang3	*traŋʔ		t	r	aŋʔ		0721a	U+9577	grow; elder
帳	trjangH	zhang4	*traŋ-s		t	r	aŋ	-s	0721g	U+5E33	curtain
張	trjang	zhang1	*C.traŋ	C.	t	r	aŋ		0721h	U+5F35	draw a bow
丈	drjangX	zhang4	*[d]raŋʔ		[d]	r	aŋʔ		0722a	U+4E08	ten feet
章	tsyang	zhang1	*taŋ		t		aŋ		0723a	U+7AE0	brilliant; distinctive mark; to display
獐	tsyang	zhang1	*taŋ		t		aŋ		0723g	U+7350	fallow-deer
掌	tsyangX	zhang3	*[k.t]aŋʔ	[k.	t]		aŋʔ		0725j	U+638C	palm of the hand
啁	traew	zhao1	*tˤriw		tˤ	r	iw		1083j	U+5541	twitter, noise
抓	tsraew	zhua1	*[ts](ˤ)ru		[ts](ˤ)	r	u		1111c	U+6293	grasp
濯	draewH	zhao4	*lˤrewk-s		lˤ	r	ewk	-s	1124h	U+6FEF	wash clothes
櫂	draewH	zhao4	*lˤrewk-s		lˤ	r	ewk	-s	1124q	U+6AC2	oar
