NUMBER  	PB  	PRNUM  	WORD  	TL  	GX  	EQ  	EG  	JM  	JX  	DS  	ZC  	MZL  	JC  	EY  	HQ  	LP  	QLQ  	YL  	XY  	LBZ  	   
445	tsri1  	0	grease, fat  	tʂi55  	tʂi55  	tsɿ24  	tsɛ55  	tʂi55  	tsi55  	tʂi55  	tsi35  	tsi55  	  	  	  	  	  	  	  	  	   
446	jɯ1b  	0	vegetable oil  	jɯ35  	ji12  	jɯ21  	ji21  	(tʂɚ55)  	jɯ21  	jɯ21  	jɯ21  	jou21  	  	  	  	  	  	  	  	  	   
448	sru1  	0	seed of Chinese prickly ash  	ʂv55  	ɕy55  	ɕu24  	ɕu55  	ɕy55  	su55  	su35  	su35  	su55  	  	  	  	  	  	  	  	  	   
450	sen5  	0	egg  	sen21 'testicle'  	sen42  	sE43  	sɛ42  	sẽ42  	sen42  	sen42  	se42  	sɛ42  	  	  	  	  	  	  	  	  	   
451	χæn1  	0	soup  	xaŋ55  	han55  	χæ24  	xã55  	xã55  	xan55  	xɚ̃55  	xɛ55  	(tsi55)  	  	  	  	  	  	  	  	  	   
452	tsuŋ2  	0	alcoholic beverage  	tsvŋ33  	tsoŋ22  	tso22  	tsõ22  	tsŋ22  	tsṽ33  	tsõ33  	tsi33  	tsoŋ33  	  	  	  	  	  	  	  	  	   
454	drɔ1  	0	tea  	djɔ35  	dzao12  	tjo21  	tɕo21  	ʈo21  	tsou21  	tʂou21  	tso21  	tso21  	  	  	  	  	  	  	  	  	   
456	jɔ4  	0	medicine  	jɔ42  	ju42  	ju55  	ju44  	jo55  	jou44  	jou44  	jou44  	jo44  	  	  	  	  	  	  	  	  	   
457	tʰroŋ1  	0	chaff; bran  	tʰioŋ55  	tsʰoŋ55  	tʰio24  	(qa44tɕyi21)  	ʈõ55  	tsʰõ55  	tʂoŋ55  	tsʰo55  	tsʰoŋ55  	  	  	  	  	  	  	  	  	   
461	xɯ33  	0	xɯ2  	xɯ22  	xɯ22  	xɯ22  	xɯ22  	xɯ22  	(sou44jen42)  	(xou35)  	xɯ33  	xɯ33  	  	  	  	  	  	  	  	  	   
462	sʰɛ4  	0	cloth  	sɛ42  	sɛ24  	sE55  	sɛ44  	se55  	se44  	sʰe44  	(pʰio31)  	(pʰio21)  	  	  	  	  	  	  	  	  	   
461	xɯ2  	0	thread  	xɯ33  	xɯ33  	xɯ22  	xɯ22  	xɯ22  	(sou44jen42)  	(xou35)  	xɯ33  	xɯ33  	  	  	  	  	  	  	  	  	   
479	ʁɛ1  	0	shoe  	(jen35)  	ʁɛ12  	(ɲ21)  	ŋa21  	o21tse44  	ŋe21  	  	ŋe21  	ɣɛ21  	  	  	  	  	  	  	  	  	   
481	sro1  	0	comb  	ʂv55  	sao55  	ɕu24  	ɕy55  	ɕu55  	sṽ55  	ʂ35  	sv35  	su55  	  	  	  	  	  	  	  	  	   
484	ɢoŋ1  	0	earrings  	qoŋ35  	(tɕien22)  	ko22  	ko21  	kõ21  	kõ21  	koŋ31  	ku21  	koŋ21  	  	  	  	  	  	  	  	  	   
490	tsren2  	0	pillow  	tʂɚ̃33(diɯ35)  	tʂi22(di12)  	tsɿ22(tiǝ21)  	tsɛ22(tɕi21)  	tʂɚ22(ʈɯ21)  	tsi33(tǝ31)  	tʂɚ33(ti31pu33)  	tsi33(tɯ21)  	tsen33(tǝɯ21)  	  	  	  	  	  	  	  	  	   
493	bri3  	0	straw or palm-bark rain cape  	ʑi21  	dʑy42  	bi43  	dʑyi42  	tɕyǝ̃42  	pi31  	pi31  	pi21?  	bi21  	  	  	  	  	  	  	  	  	   
494	hɔ3  	0	house  	hɔ21  	ha42  	xo43  	xo42  	xo42  	xou31  	xou31  	ho31  	xo21  	  	  	  	  	  	  	  	  	   
509	ŋuæ5  	0	tile  	ua21  	uɛ42  	uæ43  	ŋua42  	  	uan42  	uɚ42  	uɛ42  	vɚ31  	  	  	  	  	  	  	  	  	   
511	ɢua4  	0	(wood)  	guo42  	ɢua21  	qua21  	  	  	kuɑ42  	kua42  	  	  	  	  	  	  	  	  	  	  	   
512	pæn2  	0	plank; board  	paŋ33  	pan22  	pæ22  	pa22 (Wang 2006 has: pa225, probably a mistake)  	põ42  	pan33  	pɚ̃33  	pɛ33  	pɚ̃33  	  	  	  	  	  	  	  	  	   
513	drɯ2  	0	pillar  	diɯ33  	dʐi33  	diɯ22  	dʑi22  	tɕõ22  	tsɯ33  	tʂ33  	tsɯ33  	dzǝɯ33  	  	  	  	  	  	  	  	  	   
514	mɛ1b  	0	door  	mɛ35  	mǝn12  	mE21  	mɛ21  	me21  	me21  	me21  	me21  	me21  	  	  	  	  	  	  	  	  	   
522	sua|ng21  	0	garden (plot)  	suaŋ55  	ɕyen55  	ɕyE24  	sua55(lu21)  	sõ55(lu21)  	suɑ̃55  	suaŋ35  	sua35  	suaŋ55  	  	  	  	  	  	  	  	  	   
526	droŋ1  	0	bed  	dioŋ35  	dzoŋ12  	tio21  	(ŋu22ti22tɕʰu42qʰa44)  	(ũ42fi22tɕʰu42)  	tsõ21  	(kʰo33)  	tso21  	(tɕʰyi21)  	  	  	  	  	  	  	  	  	   
534	sjen1  	0	firewood  	ɕien55  	χien55  	si24  	sɛ55  	sẽ55  	ɕien55  	ɕien55  	ɕi35  	ɕen55  	  	  	  	  	  	  	  	  	   
544	tso5  	0	cooking stove; kitchen range  	tsu21  	tsu42  	tsu43  	tsy42  	  	tsou42  	tsu42  	  	tso42  	  	  	  	  	  	  	  	  	   
548	ŋuen1  	0	bamboo food steamer  	uen35  	uen12  	ŋui21  	|nguɛ21  	  	uẽ21  	uen21  	uɛ21  	  	  	  	  	  	  	  	  	  	   
551	dro4  	0	ladle  	(mɯ35)tiu42  	(mi55)tsu21  	(mE24)tiu21  	(mɛ55)tɕio21  	(me55)ʈo21  	(mi55)tso42  	(mi55)tʂou42  	(mi35)tso42  	(mi55)tsʰo42  	  	  	  	  	  	  	  	  	   
555	dzro3  	0	chopsticks  	ʐv21  	dʐao42  	dʐo42  	tɕiu42  	tɕiu42  	tsṽ42  	tʂo31  	tsv31  	tsǝɯ21  	  	  	  	  	  	  	  	  	   
559	bjɛ4  	0	kettle; pot  	vɚ42  	bvu21  	(la24)fE21  	(li55ui42qʰo22)  	(lo55)ue21  	vu42  	(xu42)  	  	(kua42tsi33)  	  	  	  	  	  	  	  	  	   
560	kaŋ1  	0	vat; jar  	kaŋ55  	  	ka24  	  	kã55  	kɑ̃55  	kã35  	ka35  	kaŋ55  	  	  	  	  	  	  	  	  	   
576	bɯ1  	0	interest  	bɯ35  	bu12  	bɯ21  	p'u,21  	pɯ21  	[li55ɕie35]  	[li55si35]  	pɯ21  	pǝ21  	  	  	  	  	  	  	  	  	   
578	tsre|ng1  	0	needle  	tʂɚ̃55  	tʂɚ55  	tsɿ24  	tsẽ55  	tʂɚ̃55  	tsan55  	t|srmɚ̃35  	tsi35  	tsen55  	  	  	  	  	  	  	  	  	   
580	tɕæŋ1  	0	nail; tack  	tɕaŋ55  	(tsen22zaŋ24)  	tɕæ24  	[ti55tsi22]  	(tɕʰi55tsẽ22)  	tɕian55  	tɕiɚ̃35  	tɕiɛ55  	tɕiɚ55  	  	  	  	  	  	  	  	  	   
585	dro4  	0	key  	diu42  	dzu21  	tio21  	tsɛ44  	(so22pa22qua55)  	tsou42  	tʂʰou42  	tsou42  	tsʰo42  	  	  	  	  	  	  	  	  	   
586	ɢua4  	0	stick  	duɔ42  	qua21  	qua21  	qua42  	qua42  	kuɑ42  	kua42  	kua42  	(paŋ21mo33)  	  	  	  	  	  	  	  	  	   
586	|prɔ1  	0	stick  	tɕiɔ55  	  	(pio24)  	tɕo55  	(qua42)  	pio55  	piou35  	pia35  	pio55  	  	  	  	  	  	  	  	  	   
602	jen1b  	0	boat; ship  	jen35  	jen12  	ɲia21  	ɲa21  	ɲɚ21  	jen21  	jen21  	je21  	jen21  	  	  	  	  	  	  	  	  	   
605	pɯ2  	0	axe  	pɯ33  	pu33  	pɯ22  	pɯ22  	pɯ22  	pɯ33  	pɯ33  	pɯ33  	pǝɯ33  	  	  	  	  	  	  	  	  	   
607	dzo4  	0	chisel  	zu42  	dzu21  	tsu21  	tsy42  	tsv21  	tsou42(ne31)  	[tsaŋ44tsi33]  	tsu42  	tsʰo42  	  	  	  	  	  	  	  	  	   
608	pjo5  	0	saw  	fv21  	pfu42  	fo43  	fv42  	fv42  	fv42  	fv42  	fv42  	fv42  	  	  	  	  	  	  	  	  	   
615	tɕi1-kuɛ1  	0	plougshare  	tɕi55kue55  	tɕi55kuɛ55  	tɕi24kui24  	tɕi55kui55  	tɕĩkui55  	tɕi55kui55  	  	  	tɕi55kuɛ55  	  	  	  	  	  	  	  	  	   
617	dzruŋ1  	0	hoe (large)  	ʐvŋ35  	dzao12  	tɕo21  	tɕu21  	tɕu21  	tsṽ21  	tʂo21  	tsv21  	dzu21  	  	  	  	  	  	  	  	  	   
619	sʰo4  	0	rope  	su42  	su24  	su55  	su44  	so55  	sou44  	sʰou44  	so44  	so44  	  	  	  	  	  	  	  	  	   
623	tɕʰi1  	0	fertilizer; manure  	tɕʰi55  	tɕʰi55  	tɕʰi24  	tɕʰi55  	tɕʰi55  	tɕʰi55  	tɕʰi55  	tɕʰi55  	tɕʰi55  	  	  	  	  	  	  	  	  	   
624	jen1b  	0	sickle  	jen35  	jen12  	ɲia21  	ɲia21  	na21  	jen21  	jen21  	je21  	[li55to55]  	  	  	  	  	  	  	  	  	   
626	duɛ5  	0	trip-hammer for hulling rice  	due21  	tyɛ42  	tyi43  	ti42  	(ɕyi33kue55)  	tui42  	tui42  	(sɯ33kɯ33)  	tɛ42  	  	  	  	  	  	  	  	  	   
629	lɔ1b  	0	sieve; sifter  	lɔ35  	lao12  	lo21  	lo21  	lo21  	lou21  	lou21  	lo21  	lo21  	  	  	  	  	  	  	  	  	   
630	mo2tɕi1  	0	winnowing fan  	mo33tɕi55  	mu22tɕi55  	mo22tɕi24  	mɯ22tɕi55  	mo22tɕi55  	tɕi55  	tɕʰi35  	mo33tɕi35  	tɕi55  	  	  	  	  	  	  	  	  	   
637	tsjen5  	0	arrow  	tɕien21  	tɕin42  	tsi43  	tsɛ42  	tsẽ42  	tɕien42  	tɕien42  	tɕi53  	tɕen42  	  	  	  	  	  	  	  	  	   
647	tsri2  	0	paper  	tʂɚ̃33  	tʂi22  	tsɿ22  	tsɛ22  	tʂɚ̃22  	tsi33  	tʂi33  	tsi33  	tsi33  	  	  	  	  	  	  	  	  	   
651	doŋ1  	0	speech; words; language  	doŋ35  	doŋ12  	do21  	(tɕa55)  	(la22kue55)  	  	  	tou21  	(ɣo21)  	  	  	  	  	  	  	  	  	   
659	ɢuŋ2  	0	drum  	  	qoŋ22  	ɢu22  	  	  	ku33  	ku33  	ku33  	(kǝɯ21)  	  	  	  	  	  	  	  	  	   
669	kro2  	0	ghost, spirit  	  	tʂi22  	tsɿ22  	tsɛ22  	tʂɚ22  	kv33  	ko33  	kv33  	tɕu33  	  	  	  	  	  	  	  	  	   
673	pʰæn3  	0	(soul); spirit  	pʰaŋ21maŋ21  	pʰan42man22  	pʰæ43ma43  	p'h,42ma42  	pʰã42mã42  	p'h,an31man31  	  	pʰo31miɛ31  	pʰɚ21mɚ̃21  	  	  	  	  	  	  	  	  	   
687	mjæ1  	0	name  	ɲua55  	ɲuɛ55  	miæ24  	ɲya55  	ɲo55  	mian55  	miɚ35  	miɛ35  	miɚ55  	  	  	  	  	  	  	  	  	   
695	tsuŋ1  	0	tace; track  	tsvŋ55  	tsi22  	tɕia55  	tɕio55  	tsõ55  	tsṽ55  	(tso13)  	  	tsoŋ55  	  	  	  	  	  	  	  	  	   
698	qæn1  	0	shadow  	qaŋ33  	qan22  	qæ22  	qa22  	qã22  	kɛ̃33  	kɚ̃33  	(zi21tsʰɛ55)  	kɚ̃33  	  	  	  	  	  	  	  	  	   
699	mɯ5  	0	dream  	mo21  	moŋ24  	mɯ43  	mɯ̃55  	mɯ42  	mǝ̃31  	mǝ̃42  	mɯ53  	mǝɯ21  	  	  	  	  	  	  	  	  	   
703	pjɛ2  	0	direction; orientation  	fɚ33  	(ɢo12pʰu55)  	fE22  	(p'h,u55)  	fe22  	fv33  	fv33  	(po33)  	[xõ33]  	  	  	  	  	  	  	  	  	   
710	pri1(a)  	0	left  	tɕy55  	tjen55  	tsuE24  	(la55tɕo44tɕo44pʰo55)  	(lo55tɕyẽ55)  	pi55  	piǝ35  	pi35  	pi55  	  	  	  	  	  	  	  	  	   
713	ɣɯ2  	0	back, behind  	ɣɯ33  	ɣe22  	ɯ22  	xɯ̃22  	xẽ55  	ɣeǝ33  	ɣɯ33  	ɣɯ33  	ɣǝ33  	  	  	  	  	  	  	  	  	   
714	ŋua4  	0	outside  	ŋuɔ42  	uaŋ24  	ua55  	ŋua44  	(p|ɯ55ʐɚ21nõ22)  	uɑ̃44  	uaŋ33  	ua44  	ŋua44  	  	  	  	  	  	  	  	  	   
722	djoŋ2  	0	the upper part; up reaches; above  	doŋ33  	doŋ33  	do22  	to22  	ɖɯ22  	tõ33  	tõ33  	to33  	doŋ33  	  	  	  	  	  	  	  	  	   
738	qæn1  	0	today  	qan55(jien42)  	qɛ55(ɲi22)  	qæ24(ɲi22)  	qa44(ɲi44)  	qa55(ɲi44)  	ki55(ɕia44)  	ke55(jien44)  	kɛ55(ɲe44)  	kĩ55(ni44)  	  	  	  	  	  	  	  	  	   
739	dʑen1  	0	yesterday  	ʑien35(jien42)  	dʑi21(ɲi22)  	tsi21(ɲi22)  	tsi21(ɲi44)  	tsi21(ɲi44)  	tɕi21(ɕia44)  	tɕien21(jien44)  	tɕi31(ɕe44ɲe44)  	tɕĩi42(ni44)  	  	  	  	  	  	  	  	  	   
752	pɛ2  	0	at night; in the evening  	pɛ33  	(ja55xɯ42)  	(ɕia24xɯ22)  	(ɲi44u22)  	(ɕia55xɯ̃42)  	pẽ55  	pe33  	pe33  	(ɕɚ55pʰo55)  	  	  	  	  	  	  	  	  	   
767	dzro4  	0	the 12 animals representing the 12 years  	ʐy42  	dzao21  	tɕio21  	tɕiu42  	tɕio21  	tsṽ42  	tʂõ42  	tsv42  	tsʰu21  	  	  	  	  	  	  	  	  	   
771	ŋua4  	0	month  	ŋuɔ42  	uaŋ24  	ua55  	ŋua44  	uaŋ55  	uɑ̃44  	uaŋ33  	ua44  	ŋua44  	  	  	  	  	  	  	  	  	   
781	back+year  	0	next year  	ɣɯ33suɔ42  	ɣe21sua24  	ɣɯ21sua55  	ɣɯ21sua44  	ɣɯ21sua44  	ɣǝ33suɑ44  	ɣɯ33sua44  	ɣɯ33sua44  	ɣǝ33sua44  	  	  	  	  	  	  	  	  	   
797	ʔa4  	0	one  	a21  	a55  	a43  	a42  	a42  	a42  	  	a31  	a21  	  	  	  	  	  	  	  	  	   
798	koŋ2  	0	two  	kpŋ33  	koŋ33  	ku22  	kv33  	koŋ33  	kõ33  	koŋ33  	kou33  	koŋ33  	  	  	  	  	  	  	  	  	   
799	sʰaŋ1  	0	three  	saŋ55  	saŋ24  	sa24  	so55  	sã55  	sɑ̃55  	sʰã55  	sa55  	saŋ55  	  	  	  	  	  	  	  	  	   
800	sji4  	0	four  	ɕi42  	ɕi24  	si55  	si44  	ɕi44  	ɕi44  	ɕi44  	ɕi44  	ɕi44  	  	  	  	  	  	  	  	  	   
801	ŋu2  	0	five  	ŋv33  	ŋo22  	ŋu22  	ŋu22  	ŋu22  	ṽ33  	õ33  	mu33  	ŋ̣33 (added the character for vocalic consonants, not displayed in Wang 2006)  	  	  	  	  	  	  	  	  	   
802	pjo4  	0	six  	fo42  	pfu24  	fo55  	xo44  	xo55  	fv44  	fo44  	fv44  	fv44  	  	  	  	  	  	  	  	  	   
803	tsʰji4  	0	seven  	tɕʰi42  	tɕʰi24  	tsʰi55  	tsʰi44  	tsʰi55  	tɕʰi44  	tɕʰi44  	tɕʰi44  	tɕʰi44  	  	  	  	  	  	  	  	  	   
804	pra4  	0	eight  	tɕo42  	tɕua24  	pia55  	tɕya44  	tɕua55  	pio44?  	pia44  	pia44  	pia44  	  	  	  	  	  	  	  	  	   
805	tɕɯ2  	0	nine  	tɕi33  	tɕi22  	tɕiɯ22  	tɕi22  	tɕi22  	tɕiɯ33  	tɕiɯ33  	tɕiɯ33  	tɕǝɯ33  	  	  	  	  	  	  	  	  	   
806	dzri4  	0	ten  	ʐɚ42  	dʐi21  	tsɿ21  	tsɛ42  	tʂɚ42  	tsa42  	tʂi42  	tsi42  	tsʰi42  	  	  	  	  	  	  	  	  	   
808	'ten' + ne4  	0	twelve  	ʐɚ42ne42  	dʐi21nɛ55  	tsɿ21nE55  	tsɛ42(kv22)  	  	tsa42ne44  	tʂi42ne44  	tsi42ne44  	tsʰi42ne44  	  	  	  	  	  	  	  	  	   
824	pæ4  	0	hundred  	pa42  	pæ24  	pæ55  	pa44  	pa55  	pa44  	pɚ44  	pǝ44  	pɚ44  	  	  	  	  	  	  	  	  	   
826	tsjʰen1  	0	thousand  	tɕʰien55  	tɕʰian55  	tsʰi24  	tsʰi55  	tɕʰĩ55  	tɕʰien55  	tɕʰien55  	tɕʰi55  	tɕʰĩ55  	  	  	  	  	  	  	  	  	   
832	pjo2  	0	a half  	fv33  	pfw22  	po22  	fe22  	fɚ22  	  	  	po21  	po21  	  	  	  	  	  	  	  	  	   
839	troŋ1  	0	classifier (zhang zhi)  	tioŋ55  	tsoŋ12  	tio24  	(sy55qa42qa42)  	ʈõ55  	tsõ55  	tʂõ  	tsou35  	tsoŋ55  	  	  	  	  	  	  	  	  	   
842	djɯ1  	0	classifier (zhi niao)  	diɯ35  	di12  	diɯ21  	tsu44tɕi21  	tso44a42ʈɯ21  	tǝ21  	tiǝ21  	tɯ21  	tǝɯ21  	  	  	  	  	  	  	  	  	   
845	qʰɔ2  	0	classifier (limi)  	qʰɔ33  	qʰo22  	qʰo22  	qʰo22  	qʰo22  	kʰou33  	kʰu33  	kʰuo33  	kʰo33  	  	  	  	  	  	  	  	  	   
848	drɯ3  	0	classifier (keshu)  	diɯ21  	dʐi42  	diɯ43  	dʑi42  	ɖɯ42  	tsɯ31  	tʂɯ31  	tsɯ31  	dzǝɯ21  	  	  	  	  	  	  	  	  	   
852	t|hs,ua4  	0	xlassifier (bacai)  	tsʰuo42  	(dʑɛ24)  	(qE24)  	(qɛ55)  	(qẽ55)  	tsʰuɑ44  	tsʰua33  	(pa42)  	(k|eɯ44)  	  	  	  	  	  	  	  	  	   
864	kʰoŋ1  	0	classifier (jianyifu)  	kʰoŋ55  	kʰoŋ55  	kʰo24  	kʰo55  	kʰõ55  	kʰõ55  	kʰoŋ55  	kʰou55  	  	  	  	  	  	  	  	  	  	   
876	bjo2  	0	classifier (beicai)  	vɚ33  	"(Iæn42) (what consonant iss ""I""?, should be checked in any case)  "	(Iæ43) (dito, GX)  	  	  	v33  	(jɚ42)  	  	bi33  	  	  	  	  	  	  	  	  	   
881	noŋ1b  	0	classifier (daimi)  	noŋ35  	nõ12  	no21  	nõ21  	nõ21  	  	  	ɲo21  	noŋ21  	  	  	  	  	  	  	  	  	   
889	qæn1  	0	classifier (jianfang)  	qaŋ55  	qan55  	qæ24  	qa55  	qo55  	kɛ̃55  	kɚ35  	kɛ55  	kɚ̃55  	  	  	  	  	  	  	  	  	   
894	noŋ3  	0	classifier (liang)  	liaŋ33  	ɲo43  	no42  	nõ42  	nõ42  	  	  	ɲo21  	noŋ21  	  	  	  	  	  	  	  	  	   
899	zen1  	0	classifier (??)  	zi35  	zien12  	zɿ21  	zɛ21  	zẽ21  	(pʰa31)  	(pʰa21)  	(pʰe21)  	jen21  	  	  	  	  	  	  	  	  	   
910	nji4  	0	day  	  	ɲi22  	ɲi22  	  	ɲi55  	  	jen33  	ɲie44  	ni44  	  	  	  	  	  	  	  	  	   
914	sʰua4  	0	a year old  	suɔ42  	sua24  	sua55  	sua44  	sua55  	suɑ44  	sʰua44  	sua44  	sua44  	  	  	  	  	  	  	  	  	   
916	pu3  	0	step  	(gɔ33)  	(gu22)  	pɯ43  	pɯ42  	pu42  	pu31  	pu31  	pu42  	pɯ21  	  	  	  	  	  	  	  	  	   
928	C-ŋɔ3  	0	I  	ŋɔ21  	ŋa42  	ɴo43  	ŋo42  	õ42  	uõ31  	ŋõ31  	ŋo31  	nen42  	  	  	  	  	  	  	  	  	   
931	nɔ3  	0	you  	nɔ21  	na42  	no43  	no42  	no42  	nou31  	nõ31  	no31  	nen42  	  	  	  	  	  	  	  	  	   
934	bɔ3  	0	he  	bo21  	ba42  	uo55  	bo42  	bo42  	mo42  	pu31  	po31  	(kʰi55)  	  	  	  	  	  	  	  	  	   
964	dɔ5  	0	big  	dɔ21  	da42  	da43  	do42  	do42  	tou42  	tou42  	to42  	do42  	  	  	  	  	  	  	  	  	   
966	qʰua4  	0	wide  	qʰuo42  	qʰua24  	qʰua55  	qʰua44  	qʰua55  	kʰuɑ44  	kʰua44  	kʰua44  	kʰua44  	  	  	  	  	  	  	  	  	   
968	qaŋ1  	0	high  	qɔŋ55  	qaŋ55  	qa24  	qo55  	qã55  	kɑ̃55  	kã35  	ka35  	kaŋ55  	  	  	  	  	  	  	  	  	   
969	bri2  	0	low; short  	ʑyi33  	dʑy22  	dzyE22  	dʑyi22  	dʑyẽ22  	pi33  	pi33  	pi33  	pi33  	  	  	  	  	  	  	  	  	   
972	droŋ1  	0	long  	dv35  	dʑou12  	tjo21  	tɕu21  	ʈõ21  	tsõ21  	tʂõ21  	tsou21  	tsoŋ21  	  	  	  	  	  	  	  	  	   
974	tuen2  	0	far  	tue33  	tiuen22  	tyE22  	ti22  	tyi22  	tuen33  	tuen33  	tue33  	tsuen33  	  	  	  	  	  	  	  	  	   
975	d|zren2  	0	near  	jen33  	dʑien22  	tɕi22  	(tsʰo55)  	tsʰo55)  	(tɕien33  	tɕien33  	tɕie33  	tɕen33  	  	  	  	  	  	  	  	  	   
976	qʰua4  	0	wide  	qʰuo42  	qʰua24  	qʰua55  	qʰua44  	qʰua55  	kʰuɑ55  	kʰua44  	kʰua44  	kʰua44  	  	  	  	  	  	  	  	  	   
977	træ4  	0	narrow  	tia42  	tsæ24  	tia55  	(so55)tɛ44  	tʂɚ55  	tsa44  	tʂɚ33  	tsɛ44  	tsɚ44  	  	  	  	  	  	  	  	  	   
980	ɢɯ2  	0	thick  	ʁɚ33  	ɢe22  	ɢɯ22  	  	qɯ̃42  	kẽ33  	kẽ33  	kɯ33  	kǝɯ33  	  	  	  	  	  	  	  	  	   
982	sʰreŋ1  	0	deep  	ʂɚ̃55  	ʂi55  	sɿ24  	sɛ55  	xõ55  	san55  	ʂʰɚ55  	si55  	sen55  	  	  	  	  	  	  	  	  	   
985	qʰoŋ1  	0	empty  	qʰoŋ55  	qʰoŋ55  	qʰo24  	qʰõ55  	qʰõ55  	kʰṽ55  	kʰõ55  	  	koŋ55  	  	  	  	  	  	  	  	  	   
987	tjɯ1  	0	many  	tɕiɯ55  	ti55  	ti24  	ti55  	ti55  	tɕi55  	tɕi35  	tɕi35  	ti55  	  	  	  	  	  	  	  	  	   
990	ʁuen1b  	0	round  	ueŋ35  	uen12  	ʁuE21  	kʰuɛ44  	ŋue21  	uẽ21  	uẽ31  	ue21  	ven21  	  	  	  	  	  	  	  	  	   
994	bæŋ1  	0	smooth  	baŋ35  	bæ12  	bE21  	pa21  	pã21  	pan21  	pɚ̃21  	pɛ21  	pɚ̃21  	  	  	  	  	  	  	  	  	   
999	qʰuæ1  	0	slanting; learning  	  	qʰuæ55  	qʰuæ24  	qʰua55  	qʰue55  	[pʰiɛ55]  	[pʰiɚ55]  	[uɛ35]  	kʰuɚ55  	  	  	  	  	  	  	  	  	   
1002	tuen1  	0	vertical, be standing  	tue55  	tyen55  	tyE24  	to55tɕi22  	tyi55  	tuen55  	tuen35  	tue35  	(tsuen55)  	  	  	  	  	  	  	  	  	   
1003	tuen1  	0	straight  	tue55  	tuen55  	tyE24  	ti55  	tyi55  	tuen55  	tuen35  	miou42  	(tsuen55)  	  	  	  	  	  	  	  	  	   
1004	kʰo4  	0	curved,; crooked; bent  	kʰv42  	kʰao24  	kʰo55  	kʰu44  	kɯ55  	kʰv44  	[uen35]  	kʰv44  	kʰu55  	  	  	  	  	  	  	  	  	   
1005	χɯ4  	0	black  	[xɚ42]  	χe24  	χɯ55  	xɯ44  	xɯ55  	xɯ44  	xɯ44  	xɯ44  	xɯ44  	  	  	  	  	  	  	  	  	   
1006	bæ4  	0	white  	ba42  	bæ21  	pa21  	pa42  	pa42  	pa42  	pɚ42  	pɛ42  	pʰɚ42  	  	  	  	  	  	  	  	  	   
1007	tʰræ4  	0	red  	tʰa42  	tʰæ42  	tʰiæ55  	tɕʰa44  	ʈʰa55  	tsʰa44  	tʂʰɚ44  	tsʰɛ44  	[xoŋ33]  	  	  	  	  	  	  	  	  	   
1008	ʁoŋ1b  	0	yellow  	ŋo|ng35  	ʁaŋ12  	ʁo21  	ŋõ21  	õ21  	ṽ21  	võ21  	ŋv21  	ɣoŋ21  	  	  	  	  	  	  	  	  	   
1013	χɯ4  	0	dark  	[xɚ42]  	χe24  	  	xɯ44  	a42pa42  	(mian42)  	xɯ44  	(miɛ42)  	xɯ44  	  	  	  	  	  	  	  	  	   
1014	dzruŋ2  	0	heavy  	ʐvŋ33  	dzoŋ22  	dʐo22  	dʑo22  	dʑõ22  	tsṽ33  	tʂo|n33  	tsv33  	tsõ21  	  	  	  	  	  	  	  	  	   
1015	tʰæn1  	0	light  	tʰiaŋ55  	tsʰan55  	tʰiæ24  	tɕʰa55  	ʈʰã55  	tsʰan55  	tʂʰɚ̃55  	tsʰɛ55  	tsʰɚ55  	  	  	  	  	  	  	  	  	   
1018	tsu2  	0	early  	tɕyi33  	tɕy22  	tɕyi22  	tɕyi22  	tsyi22  	tsu33  	tsu33  	tsu33  	tsu33  	  	  	  	  	  	  	  	  	   
1019	mɛ2  	0	late  	mɛ33  	men22  	mE22  	mɛ22  	me22  	me33  	me33  	me33  	me33  	  	  	  	  	  	  	  	  	   
1020	ji3  	0	sharp  	ji21  	ʑi42  	ɲi43  	ɲi44  	ji42  	ji31  	ji21  	ji31  	tɕiǝɯ42  	  	  	  	  	  	  	  	  	   
1023	dzruŋ4  	0	muddy; turbid  	ʐv42  	dzao21  	tɕio21  	tɕiu21  	tɕiu21  	tsṽ42  	tso42  	tsɯ42  	tsʰv42  	  	  	  	  	  	  	  	  	   
1028	qaŋ1  	0	dry  	qɔŋ55  	qaŋ55  	qa24  	qo55  	qã55  	kɑ̃55  	kã35  	ka35  	kaŋ55  	  	  	  	  	  	  	  	  	   
1031	tsʰjæn1  	0	watery/thin (porridge)  	tɕʰiaŋ55  	tsʰan55  	tɕiæ24  	  	  	tɕʰian55  	tɕʰiɚ̃55  	tɕʰiɛ55  	tɕʰɚ̃55  	  	  	  	  	  	  	  	  	   
1035	pʰæ1  	0	soft  	pʰa55  	pʰæ55  	pʰæ24  	pʰa55  	pʰa55pʰa55  	pʰa55  	pʰɚ55  	pʰɛ55  	pʰɚ55  	  	  	  	  	  	  	  	  	   
1045	hɔ1  	0	correct; right  	hɔ55  	ho12  	χo24  	xo55  	(kv42)  	xou55  	xou35  	xo35  	xo55  	  	  	  	  	  	  	  	  	   
1047	tsreŋ1  	0	real  	tʂɚ̃55  	tʂẽ12  	tsɿ24  	tsɛ55  	tʂɚ̃55  	tsan55  	tʂɚ̃35  	tsi35  	tsen55  	  	  	  	  	  	  	  	  	   
1048	tɕa3  	0	fraud  	tɕɔ21  	  	(tɕia55a43tsi24)  	tɕa42  	(a42tʂɚ̃55)  	tɕiɑ31  	tɕia31  	tɕa31  	tɕa21  	  	  	  	  	  	  	  	  	   
