NUMBER  	PB  	PRNUM  	WORD  	TL  	GX  	EQ  	EG  	JM  	JX  	DS  	ZC  	MZL  	JC  	EY  	HQ  	LP  	QLQ  	YL  	XY  	LBZ  	   
1597	sa4  	0	scatter (seeds)  	sɔ42  	sa24  	sa55  	so42  	sa55  	sɑ44  	sa44  	(tɕɛ42)  	sɐ21  	  	  	  	  	  	  	  	  	   
1601	tʰro4  	0	seep  	tʰiu42  	tsʰu24  	tʰiu55  	tɕʰio44  	ʈʰo55  	tsʰou44  	tʂʰou44  	[so33]  	[sǝɯ33]  	  	  	  	  	  	  	  	  	   
1613	tsʰren2  	0	stretch out (the arm)  	tʂʰɚ̃33  	tʂʰɚ̃22  	tsʰɿ22  	tsʰɛ22  	tɕʰɚ̃22  	  	  	tʰa55  	tsʰen33  	  	  	  	  	  	  	  	  	   
1634	sro5  	0	to comb  	ʂv21  	  	  	ɕiu42  	ɕiu42  	sṽ31  	ʂo42  	sv31  	[su31]  	  	  	  	  	  	  	  	  	   
1635	tsʰreŋ1  	0	lose (a game)  	tʂʰɚ̃55[//ʂv55]  	tʂi22  	tsʰɿ24  	(a42ɣo21)  	tʂɚ55  	tsʰi55  	[ʂo35]  	tsʰi55  	[ɕy55]  	  	  	  	  	  	  	  	  	   
1638	dzro4  	0	(fruit) be ripe  	ʐy42  	dzao21  	tɕio21  	tɕiu21  	tɕio21  	(tsṽ42tʰǝ31)  	(tʰiɯ42xa55)  	  	tsʰu42  	  	  	  	  	  	  	  	  	   
1643	sreŋ1  	0	fling; toss  	ʂɚ̃55  	ʂi55  	sɿ24  	sɛ55  	ʂɚ̃55  	san55  	(ju33)  	  	[suɛ42]  	  	  	  	  	  	  	  	  	   
1645	bjo4  	0	tie (a cow) to  	vɚ42  	bvw21  	fo21  	u21  	u21  	  	  	pɛ21  	pʰɯ42  	  	  	  	  	  	  	  	  	   
0	tsji4  	0	suck  	tɕi42  	tɕi12  	tsi55  	  	  	tɕi44  	tɕi44  	tɕi55  	tɕi44  	  	  	  	  	  	  	  	  	   
1649	sua4  	0	say  	sua42  	  	  	(tso42)  	  	suɑ44  	  	sua44  	sua44  	  	  	  	  	  	  	  	  	   
1650	pʰe1  	0	tear up, rip  	(tʰi42pʰo55)  	(tɕien55)  	pʰi24  	tɕʰyi55  	tɕʰyi55  	  	pʰe55  	pʰe55  	pʰɛ55  	  	  	  	  	  	  	  	  	   
1651	sji2  	0	die  	ɕi33  	ɕi22  	si22  	si22  	ɕi22  	ɕi33  	ɕi33  	ɕi33  	ɕi33  	  	  	  	  	  	  	  	  	   
1656	sɔ2  	0	lock (the door)  	sɔ33  	su22  	so22  	so22  	so22  	tsou42  	su33  	so33  	tsʰo55  	  	  	  	  	  	  	  	  	   
1663	mɯ1b  	0	escape; run away  	mɯ35  	m|oŋ12  	mɯ21  	mɯ21  	mɯ21  	mõ21  	mǝ̃21  	mo21  	(liɐ55lɛ55)  	  	  	  	  	  	  	  	  	   
1666	suŋ3  	0	(head) ache  	svŋ21  	saŋ42  	(tsa55)  	(tso55)  	(tsa55)  	svŋ31  	soŋ31  	(si31)  	soŋ21  	  	  	  	  	  	  	  	  	   
1668	dʑæn3  	0	shave (the head)  	ʐaŋ21  	dzan42  	dzE43  	(ɕia44)  	(ɕiu44)  	tɕian31  	tɕiɚ̃21  	tɕiɛ31  	tɕiɚ̃21  	  	  	  	  	  	  	  	  	   
1674	dzri2  	0	lick, lap  	ʐi33  	dʐi22  	dzɿ22  	tsɛ22  	ʐɚ̃22  	tsi33  	tʂi33  	tsi33  	dzi33  	  	  	  	  	  	  	  	  	   
