DOCULECT	SOURCE	CLPA	STRUCTURE	NOTE
Jinan	uə	u ə	m n	
Jinan	uei	u e i	m n N	
Jinan	uæ̃	u æ̃ ∼	m n c	
Jinan	uẽ	u ẽ ∼	m n c	
Jinan	uaŋ	u a ŋ	m n c	
Jinan	uŋ	u ŋ	n c	
Jinan	uɛŋ	u ɛ ŋ	m n c	
Jinan	y	y	n	
Jinan	ye	y e	m n	
Jinan	yæ̃	y æ̃ ∼	m n c	
Jinan	ẽ	ẽ ∼	n c	
Jinan	yŋ	y ŋ	n c	
Jinan	²¹³	²¹³	t/ip	
Jinan	⁴²	⁴²	t/ap	
Jinan	⁵⁵	⁵⁵	t/s	
Jinan	²¹	²¹	t/q	
Chengdu	p	p	i	
Chengdu	p’	pʰ	i	
Chengdu	m	m	i	
Chengdu	f	f	i	
Chengdu	v	v	i	
Chengdu	t	t	i	
Chengdu	t’	tʰ	i	
Chengdu	l	n	i	
Chengdu	ts	ts	i	
Chengdu	ts’	tsʰ	i	
Chengdu	s	s	i	
Chengdu	z	z	i	
Chengdu	tɕ	tɕ	i	
Chengdu	tɕ’	tɕʰ	i	
Chengdu	ȵ	ɲ	i	
Chengdu	ɕ	ɕ	i	
Chengdu	k	k	i	
Chengdu	k’	kʰ	i	
Chengdu	ŋ	ŋ	i	
Chengdu	x	x	i	
Chengdu	Ø	NULL	i	
Chengdu	ɿ	ɿ	n	
Chengdu	ɚ	ɚ	n	
Chengdu	a	a	n	
Chengdu	o	o	n	
Chengdu	e	e	n	
Chengdu	ai	a i	n N	
Chengdu	ei	e i	n N	
Chengdu	au	a u	n N	
Chengdu	əu	ə u	n N	
Chengdu	an	a n	n c	
Chengdu	en	e n	n c	
Chengdu	aŋ	a ŋ	n c	
Chengdu	oŋ	o ŋ	n c	
Chengdu	i	i	n	
Chengdu	ia	i a	m n	
Chengdu	ie	i e	m n	
Chengdu	iai	i a i	m n N	
Chengdu	iau	i a u	m n N	
Chengdu	iəu	i ə u	m n N	
Chengdu	ian	i a n	m n c	
Chengdu	ian	i a n	m n c	
Chengdu	iaŋ	i a ŋ	m n c	
Chengdu	u	u	n	
Chengdu	ua	u a	m n	
Chengdu	ue	u e	m n	
Chengdu	uai	u a i	m n N	
Chengdu	uei	u e i	m n N	
Chengdu	uan	u a n	m n c	
Chengdu	uən	u ə n	m n c	
Chengdu	uaŋ	u a ŋ	m n c	
Chengdu	y	y	n	
Chengdu	yo	y o	m n	
Chengdu	ye	y e	m n	
Chengdu	yan	y a n	m n c	
Chengdu	yn	y n	n c	
Chengdu	yoŋ	y o ŋ	m n c	
Chengdu	⁴⁴	⁴⁴	t/ip	
Chengdu	³¹	³¹	t/ap	
Chengdu	⁵³	⁵³	t/s	
Chengdu	¹³	¹³	t/q	
Yangzhou	p	p	i	
Yangzhou	p’	pʰ	i	
Yangzhou	m	m	i	
Yangzhou	f	f	i	
Yangzhou	t	t	i	
Yangzhou	t’	tʰ	i	
Yangzhou	n	l	i	
Yangzhou	ts	ts	i	
Yangzhou	ts’	tsʰ	i	
Yangzhou	s	s	i	
Yangzhou	tɕ	tɕ	i	
Yangzhou	tɕ’	tɕʰ	i	
Yangzhou	ɕ	ɕ	i	
Yangzhou	k	k	i	
Yangzhou	k’	kʰ	i	
Yangzhou	x	x	i	
Yangzhou	Ø	NULL	i	
Yangzhou	ɿ	ɿ	n	
Yangzhou	ɑ	ɑ	n	
Yangzhou	ɛ	ɛ	n	
Yangzhou	o	o	n	
Yangzhou	ɔ	ɔ	n	
Yangzhou	əi	ə i	n N	
Yangzhou	ɤɯ	ɤ ɯ	n N	
Yangzhou	ɛ̃	ɛ̃ ∼	n c	
Yangzhou	õ	õ ∼	n c	
Yangzhou	ɑŋ	ɑ ŋ	n c	
Yangzhou	əŋ	ə ŋ	n c	
Yangzhou	oŋ	o ŋ	n c	
Yangzhou	ɑʔ	ɑ ʔ	n c	
Yangzhou	æʔ	æ ʔ	n c	
Yangzhou	əʔ	ə ʔ	n c	
Yangzhou	oʔ	o ʔ	n c	
Yangzhou	oʔ	o ʔ	n c	
Yangzhou	i	i	n	
Yangzhou	iɑ	i ɑ	m n	
Yangzhou	iɛ	i ɛ	m n	
Yangzhou	iɔ	i ɔ	m n	
Yangzhou	iɪ	i ɪ	m n	
Yangzhou	iɤɯ	i ɤ ɯ	m n N	
Yangzhou	iɛ̃	i ɛ̃ ∼	m n c	
