ID	DOCULECT	CONCEPT	CONCEPTICON_ID	VALUE	SEGMENTS	STRUCTURE	COGIDS
3684	Heqing	CLS for rope	2084	jɯ̃⁴²	j ɯ̃ ∼ ⁴²	i n c t	1432
3685	Lanping	CLS for rope	2084	jɯ̃⁴²	j ɯ̃ ∼ ⁴²	i n c t	1432
3686	Qiliqiao	CLS for rope	2084	ɲiɔ³²	ɲ i ɔ ³²	i m n t	1432
3687	Yunlong	CLS for rope	2084	ɲɯ⁴²	ɲ ɯ ⁴²	i n t	1432
3688	Xiangyun	CLS for rope	2084	tɕɛ⁴⁴	tɕ ɛ ⁴⁴	i n t	1433
3689	Luobenzhuo	CLS for rope	2084	tʂæ⁵⁵	tʂ æ ⁵⁵	i n t	1433
3690	Zhoucheng	CLS for rope	2084	ɲɯ³²	ɲ ɯ ³²	i n t	1432
3691	Jianchuan	CLS for stick	2085	kua⁴⁴	k u a ⁴⁴	i m n t	1434
3692	Eryuan	CLS for stick	2085	kua⁴⁴	k u a ⁴⁴	i m n t	1434
3693	Heqing	CLS for stick	2085	kua⁴⁴	k u a ⁴⁴	i m n t	1434
3694	Lanping	CLS for stick	2085	kua⁴⁴	k u a ⁴⁴	i m n t	1434
3695	Qiliqiao	CLS for stick	2085	kua⁴⁴	k u a ⁴⁴	i m n t	1434
3696	Yunlong	CLS for stick	2085	kua⁴⁴	k u a ⁴⁴	i m n t	1434
3697	Xiangyun	CLS for stick	2085	kua⁴⁴	k u a ⁴⁴	i m n t	1434
3698	Luobenzhuo	CLS for stick	2085	qua⁵⁵	q u a ⁵⁵	i m n t	1434
3699	Zhoucheng	CLS for stick	2085	kua⁴⁴	k u a ⁴⁴	i m n t	1434
3745	Jianchuan	I(1 p.s.)	1209	ŋo³¹	ŋ o ³¹	i n t	223
3746	Eryuan	I(1 p.s.)	1209	ŋɔ³¹	ŋ ɔ ³¹	i n t	223
3747	Heqing	I(1 p.s.)	1209	ŋɔ³¹	ŋ ɔ ³¹	i n t	223
3748	Lanping	I(1 p.s.)	1209	ŋɔ̃³¹	ŋ ɔ̃ ∼ ³¹	i n c t	223
3749	Qiliqiao	I(1 p.s.)	1209	ŋɔ³¹	ŋ ɔ ³¹	i n t	223
3750	Yunlong	I(1 p.s.)	1209	ŋɔ³¹	ŋ ɔ ³¹	i n t	223
3751	Xiangyun	I(1 p.s.)	1209	ŋɔ³¹	ŋ ɔ ³¹	i n t	223
3752	Luobenzhuo	I(1 p.s.)	1209	ɴɔ⁴²	ɴ ɔ ⁴²	i n t	223
3753	Zhoucheng	I(1 p.s.)	1209	ŋɔ³¹	ŋ ɔ ³¹	i n t	223
2611	Jianchuan	able to	972	sẽ³³	s ẽ ∼ ³³	i n c t	1279
