DOCULECT	SOURCE	CLPA	STRUCTURE	NOTE
Qiliqiao	ɕ	ɕ	i	initial	
Qiliqiao	ɣ	ɣ	i	initial	
Qiliqiao	ʃ	ʃ	i	initial	
Qiliqiao	21	²¹	t	tone	
Qiliqiao	31	³¹	t	tone	
Qiliqiao	32	³²	t	tone	
Qiliqiao	33	³³	t	tone	
Qiliqiao	35	³⁵	t	tone	
Qiliqiao	42	⁴²	t	tone	
Qiliqiao	44	⁴⁴	t	tone	
Qiliqiao	55	⁵⁵	t	tone	
Qiliqiao	a	a	n	vowel	
Qiliqiao	e	e	n	vowel	
Qiliqiao	i	i	n	vowel	
Qiliqiao	o	o	n	vowel	
Qiliqiao	u	u	n	vowel	
Qiliqiao	v̩	v̩	n	vowel	
Qiliqiao	y	y	n	vowel	
Qiliqiao	ɔ	ɔ	n	vowel	
Qiliqiao	ɛ	ɛ	n	vowel	
Qiliqiao	ɯ	ɯ	n	vowel	
Qiliqiao	ɿ	ɿ	n	vowel	
Yunlong	ai	a i	n c	diphtong	
Yunlong	ao	a o	n c	diphtong	
Yunlong	ia	i a	m n	diphtong	
Yunlong	iɔ	i ɔ	m n	diphtong	
Yunlong	iɛ	i ɛ	m n	diphtong	
Yunlong	ua	u a	m n	diphtong	
Yunlong	ue	u e	m n	diphtong	
Yunlong	uɔ	u ɔ	m n	diphtong	
Yunlong	uɛ	u ɛ	m n	diphtong	
Yunlong	yɛ	y ɛ	m n	diphtong	
Yunlong	d	d	i	initial	
Yunlong	dz	dz	i	initial	
Yunlong	dʑ	dʑ	i	initial	
Yunlong	f	f	i	initial	
Yunlong	g	g	i	initial	
Yunlong	j	j	i	initial	
Yunlong	k	k	i	initial	
Yunlong	kʰ	kʰ	i	initial	
Yunlong	l	l	i	initial	
Yunlong	m	m	i	initial	
Yunlong	n	n	i	initial	
Yunlong	p	p	i	initial	
Yunlong	pʰ	pʰ	i	initial	
Yunlong	s	s	i	initial	
Yunlong	t	t	i	initial	
Yunlong	ts	ts	i	initial	
Yunlong	tsʰ	tsʰ	i	initial	
Yunlong	tɕ	tɕ	i	initial	
Yunlong	tɕʰ	tɕʰ	i	initial	
Yunlong	tʰ	tʰ	i	initial	
Yunlong	v	v	i	initial	
Yunlong	w	w	i	initial	
Yunlong	x	x	i	initial	
Yunlong	z	z	i	initial	
Yunlong	ŋ	ŋ	i	initial	
Yunlong	ȵ	ɲ	i	initial	
Yunlong	ɕ	ɕ	i	initial	
Yunlong	ɣ	ɣ	i	initial	
Yunlong	ɥ	ɥ	i	initial	
Yunlong	ʁ	ʁ	i	initial	
Yunlong	ʃ	ʃ	i	initial	
Yunlong	21	²¹	t	tone	
Yunlong	31	³¹	t	tone	
Yunlong	33	³³	t	tone	
Yunlong	35	³⁵	t	tone	
Yunlong	42	⁴²	t	tone	
Yunlong	44	⁴⁴	t	tone	
Yunlong	55	⁵⁵	t	tone	
Yunlong	a	a	n	vowel	
Yunlong	e	e	n	vowel	
Yunlong	i	i	n	vowel	
Yunlong	o	o	n	vowel	
Yunlong	u	u	n	vowel	
Yunlong	v̩	v̩	n	vowel	
Yunlong	y	y	n	vowel	
Yunlong	ɔ	ɔ	n	vowel	
Yunlong	ɛ	ɛ	n	vowel	
Yunlong	ɯ	ɯ	n	vowel	
Yunlong	ɿ	ɿ	n	vowel	
Xiangyun	ia	i a	m n	diphtong	
Xiangyun	iã	i ã	m n	diphtong	
Xiangyun	iɔ	i ɔ	m n	diphtong	
Xiangyun	iɔ̃	i ɔ ̃∼	m n c	diphtong	
Xiangyun	iɛ	i ɛ	m n	diphtong	
Xiangyun	iɛ̃	i ɛ̃ ∼	m n c	diphtong	
Xiangyun	ou	o u	n c	diphtong	
Xiangyun	ua	u a	m n	diphtong	
Xiangyun	ue	u e	m n	diphtong	
Xiangyun	uã	u ã ∼	m n c	diphtong	
Xiangyun	uɔ	u ɔ	m n	diphtong	
Xiangyun	uɔ̃	u ɔ̃ ∼	m n c	diphtong	
Xiangyun	uɛ	u ɛ	m n	diphtong	
Xiangyun	uɛ̃	u ɛ̃ ∼	m n c	diphtong	
Xiangyun	uẽ	u ẽ ∼	m n c	diphtong	
Xiangyun	õu	õ u	n c	diphtong	
Xiangyun	f	f	i	initial	
Xiangyun	j	j	i	initial	
Xiangyun	k	k	i	initial	
Xiangyun	kʰ	kʰ	i	initial	
Xiangyun	kʲ	kʲ	i	initial	
Xiangyun	l	l	i	initial	
Xiangyun	m	m	i	initial	
Xiangyun	n	n	i	initial	
Xiangyun	p	p	i	initial	
Xiangyun	pʰ	pʰ	i	initial	
Xiangyun	s	s	i	initial	
Xiangyun	t	t	i	initial	
Xiangyun	ts	ts	i	initial	
Xiangyun	tsʰ	tsʰ	i	initial	
Xiangyun	tɕ	tɕ	i	initial	
Xiangyun	tɕʰ	tɕʰ	i	initial	
Xiangyun	tʰ	tʰ	i	initial	
Xiangyun	w	w	i	initial	
Xiangyun	x	x	i	initial	
Xiangyun	z	z	i	initial	
Xiangyun	ŋ	ŋ	i	initial	
Xiangyun	ɕ	ɕ	i	initial	
Xiangyun	ɣ	ɣ	i	initial	
Xiangyun	21	²¹	t	tone	
Xiangyun	31	³¹	t	tone	
Xiangyun	33	³³	t	tone	
Xiangyun	35	³⁵	t	tone	
Xiangyun	42	⁴²	t	tone	
Xiangyun	44	⁴⁴	t	tone	
Xiangyun	55	⁵⁵	t	tone	
Xiangyun	a	a	n	vowel	
Xiangyun	e	e	n	vowel	
Xiangyun	i	i	n	vowel	
Xiangyun	o	o	n	vowel	
Xiangyun	u	u	n	vowel	
Xiangyun	v̩	v̩	n	vowel	
Xiangyun	y	y	n	vowel	
Xiangyun	ã	ã ∼	n c	vowel	
Xiangyun	õ	õ ∼	n c	vowel	
Xiangyun	ĩ	ĩ ∼	n c	vowel	
Xiangyun	ũ	ũ ∼	n c	vowel	
Xiangyun	ɔ	ɔ	n	vowel	
Xiangyun	ɔ̃	ɔ̃ ∼	n c	vowel	
Xiangyun	ɛ	ɛ	n	vowel	
Xiangyun	ɛ̃	ɛ̃ ∼	n c	vowel	
Xiangyun	ɯ	ɯ	n	vowel	
Xiangyun	ɯ̃	ɯ̃ ∼	n c	vowel	
Xiangyun	ɿ	ɿ	n	vowel	
Xiangyun	ṽ̩	ṽ̩ ∼	n c	vowel	
Xiangyun	ẽ	ẽ ∼	n c	vowel	
Xiangyun	ỹ	ỹ ∼	n c	vowel	
Luobenzhuo	ao	a o	n c	diphtong	
Luobenzhuo	iɛ	i ɛ	m n	diphtong	
Luobenzhuo	iɛ̃	i ɛ̃ ∼	m n c	diphtong	
Luobenzhuo	ua	u a	m n	diphtong	
Luobenzhuo	ue	u e	m n	diphtong	
Luobenzhuo	uã	u ã ∼	m n c	diphtong	
Luobenzhuo	uɔ	u ɔ	m n	diphtong	
Luobenzhuo	uɔ̃	u ɔ̃ ∼	m n c	diphtong	
Luobenzhuo	uɛ	u ɛ	m n	diphtong	
Luobenzhuo	uɛ̃	u ɛ̃ ∼	m n c	diphtong	
Luobenzhuo	uẽ	u ẽ ∼	m n c	diphtong	
Luobenzhuo	ão	ã o ∼	m n c	diphtong	
Luobenzhuo	b	b	i	initial	
Luobenzhuo	c	c	i	initial	
Luobenzhuo	cʰ	cʰ	i	initial	
Luobenzhuo	d	d	i	initial	
Luobenzhuo	dʐ	ɖʐ	i	initial	
Luobenzhuo	dʑ	dʑ	i	initial	
Luobenzhuo	f	f	i	initial	
Luobenzhuo	g	g	i	initial	
Luobenzhuo	j	j	i	initial	
Luobenzhuo	k	k	i	initial	
Luobenzhuo	kʰ	kʰ	i	initial	
Luobenzhuo	l	l	i	initial	
Luobenzhuo	m	m	i	initial	
Luobenzhuo	n	n	i	initial	
Luobenzhuo	p	p	i	initial	
Luobenzhuo	pʰ	pʰ	i	initial	
Luobenzhuo	q	q	i	initial	
Luobenzhuo	qʰ	qʰ	i	initial	
Luobenzhuo	s	s	i	initial	
Luobenzhuo	t	t	i	initial	
Luobenzhuo	ts	ts	i	initial	
Luobenzhuo	tsʰ	tsʰ	i	initial	
Luobenzhuo	tɕ	tɕ	i	initial	
Luobenzhuo	tɕʰ	tɕʰ	i	initial	
Luobenzhuo	tʂ	ʈʂ	i	initial	
Luobenzhuo	tʂʰ	ʈʂʰ	i	initial	
Luobenzhuo	tʃ	tʃ	i	initial	
Luobenzhuo	tʰ	tʰ	i	initial	
Luobenzhuo	v	v	i	initial	
Luobenzhuo	w	w	i	initial	
Luobenzhuo	x	x	i	initial	
Luobenzhuo	z	z	i	initial	
Luobenzhuo	ŋ	ŋ	i	initial	
Luobenzhuo	ȵ	ɲ	i	initial	
Luobenzhuo	ɕ	ɕ	i	initial	
Luobenzhuo	ɖ	ɖ	i	initial	
Luobenzhuo	ɴ	ɴ	i	initial	
Luobenzhuo	ɴ̥	ɴ̥	i	initial	
Luobenzhuo	ʂ	ʂ	i	initial	
Luobenzhuo	ʈ	ʈ	i	initial	
Luobenzhuo	ʈʰ	ʈʰ	i	initial	
Luobenzhuo	ʐ	ʐ	i	initial	
Luobenzhuo	ʔ	ʔ	i	initial	
Luobenzhuo	χ	χ	i	initial	
Luobenzhuo	21	²¹	t	tone	
Luobenzhuo	31	³¹	t	tone	
Luobenzhuo	33	³³	t	tone	
Luobenzhuo	35	³⁵	t	tone	
Luobenzhuo	42	⁴²	t	tone	
Luobenzhuo	44	⁴⁴	t	tone	
Luobenzhuo	55	⁵⁵	t	tone	
Luobenzhuo	a	a	n	vowel	
Luobenzhuo	e	e	n	vowel	
Luobenzhuo	i	i	n	vowel	
Luobenzhuo	o	o	n	vowel	
Luobenzhuo	u	u	n	vowel	
Luobenzhuo	v̩	v̩	n	vowel	
Luobenzhuo	y	y	n	vowel	
Luobenzhuo	ã	ã ∼	n c	vowel	
Luobenzhuo	æ	æ	n	vowel	
Luobenzhuo	æ̃	æ̃ ∼	n c	vowel	
Luobenzhuo	õ	õ ∼	n c	vowel	
Luobenzhuo	ĩ	ĩ ∼	n c	vowel	
Luobenzhuo	ũ	ũ ∼	n c	vowel	
Luobenzhuo	ɔ	ɔ	n	vowel	
Luobenzhuo	ɔ̃	ɔ̃ ∼	n c	vowel	
Luobenzhuo	ɛ	ɛ	n	vowel	
Luobenzhuo	ɛ̃	ɛ̃ ∼	n c	vowel	
Luobenzhuo	ɯ	ɯ	n	vowel	
Luobenzhuo	ɯ̃	ɯ̃ ∼	n c	vowel	
Luobenzhuo	ʊ	ʊ	n	vowel	
Luobenzhuo	ʊ̃	ʊ̃ ∼	n c	vowel	
Luobenzhuo	ṽ̩	ṽ̩ ∼	n c	vowel	
Luobenzhuo	ẽ	ẽ ∼	n c	vowel	
Luobenzhuo	ỹ	ỹ ∼	n c	vowel	
