ID	CHARACTER	SIMPLIFIED_CHARACTER	PINYIN	DOCULECT	DOCULECT_IN_SOURCE	READING	SEGMENTS	CONTEXT	CONCEPT	COGNATE_CLASS
6840	矣	矣	yǐ	Middle_Chinese	MC	hiX	ɣ i /²	i n t	(final particle)	3422
6841	矣	矣	yǐ	Old_Chinese	OC	*qəʔ (atonic)	q ə ʔ	i n C	(final particle)	3422
7934	諸	诸	zhū	Middle_Chinese	MC	tsyo	tɕ o /¹	i n t	(fusion of 之 + 於)	3969
7935	諸	诸	zhū	Old_Chinese	OC	*ta ‹ *tə ʔa 之於	t a	i n	(fusion of 之 + 於)	3969
279	徧	徧	biàn	Middle_Chinese	MC	penH	p e n /³	i n c t	(go) all around	140
280	徧	徧	biàn	Old_Chinese	OC	*pˁen-s {*pˁe[n]-s}	pˤ e n s	i n c S	(go) all around	140
4294	戚	戚	qī	Middle_Chinese	MC	tshek	tsʰ e k /⁴	i n c t	(in 'toad')	2148
4295	戚	戚	qī	Old_Chinese	OC	*s.tʰˁiwk	s tʰˤ i kʷ	P i n c	(in 'toad')	2148
3238	闊	阔	kuò	Middle_Chinese	MC	khwat	kʰ w a t /⁴	i m n c t	(in khet.khwat)	1620
3239	闊	阔	kuò	Old_Chinese	OC	*kʰˁot {*[k]ʰˁot}	kʰˤ o t	i n c	(in khet.khwat)	1620
3612	論	论	lún	Middle_Chinese	MC	lwin	l w i n /¹	i m n c t	(in name of Lúnyǔ 論語)	1807
3613	論	论	lún	Old_Chinese	OC	*run {*[r]u[n]}	r u n	i n c	(in name of Lúnyǔ 論語)	1807
4368	气	气	qì	Middle_Chinese	MC	khjɨjH	kʰ j ɨ j /³	i m n c t	(inhaled thing:) breath, air, vapors	2185
4369	气	气	qì	Old_Chinese	OC	*C.qʰəp-s	/C qʰ ə p s	P i n c S	(inhaled thing:) breath, air, vapors	2185
2862	蓳	蓳	jìn	Middle_Chinese	MC	kjɨnX	k j ɨ n /²	i m n c t	(kind of vegetable)	1432
2863	蓳	蓳	jìn	Old_Chinese	OC	*kərʔ {*kə[r]ʔ}	k ə r ʔ	i n c C	(kind of vegetable)	1432
4162	亨	亨	pēng	Middle_Chinese	MC	phæng	pʰ æ ŋ /¹	i n c t	(loan for) to boil	2082
4163	亨	亨	pēng	Old_Chinese	OC	*p.qʰˁraŋ {*[p.qʰ]ˁraŋ}	p qʰˤ r a ŋ	P i m n c	(loan for) to boil	2082
4820	繕	缮	shàn	Middle_Chinese	MC	dzyenH	dʑ e n /³	i n c t	(make good:) repair	2411
4821	繕	缮	shàn	Old_Chinese	OC	*ɡenʔ-s {*[ɡ]e[n]ʔ-s}	g e n ʔ s	i n c C S	(make good:) repair	2411
519	朝	朝	cháo	Middle_Chinese	MC	drjew	ɖ j e w /¹	i m n c t	(morning) audience at court	260
520	朝	朝	cháo	Old_Chinese	OC	*m-t‹r›aw {*[m]-t‹r›aw}	m t r/‹r› a w	p i m n c	(morning) audience at court	260
2381	貨	货	huò	Middle_Chinese	MC	xwaH	x w a /³	i m n t	(movable) property, goods	1191
2382	貨	货	huò	Old_Chinese	OC	*qʷʰˁaj-s	qʷʰˤ a j s	i n c S	(movable) property, goods	1191
1025	狄	狄	dí	Middle_Chinese	MC	dek	d e k /⁴	i n c t	(name of a northern tribe)	513
1026	狄	狄	dí	Old_Chinese	OC	*lˁek	lˤ e k	i n c	(name of a northern tribe)	513
3562	菉	菉	lù	Middle_Chinese	MC	ljowk	l j o kʷ /⁴	i m n c t	(name of a plant)	1782
3563	菉	菉	lù	Old_Chinese	OC	*rok {*(p.)rok}	r o k	i n c	(name of a plant)	1782
2229	淮	淮	huái	Middle_Chinese	MC	hwɛj	ɣ w ɛ j /¹	i m n c t	(name of a river)	1115
2230	淮	淮	huái	Old_Chinese	OC	*ɡʷˁrij {*[ɡ]ʷˁrij}	gʷˤ r i j	i m n c	(name of a river)	1115
