ID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
93	day after tomorrow	1179	DAY AFTER TOMORROW
94	day, first of month	1260	DAY (24 HOURS)
95	day, third of month		
96	day, fifth of month		
97	day, eleventh of month		
98	day, fifteenth of month		
99	day, sixteenth of month		
100	day, twentieth of month		
101	day, thirtieth of month		
102	day(time)		
103	morning	1339	MORNING
104	noon	2490	NOON
105	night	1233	NIGHT
106	now	1376	NOW
107	past, in the		
108	from now on	693	FROM
109	bovine		
110	water buffalo	2516	WATER BUFFALO
111	cattle (common)	1153	CATTLE
112	mule	890	MULE
113	horse	615	HORSE
114	donkey	1862	DONKEY
115	pig	1337	PIG
116	goat / sheep (generic)	1502	GOAT
117	goat	2475	MALE GOAT
118	sheep	1331	SHEEP
119	dog	2009	DOG
120	cat	1208	CAT
121	rabbit	1136	RABBIT
122	dragon	2038	DRAGON
123	elephant	1290	ELEPHANT
124	tiger	846	TIGER
125	bear	1820	BEAR
126	leopard	1139	LEOPARD
127	boar	1348	BOAR
128	monkey	1350	MONKEY
129	deer	1936	DEER
130	wolf	522	WOLF
131	roebuck		
132	fox	1312	FOX
133	otter	15	OTTER
134	rat / mouse	1490	RAT
135	chicken	1318	CHICKEN
136	rooster	1511	ROOSTER
137	hen	1514	HEN
138	duck	1360	DUCK
139	goose	1187	GOOSE
140	pigeon		
141	pheasant		
142	bird	937	BIRD
143	eagle	1905	EAGLE
144	wild goose		
145	crow	913	CROW
146	magpie	2039	MAGPIE
147	swallow	897	SWALLOW
148	sparrow	1854	SPARROW
149	bat	1793	BAT
150	frog	503	FROG
151	fish	227	FISH
152	snake	730	SNAKE
153	honeybee		
154	butterfly	1791	BUTTERFLY
155	dragonfly	2352	DRAGONFLY
156	grasshopper	607	GRASSHOPPER
157	ant	587	ANT
158	centipede	1974	CENTIPEDE
159	spider	843	SPIDER
160	bedbug	1949	BEDBUG
161	flea	232	FLEA
162	louse	1392	LOUSE
163	nit	267	NIT
164	fly	1441	FLY (MOVE THROUGH AIR)
165	mosquito	1509	MOSQUITO
166	earthworm	2350	EARTHWORM
167	leech	2273	LEECH
168	maggot		
169	insect / worm	620	INSECT
170	egg	744	EGG
171	wing	1257	WING
172	hair / fur	1040	HAIR
173	feather	1201	FEATHER
174	claw	72	CLAW
175	hoof	152	HOOF
176	horn	939	HORN (INSTRUMENT)
177	tail	1220	TAIL
178	tree	906	TREE
179	pine	1740	PINE
180	oak	644	OAK
181	fir	1915	FIR
182	willow	818	WILLOW
183	bamboo	1927	BAMBOO
184	bamboo shoot	2494	BAMBOO SHOOT
185	crops		
186	rice (plant)	926	RICE
187	barley	932	BARLEY
188	wheat	1077	WHEAT
189	barley (Tibetan)		
190	buckwheat (sweet)	2040	BUCKWHEAT
191	buckwheat (bitter)		
192	sorghum	347	SORGHUM
193	maize	506	MAIZE
194	sweet potato	159	SWEET POTATO
195	potato	593	POTATO
196	taro	351	TARO
197	sugarcane		
198	peanut	2364	PEANUT
199	cotton	1850	COTTON
200	ramie		
201	beans		
202	melon	507	MELON
203	pumpkin	864	PUMPKIN
204	cucumber	496	CUCUMBER
205	eggplant		
206	vegetable		
207	cabbage (Chinese)	774	CABBAGE
208	turnip		
209	onion (green)	2366	ONION
210	garlic	2368	GARLIC
211	ginger	2500	GINGER
212	pepper, hot / chili	1385	PEPPER
213	fruit	1507	FRUIT
214	peach	2043	PEACH
215	persimmon	2044	PERSIMMON
216	grape	920	GRAPE
217	tobacco	974	TOBACCO
218	grass	606	GRASS
219	mushroom	641	MUSHROOM
220	seed	714	SEED
221	seedling		
222	root	670	ROOT
223	stem / stalk		
224	leaf	628	LEAF
225	branch	826	BRANCH (BIFURCATION)
226	bud	1684	BUD
227	stone / pit	1762	STONE (OF FRUIT)
228	flower	239	FLOWER
229	ear (of grain-producing plant)	1247	EAR
230	thorn	124	THORN
231	body	1480	BODY
232	head	1256	HEAD
233	forehead	123	FOREHEAD
234	hair of head	523	BACK OF HEAD
235	plait	333	PLAIT
236	face	1560	FACE
237	eyebrow	1173	EYEBROW
238	eye	1248	EYE
239	tear	1651	TEAR (OF EYE)
240	nose	1221	NOSE
241	ear		
242	mouth	674	MOUTH
243	lip	478	LIP
244	tooth	1380	TOOTH
245	tongue	1205	TONGUE
246	beard	678	BEARD
247	chin	1510	CHIN
248	neck	1333	NECK
249	throat	1346	THROAT
250	shoulder	1482	SHOULDER
251	hand	1277	HAND
252	fist	1473	FIST
253	arm	1673	ARM
254	elbow	981	ELBOW
255	finger	1303	FINGER
256	fingernail	1258	FINGERNAIL
257	chest	1592	CHEST
258	back (of body)	2323	BACK (PART)
259	breast	1402	BREAST
260	belly	1251	BELLY
261	waist	1681	WAIST
262	buttocks	834	BUTTOCKS
263	foot	1301	FOOT
264	leg	1297	LEG
265	armpit	1886	ARMPIT
266	skin	763	SKIN
267	sinew		
268	blood	946	BLOOD
269	stomach	819	STOMACH
270	kidney	489	KIDNEY
271	intestines	1991	INTESTINES
272	heart	1223	HEART
273	liver	1224	LIVER
274	lung	688	LUNG
275	gall		
276	bladder	1746	BLADDER
277	sweat	125	SWEAT (SUBSTANCE)
278	snot		
279	phlegm		
280	saliva / spittle	1503	SALIVA
281	milk	635	MILK
282	excrement		
283	urine	1142	URINE
284	fart	1159	FART
285	boil	792	BOIL (OF LIQUID)
286	pus	1808	PUS
287	smallpox	1054	SMALLPOX
288	malaria		
289	person	516	PERSON (CLASSIFIER)
290	man (male person)	1554	MAN
291	woman	962	WOMAN
292	old person	725	OLD PERSON
293	young man	76	YOUNG MAN
294	young woman	77	YOUNG WOMAN
295	child	1304	CHILD (YOUNG HUMAN)
296	friend	1325	FRIEND
297	enemy	1358	ENEMY
298	host	1545	HOST
299	guest	1782	GUEST
300	blind person	457	BLIND PERSON
301	deaf person	458	DEAF PERSON
302	mute	1666	MUTE
303	mad person	2321	MAD PERSON
304	lame person	2322	LAME PERSON
305	carpenter	1042	CARPENTER
306	official		
307	soldier	1941	SOLDIER
308	army	1561	ARMY
309	worker		
310	farmer	979	FARMER
311	doctor	512	SEE A DOCTOR
312	teacher	1038	TEACHER
313	student	753	PUPIL, STUDENT
314	nationality		
315	Chinese	2356	CHINESE PLUM
316	autonym		
317	grandfather	1383	GRANDFATHER
318	grandmother	1496	GRANDMOTHER
319	father	1217	FATHER
320	mother	1216	MOTHER
321	uncle (paternal, elder)	1327	UNCLE
322	aunt (paternal, elder)	1272	AUNT
323	uncle (paternal, younger)	1761	YOUNGER SISTER
324	aunt (wife of younger paternal		
325	uncle (paternal aunt's husband		
326	aunt (paternal)		
327	uncle (maternal)		
328	aunt (wife of maternal uncle)		
329	uncle (maternal aunt's husband		
330	aunt (maternal)		
331	father-in-law	1055	FATHER-IN-LAW
332	mother-in-law	1050	MOTHER-IN-LAW
333	brother (elder)	559	BROTHER (OF MAN)
334	sister (elder)	561	SISTER (OF MAN)
335	brother (younger)	560	BROTHER (OF WOMAN)
336	sister (younger)	562	SISTER (OF WOMAN)
337	husband	1200	HUSBAND
338	wife	1199	WIFE
339	son	1620	SON
340	daughter	1357	DAUGHTER
341	daughter-in-law	1057	DAUGHTER-IN-LAW
342	son-in-law	1056	SON-IN-LAW
343	nephew	1063	NEPHEW
344	niece	1642	NIECE
345	grandson	1618	GRANDSON
346	granddaughter	1619	GRANDDAUGHTER
347	relative		
348	house	1252	HOUSE
349	home	2406	HOME
350	wall	933	WALL
351	pole	282	POLE
352	beam	1132	BEAM
353	door	1567	DOOR
354	window	1375	WINDOW
355	fireplace	185	FIREPLACE
356	lime	982	LIME (FRUIT)
357	brick	1006	BRICK
358	tile		
359	board / plank	1227	BOARD
360	nail (tool)	502	NAIL (TOOL)
361	city	2547	CITY
362	village	930	VILLAGE
