ID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
995	slowly	2165	SLOWLY
996	fast (adv.)		
997	very	1311	VERY
998	most (superlative degree)		
999	all / even	98	ALL
1000	also		
1001	again	204	AGAIN
1002	certainly		
1003	NEG		
1004	don't		
