VARIETY	TYPE	VALUE	ALLOPHONES	CONTEXT
Xiangyun	initial	tʰ		
Xiangyun	initial	kʰ		
Xiangyun	initial	m		
Xiangyun	initial	n		
Xiangyun	initial	ŋ		
Xiangyun	initial	l		
Xiangyun	initial	f		
Xiangyun	initial	s		
Xiangyun	initial	ɕ		
Xiangyun	initial	x		
Xiangyun	initial	z		
Xiangyun	initial	ɣ		
Xiangyun	initial	ts		
Xiangyun	initial	tɕ		
Xiangyun	initial	tsʰ		
Xiangyun	initial	tɕʰ		
Xiangyun	initial	j		
Xiangyun	initial	w		
Xiangyun	vowel	i	ɿ/[s z ts tsʰ]_	
Xiangyun	vowel	y		
Xiangyun	vowel	v̩		
Xiangyun	vowel	ɯ		
Xiangyun	vowel	u		
Xiangyun	vowel	e		
Xiangyun	vowel	o		
Xiangyun	vowel	ɛ		
Xiangyun	vowel	ɔ		
Xiangyun	vowel	a		
Xiangyun	vowel	ĩ		
Xiangyun	vowel	ỹ		
Xiangyun	vowel	ṽ̩		
Xiangyun	vowel	ɯ̃		
Xiangyun	vowel	ũ		(not found in data)
Xiangyun	vowel	ẽ		
Xiangyun	vowel	õ		
Xiangyun	vowel	ɛ̃		
Xiangyun	vowel	ɔ̃		
Xiangyun	vowel	ã		
Xiangyun	diphtong	ue		
Xiangyun	diphtong	ou		
Xiangyun	diphtong	iɛ		
Xiangyun	diphtong	iɔ		
Xiangyun	diphtong	uɛ		
Xiangyun	diphtong	uɔ		
Xiangyun	diphtong	ia		
Xiangyun	diphtong	ua		
Xiangyun	diphtong	uẽ		
Xiangyun	diphtong	õu		
Xiangyun	diphtong	iɛ̃		
Xiangyun	diphtong	iɔ̃		
Xiangyun	diphtong	uɛ̃		
Xiangyun	diphtong	uɔ̃		
Xiangyun	diphtong	iã		
Xiangyun	diphtong	uã		
Yunlong	tone	55		
Yunlong	tone	44		
Yunlong	tone	33		
Yunlong	tone	35		
Yunlong	tone	42		
Yunlong	tone	31		
Yunlong	tone	21		
Yunlong	initial	d		
Yunlong	initial	g		
Yunlong	initial	p		
Yunlong	initial	t		
Yunlong	initial	k		
Yunlong	initial	pʰ		
Yunlong	initial	tʰ		
Yunlong	initial	kʰ		
Yunlong	initial	m		
Yunlong	initial	n		
Yunlong	initial	ȵ		
Yunlong	initial	ŋ		
Yunlong	initial	l		
Yunlong	initial	f		
Yunlong	initial	s	ʃ/_[v̩]	
Yunlong	initial	ɕ		
Yunlong	initial	x		
Yunlong	initial	v		
Yunlong	initial	z		
Yunlong	initial	ɣ	ʁ/_[ɔ]	
Yunlong	initial	dz		
Yunlong	initial	dʑ		
Yunlong	initial	ts		
Yunlong	initial	tɕ		
Yunlong	initial	tsʰ		
Yunlong	initial	tɕʰ		
Yunlong	initial	ɥ		
Yunlong	initial	j		
Yunlong	initial	w		
Yunlong	vowel	i	ɿ/[s z dz ts tsʰ]_	
Yunlong	vowel	y		
Yunlong	vowel	v̩		
Yunlong	vowel	ɯ		
Yunlong	vowel	u		
Yunlong	vowel	e		
Yunlong	vowel	o		
Yunlong	vowel	ɛ		
Yunlong	vowel	ɔ		
Yunlong	vowel	a		
Yunlong	diphtong	yɛ		
Yunlong	diphtong	ai		(Chinese borrowings only)
Yunlong	diphtong	ue		
Yunlong	diphtong	ao		
Yunlong	diphtong	iɛ		
Yunlong	diphtong	iɔ		
Yunlong	diphtong	uɛ		
Yunlong	diphtong	uɔ		
Yunlong	diphtong	ia		
Yunlong	diphtong	ua		
Zhoucheng	tone	55		
Zhoucheng	tone	44		
Zhoucheng	tone	33		
Zhoucheng	tone	35		
Zhoucheng	tone	52		
Zhoucheng	tone	31		
Zhoucheng	tone	32		
Zhoucheng	tone	21		
Zhoucheng	initial	p		
Zhoucheng	initial	t		
Zhoucheng	initial	k	kʲ/_[i]	
Zhoucheng	initial	pʰ		
Zhoucheng	initial	tʰ		
Zhoucheng	initial	kʰ		
Zhoucheng	initial	m		
Zhoucheng	initial	n		
Zhoucheng	initial	ȵ		
Zhoucheng	initial	ŋ		
Zhoucheng	initial	l		
Zhoucheng	initial	f		
Zhoucheng	initial	s		
Zhoucheng	initial	ɕ		
Zhoucheng	initial	x		
Zhoucheng	initial	v		
Zhoucheng	initial	z		
Zhoucheng	initial	ɣ		_[ɯ]
Zhoucheng	initial	ts		
Zhoucheng	initial	tɕ		
Zhoucheng	initial	tsʰ		
Zhoucheng	initial	tɕʰ		
Zhoucheng	initial	j		
Zhoucheng	initial	w		
Zhoucheng	vowel	i	ɿ/[s sʰ z ts tsʰ]_	
Zhoucheng	vowel	y		[tɕ tɕʰ ȵ j]_
Zhoucheng	vowel	v̩		
Zhoucheng	vowel	ɯ		
Zhoucheng	vowel	u		
Zhoucheng	vowel	e		
Zhoucheng	vowel	o		
Zhoucheng	vowel	ɛ		
Zhoucheng	vowel	ɔ		
Zhoucheng	vowel	a		
Zhoucheng	diphtong	ue		
Zhoucheng	diphtong	iɛ		
Zhoucheng	diphtong	iɔ		
Zhoucheng	diphtong	uɛ		
Zhoucheng	diphtong	uɔ		
Zhoucheng	diphtong	ia		
Zhoucheng	diphtong	ua		
