ID	LID	DOCULECT	CONCEPT	CONCEPT_ID	CHINESE	CONCEPTICON_ID	VALUE	CROSSREF	PARTIAL_IDS	TOKENS
3665	Allen2007-3665	Eryuan	CLS for knife	466	把（刀）	2082	tsɯ³³	7644	1430	ts ɯ ³³
3666	Allen2007-3666	Heqing	CLS for knife	466	把（刀）	2082	tsɿ³³	7645	1430	ts ɿ ³³
3667	Allen2007-3667	Lanping	CLS for knife	466	把（刀）	2082	tsɯ̃³³	7646	1430	ts ɯ̃ ³³
3668	Allen2007-3668	Qiliqiao	CLS for knife	466	把（刀）	2082	tsɿ³³	7647	1430	ts ɿ ³³
3669	Allen2007-3669	Yunlong	CLS for knife	466	把（刀）	2082	tsɯ³³	7648	1430	ts ɯ ³³
3670	Allen2007-3670	Xiangyun	CLS for knife	466	把（刀）	2082	tsɿ³³	7649	1430	ts ɿ ³³
3671	Allen2007-3671	Luobenzhuo	CLS for knife	466	把（刀）	2082	tɕi³³	7650	1430	tɕ i ³³
3672	Allen2007-3672	Zhoucheng	CLS for knife	466	把（刀）	2082	tsɿ³³	0	1430	ts ɿ ³³
3736	Allen2007-3736	Jianchuan	CLS for pair of shoes	473	双（鞋）	2089	tɕĩ³³	7683	1436	tɕ ĩ ³³
3737	Allen2007-3737	Eryuan	CLS for pair of shoes	473	双（鞋）	2089	tɕi³³	7684	1436	tɕ i ³³
3738	Allen2007-3738	Heqing	CLS for pair of shoes	473	双（鞋）	2089	tɕĩ³³	7685	1436	tɕ ĩ ³³
3739	Allen2007-3739	Lanping	CLS for pair of shoes	473	双（鞋）	2089	tɕĩ³³	7686	1436	tɕ ĩ ³³
3740	Allen2007-3740	Qiliqiao	CLS for pair of shoes	473	双（鞋）	2089	tɕi³³	7687	1436	tɕ i ³³
3741	Allen2007-3741	Yunlong	CLS for pair of shoes	473	双（鞋）	2089	dze³³	7688	1436	dz e ³³
3742	Allen2007-3742	Xiangyun	CLS for pair of shoes	473	双（鞋）	2089	jĩ³³	7689	1437	j ĩ ³³
3743	Allen2007-3743	Luobenzhuo	CLS for pair of shoes	473	双（鞋）	2089	zẽ³³	7690	1438	z ẽ ³³
3744	Allen2007-3744	Zhoucheng	CLS for pair of shoes	473	双（鞋）	2089	tɕi³³	0	1436	tɕ i ³³
3637	Allen2007-3637	Jianchuan	CLS for person	463	个（人）	516	jĩ³¹	7627	1426	j ĩ ³¹
3638	Allen2007-3638	Eryuan	CLS for person	463	个（人）	516	ɲi²¹	7628	1426	ɲ i ²¹
3639	Allen2007-3639	Heqing	CLS for person	463	个（人）	516	tɯ²¹‹›ji²¹	7629	1426 1426	j i ²¹
3640	Allen2007-3640	Lanping	CLS for person	463	个（人）	516	jĩ²¹	7630	1426	j ĩ ²¹
3641	Allen2007-3641	Qiliqiao	CLS for person	463	个（人）	516	ɲi²¹	7631	1426	ɲ i ²¹
3642	Allen2007-3642	Yunlong	CLS for person	463	个（人）	516	ɲi²¹	7632	1426	ɲ i ²¹
3643	Allen2007-3643	Xiangyun	CLS for person	463	个（人）	516	i⁴⁴/we³¹/kɯ⁴²	7633	1426	i ⁴⁴
3644	Allen2007-3644	Luobenzhuo	CLS for person	463	个（人）	516	ɲi³¹	7634	1426	ɲ i ³¹
3645	Allen2007-3645	Zhoucheng	CLS for person	463	个（人）	516	ɲi³¹	0	1426	ɲ i ³¹
3682	Allen2007-3682	Jianchuan	CLS for rope	468	条（绳子）	2084	jɯ̃⁴²	7659	1432	j ɯ̃ ⁴²
3683	Allen2007-3683	Eryuan	CLS for rope	468	条（绳子）	2084	ɲɯ⁴²	7660	1432	ɲ ɯ ⁴²
3684	Allen2007-3684	Heqing	CLS for rope	468	条（绳子）	2084	jɯ̃⁴²	7661	1432	j ɯ̃ ⁴²
3685	Allen2007-3685	Lanping	CLS for rope	468	条（绳子）	2084	jɯ̃⁴²	7662	1432	j ɯ̃ ⁴²
3686	Allen2007-3686	Qiliqiao	CLS for rope	468	条（绳子）	2084	ɲiɔ³²	7663	1432	ɲ i ɔ ³²
3687	Allen2007-3687	Yunlong	CLS for rope	468	条（绳子）	2084	ɲɯ⁴²	7664	1432	ɲ ɯ ⁴²
