ID	TAXA	TAXA_WITH_TONES	CHINESE_TAXA	GLOSS	PINYIN	NUMBER	READING	IPA	TOKENS	ALIGNMENT	PROTO	PROTO_TOKENS	BAXTER	ZGYY	COGID
44	Beijing	Běijīng	北京	拔	fá	2	pa³⁵	pa³⁵	p a ³⁵	p - a - ³⁵	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
45	Nanjing	Nánjīng	南京	拔	fá	2	pɑɁ⁵	pɑʔ⁵	p ɑ ʔ ⁵	p - ɑ ʔ ⁵	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
46	Nanning	Nánníng	南宁	拔	fá	2	pat²²	pat²²	p a t ²²	p - a t ²²	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
47	Nanchang	Nánchāng	南昌	拔	fá	2	pʻaɁ²	pʰaʔ²	pʰ a ʔ ²	pʰ - a ʔ ²	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
48	Xiamen	Xiàmén	厦门	拔	fá	2	pat⁵puiɁ⁵	pat⁵	p a t ⁵	p - a t ⁵	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
49	Taibei	Táiběi	台北	拔	fá	2	paiɁ⁴⁴puaɁ⁴⁴pat⁴⁴puat⁴⁴	paiʔ⁴⁴	p ai ʔ ⁴⁴	p - ai ʔ ⁴⁴	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
50	Hefei	Héféi	合肥	拔	fá	2	pɐɁ⁵	pɐʔ⁵	p ɐ ʔ ⁵	p - ɐ ʔ ⁵	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
51	Huhehaote	Hūhèhàotè	呼和浩特	拔	fá	2	pa³¹	pa³¹	p a ³¹	p - a - ³¹	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
52	Haerbin	Hāěrbīn	哈尔滨	拔	fá	2	pa²⁴pa⁵³~劲	pa²⁴	p a ²⁴	p - a - ²⁴	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
53	Tianjin	Tiānjīn	天津	拔	fá	2	pɑ⁴⁵	pɑ⁴⁵	p ɑ ⁴⁵	p - ɑ - ⁴⁵	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
54	Taiyuan	Tàiyuán	太原	拔	fá	2	paɁ⁵⁴	paʔ⁵⁴	p a ʔ ⁵⁴	p - a ʔ ⁵⁴	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
55	Tunxi	Tūnxī	屯溪	拔	fá	2	pʻu:ə¹¹	pʰuːə¹¹	pʰ uː ə ¹¹	pʰ - uː ə ¹¹	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
56	Pingyao	Píngyáo	平遥	拔	fá	2	pʌɁ⁵³	pʌʔ⁵³	p ʌ ʔ ⁵³	p - ʌ ʔ ⁵³	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
57	Guangzhou	Guǎngzhōu	广州	拔	fá	2	pɐt²	pɐt²	p ɐ t ²	p - ɐ t ²	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
58	Jianou	Jiànōu	建瓯	拔	fá	2	pa²⁴pai⁵⁴pi⁵⁴	pa²⁴	p a ²⁴	p - a - ²⁴	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
59	Chengdu	Chéngdū	成都	拔	fá	2	p‘a³¹	pʰa³¹	pʰ a ³¹	pʰ - a - ³¹	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
60	Kunming	Kūnmíng	昆明	拔	fá	2	pA³¹	pᴀ³¹	p ᴀ ³¹	p - ᴀ - ³¹	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
61	Hangzhou	Hángzhōu	杭州	拔	fá	2	baɁ²	baʔ²	b a ʔ ²	b - a ʔ ²	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
62	Taoyuan	Táoyuán	桃园	拔	fá	2	pʻɑt⁵⁵	pʰɑt⁵⁵	pʰ ɑ t ⁵⁵	pʰ - ɑ t ⁵⁵	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
63	Meixian	Méixiàn	梅县	拔	fá	2	pʻat⁵	pʰat⁵	pʰ a t ⁵	pʰ - a t ⁵	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
