# EDICTOR
@modified: 2015-11-25 16:1
@source: Hamed and Wang (2006)
#
ID	DOCULECT	CONCEPT	IPA	WANGID	PARTIAL
246	Taiyuan	bone	骨头	0a	骨头
247	Yuci	bone	骨头	0a	骨头
248	Changsha	bone	骨头	0a	骨头
249	Shuangfeng	bone	骨头	0a	骨头
#
250	Guangzhou	breasts	[]nin55	5	B
251	Suzhou	breasts	奶奶	1e	奶奶
252	Meixian	breasts	奶姑*	1f	奶姑
253	Nanchang	breasts	奶	1	奶
254	Fuzhou	breasts	[奶]奶	1	奶
255	Fuzhou	breasts	[奶]奶	1e	奶奶
256	Fuzhou	breasts	奶	1	奶
257	Ningxia	breasts	奶子	1b	奶子
258	Lianchang	breasts	[]nang33菇	1f	奶姑
259	Ningbo	breasts	奶头	1c	奶头
260	Yingshan	breasts	妈儿	2h	妈儿
261	Chengdu	breasts	奶奶	1e	奶奶
262	Zhanping	breasts	奶仔	1b	奶子
263	Shanghai	breasts	奶	1	奶
264	Shanghai_B	breasts	奶奶	1e	奶奶
265	Xiamen	breasts	奶	1	奶
266	Anyi	breasts	奶	1	奶
267	Anyi	breasts	奶嘴	1d	奶嘴
268	Beijing	breasts	咂儿	4	咂儿
269	Wenzhou	breasts	Ú奶Ú奶（阴平）	1e	奶奶
270	Taibei	breasts	lin44 ?	3	A
271	Wuhan	breasts	妈[妈]（恐不是此二字，有音无字）	2	妈
272	Wuhan	breasts	妈[妈]（恐不是此二字，有音无字）	2g	妈妈
273	Taiyuan	breasts	奶[奶]	1	奶
274	Taiyuan	breasts	奶[奶]	1e	奶奶
275	Yuci	breasts	奶头	1c	奶头
276	Changsha	breasts	奶子	1b	奶子
277	Shuangfeng	breasts	奶婆	1a	奶婆
#
2762	Guangzhou	breathe	嗍	2	嗍
2763	Guangzhou	breathe	啜[指撮唇而吸]	3	嘬
2764	Suzhou	breathe	吸	4	吸
2765	Suzhou	breathe	呼	5	呼
2766	Meixian	breathe	sot5	2	嗍
2767	Meixian	breathe	嘬	3	嘬
2768	Nanchang	breathe	吸	4	吸
2769	Fuzhou	breathe	吸	4	吸
2770	Fuzhou	breathe	嗍	2	嗍
2771	Ningxia	breathe	吸气	4	吸
2772	Lianchang	breathe	[]siu35	7	A
2773	Ningbo	breathe	呼吸	6	呼吸
2774	Yingshan	breathe	嗍	2	嗍
2775	Chengdu	breathe	吸气	4	吸
2776	Zhanping	breathe	喘气	8	喘气
2777	Shanghai	breathe	呼吸	6	呼吸
