ID	DOCULECT	DOCULECT_IN_SOURCE	CONCEPT	CONCEPTICON_ID	VALUE	CHARACTERS	COGIDS
673	Ningbo	Ningbo	fire	221	火	火	92
674	Yingshan	Yingshan	fire	221	火	火	92
675	Chengdu	Chengdu	fire	221	火	火	92
676	Zhanping	Zhanping	fire	221	火	火	92
677	Shanghai	Shanghai	fire	221	火	火	92
678	Shanghai_B	Shanghai_B	fire	221	火	火	92
679	Xiamen	Xiamen	fire	221	火	火	92
680	Anyi	Anyi	fire	221	火	火	92
681	Beijing	Beijing	fire	221	火	火	92
682	Wenzhou	Wenzhou	fire	221	火种	火种	92 119
683	Taibei	Taibei	fire	221	hue53火	火	92
684	Wuhan	Wuhan	fire	221	火	火	92
685	Taiyuan	Taiyuan	fire	221	火	火	92
686	Yuci	Yuci	fire	221	火	火	92
687	Changsha	Changsha	fire	221	火	火	92
688	Shuangfeng	Shuangfeng	fire	221	火	火	92
5386	Old_Chinese	Old_Chinese	fire	221	火	火	92
689	Guangzhou	Guangzhou	fish	227	鱼	鱼	120
690	Suzhou	Suzhou	fish	227	鱼	鱼	120
691	Meixian	Meixian	fish	227	鱼	鱼	120
692	Nanchang	Nanchang	fish	227	鱼	鱼	120
693	Fuzhou	Fuzhou	fish	227	鱼	鱼	120
694	Ningxia	Ningxia	fish	227	鱼	鱼	120
695	Lianchang	Lianchang	fish	227	鱼	鱼	120
696	Ningbo	Ningbo	fish	227	鱼	鱼	120
697	Yingshan	Yingshan	fish	227	鱼	鱼	120
698	Chengdu	Chengdu	fish	227	鱼	鱼	120
699	Zhanping	Zhanping	fish	227	鱼	鱼	120
700	Shanghai	Shanghai	fish	227	鱼	鱼	120
701	Shanghai_B	Shanghai_B	fish	227	鱼	鱼	120
702	Xiamen	Xiamen	fish	227	鱼	鱼	120
703	Anyi	Anyi	fish	227	鱼	鱼	120
704	Beijing	Beijing	fish	227	鱼	鱼	120
705	Wenzhou	Wenzhou	fish	227	鱼	鱼	120
706	Taibei	Taibei	fish	227	hi13魚	鱼	120
707	Wuhan	Wuhan	fish	227	鱼	鱼	120
708	Taiyuan	Taiyuan	fish	227	鱼	鱼	120
709	Yuci	Yuci	fish	227	鱼	鱼	120
710	Changsha	Changsha	fish	227	鱼	鱼	120
711	Shuangfeng	Shuangfeng	fish	227	鱼	鱼	120
5387	Old_Chinese	Old_Chinese	fish	227	鱼	鱼	120
3207	Guangzhou	Guangzhou	five	493	五	五	597
3208	Suzhou	Suzhou	five	493	五	五	597
3209	Meixian	Meixian	five	493	五	五	597
3210	Nanchang	Nanchang	five	493	五	五	597
3211	Fuzhou	Fuzhou	five	493	五	五	597
3212	Ningxia	Ningxia	five	493	五	五	597
3213	Lianchang	Lianchang	five	493	五	五	597
3214	Ningbo	Ningbo	five	493	五	五	597
3215	Yingshan	Yingshan	five	493	五	五	597
3216	Chengdu	Chengdu	five	493	五	五	597
3217	Zhanping	Zhanping	five	493	五	五	597
3218	Shanghai	Shanghai	five	493	五	五	597
3219	Shanghai_B	Shanghai_B	five	493	五	五	597
3220	Xiamen	Xiamen	five	493	五	五	597
3221	Anyi	Anyi	five	493	五	五	597
3222	Beijing	Beijing	five	493	五	五	597
3223	Wenzhou	Wenzhou	five	493	五	五	597
3224	Taibei	Taibei	five	493	ngoo33五	五	597
3225	Wuhan	Wuhan	five	493	五	五	597
3226	Taiyuan	Taiyuan	five	493	五	五	597
3227	Yuci	Yuci	five	493	五	五	597
3228	Changsha	Changsha	five	493	五	五	597
3229	Shuangfeng	Shuangfeng	five	493	五	五	597
5499	Old_Chinese	Old_Chinese	five	493	五	五	597
712	Guangzhou	Guangzhou	flesh	2615	肉	肉	121
713	Suzhou	Suzhou	flesh	2615	肉	肉	121
714	Meixian	Meixian	flesh	2615	肉	肉	121
715	Nanchang	Nanchang	flesh	2615	肉	肉	121
716	Fuzhou	Fuzhou	flesh	2615	肉	肉	121
717	Ningxia	Ningxia	flesh	2615	肉	肉	121
718	Lianchang	Lianchang	flesh	2615	肉	肉	121
719	Ningbo	Ningbo	flesh	2615	肉	肉	121
720	Yingshan	Yingshan	flesh	2615	肉	肉	121
721	Chengdu	Chengdu	flesh	2615	肉	肉	121
722	Zhanping	Zhanping	flesh	2615	ba7	A	122
723	Shanghai	Shanghai	flesh	2615	肉	肉	121
724	Shanghai_B	Shanghai_B	flesh	2615	肉	肉	121
725	Xiamen	Xiamen	flesh	2615	[]ba?32	A	122
726	Anyi	Anyi	flesh	2615	肉	肉	121
727	Beijing	Beijing	flesh	2615	肉	肉	121
728	Wenzhou	Wenzhou	flesh	2615	肉	肉	121
729	Taibei	Taibei	flesh	2615	bah32?	A	122
730	Wuhan	Wuhan	flesh	2615	肉	肉	121
731	Taiyuan	Taiyuan	flesh	2615	猪肉	肉	121
732	Yuci	Yuci	flesh	2615	猪肉	肉	121
733	Changsha	Changsha	flesh	2615	肉	肉	121
734	Shuangfeng	Shuangfeng	flesh	2615	肉	肉	121
5388	Old_Chinese	Old_Chinese	flesh	2615	肉	肉	121
3230	Guangzhou	Guangzhou	float	1574	浮（口语音[phou21]）	浮	598
3231	Suzhou	Suzhou	float	1574	ÜtÁ«n	A	599
3232	Meixian	Meixian	float	1574	浮	浮	598
3233	Nanchang	Nanchang	float	1574	泡（phau24）	浮	598
3234	Fuzhou	Fuzhou	float	1574	浮\漂	漂	600
3235	Ningxia	Ningxia	float	1574	漂、浮	漂	600
3236	Lianchang	Lianchang	float	1574	浮	浮	598
3237	Ningbo	Ningbo	float	1574	漂浮	漂浮	600 598
3238	Yingshan	Yingshan	float	1574	漂	漂	600
3239	Chengdu	Chengdu	float	1574	漂	漂	600
3240	Zhanping	Zhanping	float	1574	浮	浮	598
3241	Shanghai	Shanghai	float	1574	漂	漂	600
